Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Кропоткинская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56759	2050	2553	2524	2720	2362	1704	1365	1994	2086	2662	1719	1820	1450	1188	1348	1989	1548	1459	1157	1560	1501	1377	2011	1184	1402	2099	1725	1885	1765	1117	1282	2153									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56250	2150	2500	2500	2700	2300	1700	1250	2000	2000	2600	1700	1800	1450	1200	1350	2000	1550	1450	1100	1550	1500	1350	2000	1200	1400	2100	1700	1850	1750	1100	1300	2150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32720	1282	1220	1185	1535	1618	904	581	1305	1269	792	1122	741	910	784	921	1362	1131	805	692	1035	892	895	1592	655	746	891	778	1098	1101	786	570	1522									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4802	194	192	310	144	145	510	213	191	231	123	106	179	95	57	70	70	73	95	106	205	148	149	196	57	145	176	270	43	81	110	79	39									
6	Число погашенных избирательных бюллетеней	18728	674	1088	1005	1021	537	286	456	504	500	1685	472	880	445	359	359	568	346	550	302	310	460	306	212	488	509	1033	652	709	568	204	651	589									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4802	194	192	310	144	145	510	213	191	231	123	106	179	95	57	70	70	73	95	106	205	148	149	196	57	145	176	270	43	81	110	79	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32719	1282	1220	1185	1535	1618	904	581	1305	1269	792	1122	741	910	784	921	1362	1131	805	692	1035	892	895	1592	655	746	891	777	1098	1101	786	570	1522									
9	Число недействительных избирательных бюллетеней	75	0	6	5	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	15	12	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	37446	1476	1406	1490	1672	1763	1414	794	1496	1500	906	1228	920	1005	841	991	1432	1204	900	798	1240	1040	1044	1788	702	880	1052	1035	1141	1182	896	649	1561									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	578	23	25	25	25	25	14	14	25	25	25	14	14	14	14	14	25	14	14	14	14	14	14	25	14	14	25	14	14	14	14	14	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	469	12	13	16	25	12	9	6	25	25	25	6	9	9	14	14	25	14	14	7	9	14	7	25	10	14	25	4	14	14	14	14	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	4	1	4	3	4	3	6	3	3	12	1	1	0	2	0	1	2	0	0	3	2	2	2	0	4	15	3	2	5	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	109	11	12	9	0	13	5	8	0	0	0	8	5	5	0	0	0	0	0	7	5	0	7	0	4	0	0	10	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	0	0	1	1	0	0	0	0	0	1	0	0	0	2	2	4	0	2	1	0	2	1	0	1	0	0	1	1	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	462	18	9	6	28	15	8	15	20	38	17	6	7	11	9	16	11	16	3	7	10	9	14	14	8	19	7	7	12	41	18	14	29									
		1.23%	1.22%	0.64%	0.40%	1.67%	0.85%	0.57%	1.89%	1.34%	2.53%	1.86%	0.49%	0.76%	1.09%	1.07%	1.61%	0.77%	1.33%	0.33%	0.88%	0.81%	0.87%	1.34%	0.78%	1.12%	2.13%	0.66%	0.67%	1.05%	3.47%	2.01%	2.16%	1.86%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	663	45	15	8	81	8	11	8	12	27	30	18	6	32	16	10	17	18	8	6	15	13	18	18	12	25	32	19	14	37	30	20	34									
		1.77%	3.05%	1.06%	0.54%	4.82%	0.45%	0.78%	1.01%	0.80%	1.80%	3.28%	1.47%	0.65%	3.18%	1.90%	1.01%	1.19%	1.50%	0.89%	0.75%	1.21%	1.25%	1.72%	1.01%	1.69%	2.81%	2.99%	1.81%	1.23%	3.13%	3.35%	3.08%	2.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	411	15	16	5	17	3	7	13	12	17	24	13	6	21	9	11	13	17	8	3	20	12	10	14	12	12	15	15	11	26	9	5	20									
		1.10%	1.02%	1.13%	0.33%	1.01%	0.17%	0.50%	1.64%	0.80%	1.13%	2.62%	1.06%	0.65%	2.09%	1.07%	1.11%	0.91%	1.41%	0.89%	0.38%	1.61%	1.15%	0.96%	0.78%	1.69%	1.35%	1.41%	1.43%	0.96%	2.20%	1.00%	0.77%	1.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25073	962	877	1036	1003	1234	1074	530	1083	973	403	834	646	629	565	635	1008	835	649	571	845	709	675	1264	489	540	723	706	764	692	620	446	1053									
		66.82%	65.18%	62.11%	69.30%	59.74%	69.99%	75.95%	66.75%	72.39%	64.87%	44.04%	67.92%	70.22%	62.59%	67.18%	64.08%	70.39%	69.35%	72.11%	71.55%	68.15%	68.17%	64.66%	70.69%	68.68%	60.61%	67.76%	67.43%	66.96%	58.54%	69.20%	68.72%	67.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	240	7	15	2	21	7	3	5	10	15	5	12	1	7	5	8	3	5	0	3	5	3	8	6	5	10	16	6	10	5	12	8	12									
		0.64%	0.47%	1.06%	0.13%	1.25%	0.40%	0.21%	0.63%	0.67%	1.00%	0.55%	0.98%	0.11%	0.70%	0.59%	0.81%	0.21%	0.42%	0.00%	0.38%	0.40%	0.29%	0.77%	0.34%	0.70%	1.12%	1.50%	0.57%	0.88%	0.42%	1.34%	1.23%	0.77%									
24	"6. Политическая партия ""Гражданская Платформа"""	196	9	15	1	22	3	0	4	7	12	2	17	1	5	6	9	1	1	0	2	15	4	9	6	0	8	2	3	6	11	5	5	5									
		0.52%	0.61%	1.06%	0.07%	1.31%	0.17%	0.00%	0.50%	0.47%	0.80%	0.22%	1.38%	0.11%	0.50%	0.71%	0.91%	0.07%	0.08%	0.00%	0.25%	1.21%	0.38%	0.86%	0.34%	0.00%	0.90%	0.19%	0.29%	0.53%	0.93%	0.56%	0.77%	0.32%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3819	146	177	189	180	206	87	91	115	151	174	145	101	81	93	97	146	120	64	65	90	74	112	161	70	84	125	133	135	122	63	65	157									
		10.18%	9.89%	12.54%	12.64%	10.72%	11.68%	6.15%	11.46%	7.69%	10.07%	19.02%	11.81%	10.98%	8.06%	11.06%	9.79%	10.20%	9.97%	7.11%	8.15%	7.26%	7.12%	10.73%	9.00%	9.83%	9.43%	11.72%	12.70%	11.83%	10.32%	7.03%	10.02%	10.06%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	167	6	9	3	10	5	0	2	3	8	1	3	1	6	3	6	2	5	9	2	0	5	8	15	4	10	0	5	9	11	2	4	10									
		0.45%	0.41%	0.64%	0.20%	0.60%	0.28%	0.00%	0.25%	0.20%	0.53%	0.11%	0.24%	0.11%	0.60%	0.36%	0.61%	0.14%	0.42%	1.00%	0.25%	0.00%	0.48%	0.77%	0.84%	0.56%	1.12%	0.00%	0.48%	0.79%	0.93%	0.22%	0.62%	0.64%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	218	8	9	2	12	8	7	4	4	15	9	6	2	7	4	9	6	13	2	2	0	5	7	11	3	14	5	9	4	13	5	7	6									
		0.58%	0.54%	0.64%	0.13%	0.71%	0.45%	0.50%	0.50%	0.27%	1.00%	0.98%	0.49%	0.22%	0.70%	0.48%	0.91%	0.42%	1.08%	0.22%	0.25%	0.00%	0.48%	0.67%	0.62%	0.42%	1.57%	0.47%	0.86%	0.35%	1.10%	0.56%	1.08%	0.38%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	184	16	1	4	14	10	0	0	6	15	2	9	1	7	6	11	2	4	0	4	0	8	10	8	0	12	0	0	6	8	9	3	8									
		0.49%	1.08%	0.07%	0.27%	0.83%	0.57%	0.00%	0.00%	0.40%	1.00%	0.22%	0.73%	0.11%	0.70%	0.71%	1.11%	0.14%	0.33%	0.00%	0.50%	0.00%	0.77%	0.96%	0.45%	0.00%	1.35%	0.00%	0.00%	0.53%	0.68%	1.00%	0.46%	0.51%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	302	12	19	3	33	7	2	0	7	16	10	11	2	9	5	17	5	7	2	6	20	9	13	12	7	11	5	7	8	17	7	4	9									
		0.80%	0.81%	1.35%	0.20%	1.97%	0.40%	0.14%	0.00%	0.47%	1.07%	1.09%	0.90%	0.22%	0.90%	0.59%	1.72%	0.35%	0.58%	0.22%	0.75%	1.61%	0.87%	1.25%	0.67%	0.98%	1.23%	0.47%	0.67%	0.70%	1.44%	0.78%	0.62%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3965	154	174	191	160	193	133	93	152	140	178	87	101	127	55	119	145	124	127	93	120	139	96	202	66	91	103	98	105	130	77	47	145									
		10.57%	10.43%	12.32%	12.78%	9.53%	10.95%	9.41%	11.71%	10.16%	9.33%	19.45%	7.08%	10.98%	12.64%	6.54%	12.01%	10.13%	10.30%	14.11%	11.65%	9.68%	13.37%	9.20%	11.30%	9.27%	10.21%	9.65%	9.36%	9.20%	10.99%	8.59%	7.24%	9.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	390	23	25	5	28	10	1	0	17	34	2	18	9	11	19	18	8	0	0	5	20	9	21	17	1	20	1	3	11	25	12	7	10									
