Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Шарьинская городская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561					
1	"Число избирателей, внесенных в список избирателей"	30198	1163	1469	1703	1937	1132	1986	1124	1544	1381	1819	1610	1256	1794	2810	2827	2828	1815					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30450	1150	1480	1710	1960	1140	2000	1130	1550	1400	1850	1640	1250	1810	2840	2870	2840	1830					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15708	520	672	815	1163	548	965	548	789	717	1070	1006	773	911	1590	1582	1256	783					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	832	40	51	33	29	31	39	14	27	35	25	61	83	36	73	78	112	65					
6	Число погашенных избирательных бюллетеней	13910	590	757	862	768	561	996	568	734	648	755	573	394	863	1177	1210	1472	982					
7	Число избирательных бюллетеней в переносных ящиках для голосования	832	40	51	33	29	31	39	14	27	35	25	61	83	36	73	78	112	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15701	519	672	815	1163	548	964	548	789	716	1069	1006	772	910	1590	1581	1256	783					
9	Число недействительных избирательных бюллетеней	212	5	7	9	14	10	18	2	11	6	11	10	7	22	26	21	23	10					
10	Число действительных избирательных бюллетеней	16321	554	716	839	1178	569	985	560	805	745	1083	1057	848	924	1637	1638	1345	838					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	552	10	10	30	35	30	30	16	40	20	41	40	90	38	40	42	23	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	401	6	10	16	22	20	30	14	24	15	38	25	70	24	21	34	21	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	329	9	15	14	20	15	32	13	19	8	27	25	17	25	20	33	21	16					
14	Число погашенных неиспользованных открепительных удостоверений	151	4	0	14	13	10	0	2	16	5	3	15	20	14	19	8	2	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	1	1	1	3	3	0	1	1	3	2	4	1	4	2	4	3	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2810	110	139	142	212	105	194	103	138	120	162	179	128	159	267	273	212	167					
		16.99%	19.68%	19.23%	16.75%	17.79%	18.13%	19.34%	18.33%	16.91%	15.98%	14.81%	16.78%	14.97%	16.81%	16.06%	16.46%	15.50%	19.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2956	122	148	181	163	111	186	110	151	147	181	156	147	180	274	275	266	158					
		17.88%	21.82%	20.47%	21.34%	13.67%	19.17%	18.54%	19.57%	18.50%	19.57%	16.54%	14.62%	17.19%	19.03%	16.48%	16.58%	19.44%	18.63%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	198	10	10	10	15	6	11	8	8	9	12	9	9	10	19	19	17	16					
		1.20%	1.79%	1.38%	1.18%	1.26%	1.04%	1.10%	1.42%	0.98%	1.20%	1.10%	0.84%	1.05%	1.06%	1.14%	1.15%	1.24%	1.89%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5486	137	190	248	436	204	311	152	277	247	419	470	325	280	572	562	396	260					
		33.18%	24.51%	26.28%	29.25%	36.58%	35.23%	31.01%	27.05%	33.95%	32.89%	38.30%	44.05%	38.01%	29.60%	34.40%	33.88%	28.95%	30.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	394	6	17	19	32	9	27	14	26	17	31	26	24	16	44	36	34	16					
		2.38%	1.07%	2.35%	2.24%	2.68%	1.55%	2.69%	2.49%	3.19%	2.26%	2.83%	2.44%	2.81%	1.69%	2.65%	2.17%	2.49%	1.89%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4401	166	207	236	315	132	251	172	201	199	269	214	209	275	453	466	418	218					
		26.62%	29.70%	28.63%	27.83%	26.43%	22.80%	25.02%	30.60%	24.63%	26.50%	24.59%	20.06%	24.44%	29.07%	27.24%	28.09%	30.56%	25.71%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	76	3	5	3	5	2	5	1	4	6	9	3	6	4	8	7	2	3					
		0.46%	0.54%	0.69%	0.35%	0.42%	0.35%	0.50%	0.18%	0.49%	0.80%	0.82%	0.28%	0.70%	0.42%	0.48%	0.42%	0.15%	0.35%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
