Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Свечинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6617	1696	1125	1238	580	129	103	509	230	135	155	102	398	124	93									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6840	1730	1160	1270	600	132	111	522	236	146	163	111	430	129	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2576	727	425	381	212	73	52	153	111	51	68	67	163	63	30									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	324	34	25	66	23	15	6	42	14	10	19	6	35	10	19									
6	Число погашенных избирательных бюллетеней	3940	969	710	823	365	44	53	327	111	85	76	38	232	56	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	324	34	25	66	23	15	6	42	14	10	19	6	35	10	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2575	727	424	381	212	73	52	153	111	51	68	67	163	63	30									
9	Число недействительных избирательных бюллетеней	98	19	17	6	15	0	1	3	8	3	5	10	3	7	1									
10	Число действительных избирательных бюллетеней	2801	742	432	441	220	88	57	192	117	58	82	63	195	66	48									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	193	25	25	25	15	10	10	13	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	159	25	7	25	9	8	7	13	7	8	10	10	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	22	4	5	4	2	2	3	4	1	3	2	6	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	34	0	18	0	6	2	3	0	3	2	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	3	2	0	1	0	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	16	6	3	0	0	3	1	0	0	1	0	0	1	1	0									
		0.55%	0.79%	0.67%	0.00%	0.00%	3.41%	1.72%	0.00%	0.00%	1.64%	0.00%	0.00%	0.51%	1.37%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	85	19	8	21	6	5	1	5	6	5	2	2	5	0	0									
		2.93%	2.50%	1.78%	4.70%	2.55%	5.68%	1.72%	2.56%	4.80%	8.20%	2.30%	2.74%	2.53%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	79	25	15	10	4	4	1	0	3	3	0	2	8	1	3									
		2.73%	3.29%	3.34%	2.24%	1.70%	4.55%	1.72%	0.00%	2.40%	4.92%	0.00%	2.74%	4.04%	1.37%	6.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1119	246	161	170	69	41	21	95	55	26	45	35	102	28	25									
		38.60%	32.33%	35.86%	38.03%	29.36%	46.59%	36.21%	48.72%	44.00%	42.62%	51.72%	47.95%	51.52%	38.36%	51.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	2	2	1	0	0	0	0	0	0	1	0	0	2	0									
		0.28%	0.26%	0.45%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	2.74%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0									
		0.14%	0.26%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	822	237	138	133	85	18	8	57	31	15	11	11	50	21	7									
		28.35%	31.14%	30.73%	29.75%	36.17%	20.45%	13.79%	29.23%	24.80%	24.59%	12.64%	15.07%	25.25%	28.77%	14.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	1	3	2	2	0	0	0	1	0	0	0	0	0	0									
		0.31%	0.13%	0.67%	0.45%	0.85%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	5	2	2	3	0	0	2	0	0	0	0	2	1	0									
		0.59%	0.66%	0.45%	0.45%	1.28%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	1.01%	1.37%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	1	2	2	0	0	0	0	0	0	0	0	0	1									
		0.24%	0.13%	0.22%	0.45%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.04%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	6	5	4	6	1	0	0	0	0	0	0	1	1	0									
		0.83%	0.79%	1.11%	0.89%	2.55%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	1.37%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	418	130	70	71	29	10	9	19	14	5	19	7	20	5	10									
		14.42%	17.08%	15.59%	15.88%	12.34%	11.36%	15.52%	9.74%	11.20%	8.20%	21.84%	9.59%	10.10%	6.85%	20.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	3	3	2	0	0	0	2	0	0	0	0	0	1	0									
		0.38%	0.39%	0.67%	0.45%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	182	59	19	23	14	6	16	12	7	3	4	6	6	5	2									
		6.28%	7.75%	4.23%	5.15%	5.96%	6.82%	27.59%	6.15%	5.60%	4.92%	4.60%	8.22%	3.03%	6.85%	4.08%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
