Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Клявлинская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11168	614	402	1429	1266	1229	1324	460	203	192	189	441	230	146	397	470	474	286	333	216	205	343	154	165									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11285	600	400	1425	1240	1310	1320	470	220	190	205	440	220	155	390	475	475	300	340	220	205	350	160	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8762	502	266	1263	1178	935	1163	378	155	161	140	260	166	99	189	304	326	213	248	172	153	254	130	107									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1539	58	77	92	58	144	56	51	40	18	49	163	40	44	111	108	124	62	57	30	33	74	16	34									
6	Число погашенных избирательных бюллетеней	984	40	57	70	4	231	101	41	25	11	16	17	14	12	90	63	25	25	35	18	19	22	14	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1539	58	77	92	58	144	56	51	40	18	49	163	40	44	111	108	124	62	57	30	33	74	16	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8762	502	266	1263	1178	935	1163	378	155	161	140	260	166	99	189	304	326	213	248	172	153	254	130	107									
9	Число недействительных избирательных бюллетеней	121	0	2	20	7	28	21	0	1	0	3	0	5	1	4	6	7	3	1	3	0	9	0	0									
10	Число действительных избирательных бюллетеней	10180	560	341	1335	1229	1051	1198	429	194	179	186	423	201	142	296	406	443	272	304	199	186	319	146	141									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	177	5	7	15	9	12	7	4	9	2	6	5	2	4	14	4	8	5	5	11	7	15	8	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	176	5	7	15	9	12	7	4	9	2	6	5	2	4	14	4	8	5	5	11	7	15	8	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	2	2	2	5	10	6	4	3	1	2	2	2	0	3	2	0	0	2	2	1	6	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	0	1	3	5	7	2	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	68	5	5	14	4	9	10	1	3	0	1	1	0	0	6	0	2	1	5	0	1	0	0	0									
		0.66%	0.89%	1.46%	1.03%	0.32%	0.83%	0.82%	0.23%	1.54%	0.00%	0.53%	0.24%	0.00%	0.00%	2.00%	0.00%	0.44%	0.36%	1.64%	0.00%	0.54%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	210	10	6	25	25	31	25	3	1	3	19	6	3	3	11	11	9	6	2	5	2	0	0	4									
		2.04%	1.79%	1.75%	1.85%	2.02%	2.87%	2.05%	0.70%	0.51%	1.68%	10.05%	1.42%	1.46%	2.10%	3.67%	2.67%	2.00%	2.18%	0.66%	2.48%	1.08%	0.00%	0.00%	2.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	101	3	1	10	12	18	12	1	2	2	0	4	7	0	4	3	0	7	4	1	2	8	0	0									
		0.98%	0.54%	0.29%	0.74%	0.97%	1.67%	0.98%	0.23%	1.03%	1.12%	0.00%	0.95%	3.40%	0.00%	1.33%	0.73%	0.00%	2.55%	1.31%	0.50%	1.08%	2.44%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7536	414	202	981	952	722	860	337	146	140	115	339	136	117	199	312	342	190	236	162	154	235	141	104									
		73.16%	73.93%	58.89%	72.40%	77.02%	66.91%	70.55%	78.55%	74.87%	78.21%	60.85%	80.14%	66.02%	81.82%	66.33%	75.73%	76.00%	69.09%	77.38%	80.20%	82.80%	71.65%	96.58%	73.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	21	1	10	3	3	1	1	1	0	1	0	2	0	1	2	2	0	0	0	0	0	0	2									
		0.50%	3.75%	0.29%	0.74%	0.24%	0.28%	0.08%	0.23%	0.51%	0.00%	0.53%	0.00%	0.97%	0.00%	0.33%	0.49%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	0	6	1	1	3	0	0	1	0	1	0	0	3	1	0	0	1	1	0	2	0	0									
		0.21%	0.18%	0.00%	0.44%	0.08%	0.09%	0.25%	0.00%	0.00%	0.56%	0.00%	0.24%	0.00%	0.00%	1.00%	0.24%	0.00%	0.00%	0.33%	0.50%	0.00%	0.61%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	988	40	77	154	110	114	111	49	14	17	15	33	27	9	26	27	38	23	28	10	15	28	2	21									
		9.59%	7.14%	22.45%	11.37%	8.90%	10.57%	9.11%	11.42%	7.18%	9.50%	7.94%	7.80%	13.11%	6.29%	8.67%	6.55%	8.44%	8.36%	9.18%	4.95%	8.06%	8.54%	1.37%	14.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	37	3	1	1	7	11	4	1	0	0	0	0	3	0	0	0	0	0	1	0	0	3	0	2									
		0.36%	0.54%	0.29%	0.07%	0.57%	1.02%	0.33%	0.23%	0.00%	0.00%	0.00%	0.00%	1.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.91%	0.00%	1.42%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	32	2	0	1	6	7	9	2	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0									
		0.31%	0.36%	0.00%	0.07%	0.49%	0.65%	0.74%	0.47%	0.51%	0.56%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.36%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0									
		0.07%	0.18%	0.29%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	1	0	3	5	2	1	4	2	1	1	2	0	0	1	0	3	2	1	2	1	3	0	0									
		0.34%	0.18%	0.00%	0.22%	0.40%	0.19%	0.08%	0.93%	1.03%	0.56%	0.53%	0.47%	0.00%	0.00%	0.33%	0.00%	0.67%	0.73%	0.33%	0.99%	0.54%	0.91%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	729	20	32	87	64	101	106	16	17	7	31	33	19	3	31	36	31	26	14	14	6	28	1	6									
		7.08%	3.57%	9.33%	6.42%	5.18%	9.36%	8.70%	3.73%	8.72%	3.91%	16.40%	7.80%	9.22%	2.10%	10.33%	8.74%	6.89%	9.45%	4.59%	6.93%	3.23%	8.54%	0.68%	4.26%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	5	0	7	1	1	7	2	0	2	0	0	0	0	1	1	0	2	0	0	1	0	0	0									
		0.29%	0.89%	0.00%	0.52%	0.08%	0.09%	0.57%	0.47%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.33%	0.24%	0.00%	0.73%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	334	34	15	34	39	31	49	12	7	5	3	4	4	9	13	12	16	14	11	4	4	10	2	2									
		3.24%	6.07%	4.37%	2.51%	3.16%	2.87%	4.02%	2.80%	3.59%	2.79%	1.59%	0.95%	1.94%	6.29%	4.33%	2.91%	3.56%	5.09%	3.61%	1.98%	2.15%	3.05%	1.37%	1.42%									
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
