Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Аксайская районная																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1612	УИК №2167	УИК №2195	УИК №2493	УИК №2494	УИК №2549	УИК №2563	УИК №2564	УИК №2624					
1	"Число избирателей, внесенных в списки избирателей"	71097	1512	1425	1315	1807	1699	1324	1359	1310	1103	1639	1395	1256	1515	1789	1368	1761	1403	1146	337	1303	1364	431	982	201	383	943	172	2043	1998	1113	934	1414	879	471	300	583	722	1157	359	632	1170	708	187	73	1075	1077	539	883	1815	2294	608	1991	1259	80	355	217	1224	1331	784	340	1770	1987	1826	1675	982					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	61559	1377	1251	1132	1342	1263	1159	1175	1193	922	1420	1257	1113	1368	1577	1219	1472	1195	1015	301	1181	1044	382	788	188	292	843	153	1670	1764	1065	851	1280	785	429	272	521	634	1052	326	599	1057	647	184	72	841	843	455	729	1653	2111	556	1711	1064	72	320	217	1120	999	704	305	1470	1628	1529	1511	891					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	49384	1359	860	904	1118	1035	650	902	716	542	1249	933	757	498	1057	747	831	1086	936	266	1007	991	371	737	175	161	720	151	1582	1436	1003	762	1262	753	291	268	470	469	925	242	518	1023	637	181	67	808	775	431	625	1300	1706	426	1529	926	71	299	78	663	820	642	265	1011	1192	1241	1280	648					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2810	11	55	60	59	29	44	17	16	103	42	40	24	138	58	39	257	43	37	9	24	15	11	43	7	94	50	2	61	76	20	34	18	32	21	0	0	108	33	75	37	34	0	3	5	23	27	20	37	10	54	8	54	59	1	5	139	40	88	33	35	12	80	14	0	187					
6	Число погашенных избирательных бюллетеней	9365	7	336	168	165	199	465	256	461	277	129	284	332	732	462	433	384	66	42	26	150	38	0	8	6	37	73	0	27	252	42	55	0	0	117	4	51	57	94	9	44	0	10	0	0	10	41	4	67	343	351	122	128	79	0	16	0	417	91	29	5	447	356	274	231	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2809	11	55	60	59	29	44	17	16	103	42	40	24	138	58	39	257	43	37	9	24	15	11	43	7	94	50	2	61	76	20	34	18	32	21	0	0	108	33	75	37	34	0	3	5	23	27	20	37	10	54	8	54	59	1	5	139	40	87	33	35	12	80	14	0	187					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49295	1359	834	904	1115	1027	650	902	716	542	1249	933	757	498	1057	747	831	1086	936	266	1007	991	371	737	175	161	720	151	1582	1436	1003	762	1262	753	291	268	470	469	925	242	518	1023	637	181	67	808	775	431	625	1300	1706	426	1529	926	71	299	78	663	768	642	265	1011	1192	1241	1280	648					
9	Число недействительных избирательных бюллетеней	206	3	2	7	8	2	6	10	7	6	3	6	0	6	0	6	6	12	0	0	0	0	0	1	0	2	5	0	0	12	0	1	0	0	3	2	0	4	6	2	0	0	0	0	0	3	0	5	27	6	0	2	10	0	0	0	0	1	2	0	0	0	3	16	3	0					
10	Число действительных избирательных бюллетеней	51898	1367	887	957	1166	1054	688	909	725	639	1288	967	781	630	1115	780	1082	1117	973	275	1031	1006	382	779	182	253	765	153	1643	1500	1023	795	1280	785	309	266	470	573	952	315	555	1057	637	184	72	828	802	446	635	1304	1760	432	1573	985	72	304	217	702	853	675	300	1023	1269	1239	1277	835					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2294	55	38	48	40	49	48	40	40	43	63	92	48	39	95	60	36	53	40	7	28	27	17	19	4	7	31	11	40	84	37	133	42	19	11	7	13	16	26	8	15	26	16	4	2	21	20	10	18	36	58	14	43	26	2	8	0	48	25	18	7	72	74	66	124	27					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1896	55	36	48	31	49	47	29	40	37	63	80	44	39	83	43	36	48	35	6	28	27	11	19	4	2	31	10	40	59	31	133	33	7	8	3	3	6	3	3	4	8	14	1	0	6	10	1	8	33	58	10	13	10	0	2	0	43	18	6	7	66	69	55	117	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3471	8	21	103	438	258	75	46	1	23	14	1	10	5	7	18	74	30	7	2	9	266	106	90	6	17	42	5	221	101	8	15	6	4	0	2	0	0	1	0	1	3	2	3	1	143	104	77	73	9	7	0	89	67	0	1	139	13	170	3	1	121	260	121	18	5					
14	Число погашенных неиспользованных открепительных удостоверений	398	0	2	0	9	0	1	11	0	6	0	12	4	0	12	17	0	5	5	1	0	0	6	0	0	5	0	1	0	25	6	0	9	12	3	4	10	10	23	5	11	18	2	3	2	15	10	9	10	3	0	4	30	16	2	6	0	5	7	12	0	6	5	11	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	1.Политическая партия «Аграрная партия России»	334	11	6	13	9	13	1	20	16	9	16	5	4	11	15	7	5	6	0	0	8	0	1	11	0	6	3	0	9	9	2	7	2	2	4	0	2	6	0	0	9	0	1	0	0	7	0	2	3	0	2	2	10	0	0	0	1	3	11	6	2	8	9	8	9	2					
		0.64%	0.80%	0.67%	1.35%	0.77%	1.23%	0.14%	2.18%	2.19%	1.40%	1.24%	0.51%	0.51%	1.73%	1.35%	0.89%	0.46%	0.53%	0.00%	0.00%	0.78%	0.00%	0.26%	1.41%	0.00%	2.35%	0.39%	0.00%	0.55%	0.60%	0.20%	0.88%	0.16%	0.25%	1.28%	0.00%	0.43%	1.04%	0.00%	0.00%	1.62%	0.00%	0.16%	0.00%	0.00%	0.84%	0.00%	0.44%	0.45%	0.00%	0.11%	0.46%	0.63%	0.00%	0.00%	0.00%	0.46%	0.43%	1.29%	0.89%	0.67%	0.78%	0.71%	0.64%	0.70%	0.24%					
19	2.Всероссийская политическая партия «Гражданская Сила»	185	12	3	7	6	3	1	8	2	7	8	4	0	9	8	8	7	2	0	0	8	0	0	3	0	0	0	0	3	11	0	7	0	0	1	0	0	0	1	0	3	0	0	0	0	2	0	0	0	1	1	1	0	1	0	0	0	1	1	2	1	12	17	4	6	3					
		0.36%	0.88%	0.34%	0.73%	0.51%	0.28%	0.14%	0.87%	0.27%	1.09%	0.62%	0.41%	0.00%	1.42%	0.72%	1.02%	0.64%	0.18%	0.00%	0.00%	0.78%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.18%	0.73%	0.00%	0.88%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.10%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.08%	0.06%	0.23%	0.00%	0.10%	0.00%	0.00%	0.00%	0.14%	0.12%	0.30%	0.33%	1.17%	1.34%	0.32%	0.47%	0.36%					
20	3.Политическая партия «Демократическая партия России»	28	1	0	0	1	0	0	1	2	1	0	0	0	0	1	3	1	1	0	0	0	1	0	1	0	0	0	0	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	2	1	0	0	0					
		0.05%	0.07%	0.00%	0.00%	0.09%	0.00%	0.00%	0.11%	0.27%	0.16%	0.00%	0.00%	0.00%	0.00%	0.09%	0.38%	0.09%	0.09%	0.00%	0.00%	0.00%	0.10%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.12%	0.13%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.23%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.20%	0.08%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3030	122	30	180	119	31	89	136	21	98	126	109	42	139	124	30	30	65	10	4	47	56	25	21	10	28	29	6	34	120	10	30	109	38	17	2	7	37	41	16	12	16	9	3	0	68	90	8	39	24	19	1	21	7	1	0	1	34	86	21	5	104	62	137	31	43					
		5.82%	8.91%	3.37%	18.67%	10.14%	2.94%	12.82%	14.80%	2.87%	15.19%	9.76%	11.20%	5.38%	21.86%	11.12%	3.82%	2.76%	5.76%	1.03%	1.45%	4.56%	5.57%	6.54%	2.69%	5.49%	10.98%	3.77%	3.92%	2.07%	7.94%	0.98%	3.77%	8.52%	4.84%	5.45%	0.75%	1.49%	6.41%	4.28%	5.05%	2.16%	1.51%	1.41%	1.63%	0.00%	8.18%	11.22%	1.77%	5.89%	1.83%	1.08%	0.23%	1.33%	0.71%	1.39%	0.00%	0.46%	4.84%	10.06%	3.11%	1.67%	10.17%	4.87%	10.92%	2.42%	5.15%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	133	4	2	2	3	5	2	7	9	2	5	6	1	2	4	7	1	0	0	0	0	13	0	1	0	0	0	0	2	6	0	5	0	8	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	1	1	0	0	0	1	3	1	1	11	2	6	2	0					
