Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Славская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491					
1	"Число избирателей, внесенных в списки избирателей"	14842	2155	1654	2043	355	193	461	303	198	762	555	313	704	688	446	1298	648	1255	159	422	230					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11120	1500	1200	1500	300	170	350	250	150	550	400	250	500	500	350	1000	500	1000	150	300	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7140	1075	844	811	171	105	263	169	138	396	242	167	283	345	217	579	298	539	126	241	131					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	559	38	31	55	13	18	16	18	0	16	38	8	39	47	17	37	74	53	7	20	14					
6	Число погашенных избирательных бюллетеней	3421	387	325	634	116	47	71	63	12	138	120	75	178	108	116	384	128	408	17	39	55					
7	Число избирательных бюллетеней в переносных ящиках для голосования	559	38	31	55	13	18	16	18	0	16	38	8	39	47	17	37	74	53	7	20	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7140	1075	844	811	171	105	263	169	138	396	242	167	283	345	217	579	298	539	126	241	131					
9	Число недействительных избирательных бюллетеней	69	10	12	6	1	0	1	1	4	1	2	2	1	6	1	4	6	7	1	3	0					
10	Число действительных избирательных бюллетеней	7630	1103	863	860	183	123	278	186	134	411	278	173	321	386	233	612	366	585	132	258	145					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	118	10	10	14	1	3	5	3	3	5	3	0	3	3	3	18	15	5	8	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	83	8	10	11	1	3	1	1	0	3	0	0	2	2	2	13	11	5	8	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	40	7	3	4	3	0	0	1	2	0	0	5	1	1	2	2	1	4	3	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	35	2	0	3	0	0	4	2	3	2	3	0	1	1	1	5	4	0	0	3	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	190	31	19	13	2	4	2	3	1	14	12	0	14	17	12	8	7	8	2	7	14					
		2.47%	2.79%	2.17%	1.50%	1.09%	3.25%	0.72%	1.60%	0.72%	3.40%	4.29%	0.00%	4.35%	4.34%	5.13%	1.30%	1.88%	1.35%	1.50%	2.68%	9.66%					
19	2.Всероссийская политическая партия «Гражданская Сила»	40	3	9	4	3	0	4	0	0	0	0	1	2	0	0	3	5	4	1	0	1					
		0.52%	0.27%	1.03%	0.46%	1.63%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.57%	0.62%	0.00%	0.00%	0.49%	1.34%	0.68%	0.75%	0.00%	0.69%					
20	3.Политическая партия «Демократическая партия России»	11	1	3	0	0	0	0	1	0	1	0	0	0	1	0	2	0	1	0	1	0					
