Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Талдомская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957					
1	"Число избирателей, внесенных в список избирателей"	38692	1894	1858	2331	1483	906	1506	1741	1945	2030	1590	1221	1223	1178	2074	2262	2275	217	1765	1464	525	993	571	972	702	856	997	950	492	376	295					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29000	1400	1400	1750	1100	650	1050	1300	1450	1500	1150	900	900	900	1550	1700	1700	150	1350	1100	400	800	400	750	550	700	750	750	400	300	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15396	818	808	1005	572	268	529	657	785	873	621	442	489	466	878	962	799	96	735	685	230	403	164	355	228	346	383	337	198	185	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1442	23	20	38	44	31	76	39	44	30	79	22	23	18	19	23	10	9	28	17	6	97	120	132	69	91	85	128	41	39	41					
6	Число погашенных избирательных бюллетеней	12162	559	572	707	484	351	445	604	621	597	450	436	388	416	653	715	891	45	587	398	164	300	116	263	253	263	282	285	161	76	80					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1442	23	20	38	44	31	76	39	44	30	79	22	23	18	19	23	10	9	28	17	6	97	120	132	69	91	85	128	41	39	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15335	817	808	1005	572	268	528	654	784	873	621	442	489	466	878	907	799	96	735	685	230	403	164	355	228	346	383	337	198	185	79					
9	Число недействительных избирательных бюллетеней	502	19	32	30	20	9	24	36	21	24	10	17	12	15	24	23	19	2	35	24	9	15	7	10	11	16	11	9	9	7	2					
10	Число действительных избирательных бюллетеней	16275	821	796	1013	596	290	580	657	807	879	690	447	500	469	873	907	790	103	728	678	227	485	277	477	286	421	457	456	230	217	118					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	849	20	24	45	20	20	20	20	35	30	25	20	20	20	35	30	30	20	20	20	20	40	30	55	60	65	20	25	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	655	20	23	31	10	6	16	15	33	18	22	9	8	12	35	28	25	4	20	18	2	40	25	49	55	62	12	25	15	15	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	340	8	8	12	7	14	26	15	22	13	31	16	20	16	9	11	10	7	4	9	1	10	5	9	5	6	12	4	8	17	5					
14	Число погашенных неиспользованных открепительных удостоверений	194	0	1	14	10	14	4	5	2	12	3	11	12	8	0	2	5	16	0	2	18	0	5	6	5	3	8	0	5	5	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0					
