Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Новозыбковская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124					
1	"Число избирателей, внесенных в список избирателей"	9360	686	489	218	384	992	163	231	236	188	855	488	306	471	374	690	274	530	397	361	709	318					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8691	630	501	190	345	909	146	209	214	167	875	448	284	436	342	634	245	486	365	325	647	293					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4946	442	294	126	198	473	101	143	153	114	400	266	124	275	197	350	153	264	201	166	315	191					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	899	69	59	17	40	56	21	14	29	35	85	50	40	41	19	59	19	83	64	50	41	8					
6	Число погашенных избирательных бюллетеней	2846	119	148	47	107	380	24	52	32	18	390	132	120	120	126	225	73	139	100	109	291	94					
7	Число избирательных бюллетеней в переносных ящиках для голосования	899	69	59	17	40	56	21	14	29	35	85	50	40	41	19	59	19	83	64	50	41	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4946	442	294	126	198	473	101	143	153	114	400	266	124	275	197	350	153	264	201	166	315	191					
9	Число недействительных избирательных бюллетеней	73	5	3	2	5	4	7	4	1	0	4	5	2	6	3	2	2	5	3	3	6	1					
10	Число действительных избирательных бюллетеней	5772	506	350	141	233	525	115	153	181	149	481	311	162	310	213	407	170	342	262	213	350	198					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	58	4	3	2	4	3	1	2	2	2	4	3	2	3	2	3	2	3	4	3	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	58	4	3	2	4	3	1	2	2	2	4	3	2	3	2	3	2	3	4	3	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	3	5	2	1	2	2	4	2	2	2	1	2	5	3	3	3	2	5	6	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	2	0	1	4	1	0	1	0	0	0	1	2	1	2	0	1	1	2	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	714	46	26	33	47	79	7	19	13	8	79	53	15	26	43	56	25	35	33	26	30	15					
		12.22%	9.00%	7.37%	23.08%	19.75%	14.93%	5.74%	12.10%	7.14%	5.37%	16.29%	16.77%	9.15%	8.23%	19.91%	13.69%	14.53%	10.09%	12.45%	12.04%	8.43%	7.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	435	44	45	13	19	48	10	7	21	5	32	19	7	20	13	30	18	15	16	14	27	12					
		7.44%	8.61%	12.75%	9.09%	7.98%	9.07%	8.20%	4.46%	11.54%	3.36%	6.60%	6.01%	4.27%	6.33%	6.02%	7.33%	10.47%	4.32%	6.04%	6.48%	7.58%	6.03%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	6	2	0	0	3	0	0	2	2	3	0	0	1	1	7	3	0	2	2	2	0					
		0.62%	1.17%	0.57%	0.00%	0.00%	0.57%	0.00%	0.00%	1.10%	1.34%	0.62%	0.00%	0.00%	0.32%	0.46%	1.71%	1.74%	0.00%	0.75%	0.93%	0.56%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	933	78	25	10	51	94	9	12	32	12	100	54	35	73	62	69	24	39	28	30	71	25					
		15.96%	15.26%	7.08%	6.99%	21.43%	17.77%	7.38%	7.64%	17.58%	8.05%	20.62%	17.09%	21.34%	23.10%	28.70%	16.87%	13.95%	11.24%	10.57%	13.89%	19.94%	12.56%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	64	5	4	2	8	9	1	3	0	0	10	1	1	3	0	5	1	4	0	0	3	4					
		1.09%	0.98%	1.13%	1.40%	3.36%	1.70%	0.82%	1.91%	0.00%	0.00%	2.06%	0.32%	0.61%	0.95%	0.00%	1.22%	0.58%	1.15%	0.00%	0.00%	0.84%	2.01%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3573	325	247	83	107	291	88	111	112	122	256	183	104	187	94	239	97	249	183	140	214	141					
		61.13%	63.60%	69.97%	58.04%	44.96%	55.01%	72.13%	70.70%	61.54%	81.88%	52.78%	57.91%	63.41%	59.18%	43.52%	58.44%	56.40%	71.76%	69.06%	64.81%	60.11%	70.85%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	17	2	1	0	1	1	0	1	1	0	1	1	0	0	0	1	2	0	0	1	3	1					
		0.29%	0.39%	0.28%	0.00%	0.42%	0.19%	0.00%	0.64%	0.55%	0.00%	0.21%	0.32%	0.00%	0.00%	0.00%	0.24%	1.16%	0.00%	0.00%	0.46%	0.84%	0.50%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
