Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Селенгинская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30870	1469	1801	1500	656	1189	2550	1051	1801	1846	138	2220	1531	1955	189	96	431	87	1679	302	1300	109	74	494	110	141	605	1780	187	233	815	191	50	392	787	224	548	254	25	60									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27914	1299	1568	1319	558	1046	2275	939	1591	1640	137	1958	1364	1758	184	96	428	86	1510	295	1175	109	70	492	112	147	545	1594	187	240	737	173	52	399	713	223	553	260	22	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11046	579	575	522	239	444	833	309	706	603	47	674	434	513	56	38	128	46	425	84	401	52	44	178	70	92	486	489	109	132	250	115	43	171	442	97	390	178	18	34									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	582	16	15	10	9	6	15	4	17	16	3	27	23	26	26	3	27	0	24	55	6	6	0	11	2	10	40	27	1	10	68	3	2	10	14	9	14	11	2	14									
6	Число погашенных избирательных бюллетеней	16286	704	978	787	310	596	1427	626	868	1021	87	1257	907	1219	102	55	273	40	1061	156	768	51	26	303	40	45	19	1078	77	98	419	55	7	218	257	117	149	71	2	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	582	16	15	10	9	6	15	4	17	16	3	27	23	26	26	3	27	0	24	55	6	6	0	11	2	10	40	27	1	10	68	3	2	10	14	9	14	11	2	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11030	579	575	522	239	444	833	309	706	587	47	674	434	513	56	38	128	46	425	84	401	52	44	178	70	92	486	489	109	132	250	115	43	171	442	97	390	178	18	34									
9	Число недействительных избирательных бюллетеней	265	15	17	11	5	11	27	13	15	12	1	11	9	17	3	1	7	6	10	0	14	3	2	3	1	2	0	13	6	6	8	2	0	2	3	3	4	0	0	2									
10	Число действительных избирательных бюллетеней	11347	580	573	521	243	439	821	300	708	591	49	690	448	522	79	40	148	40	439	139	393	55	42	186	71	100	526	503	104	136	310	116	45	179	453	103	400	189	20	46									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	861	40	40	40	20	20	20	30	40	40	5	50	40	50	10	5	20	5	50	10	40	5	5	10	5	5	20	50	5	10	30	5	5	20	20	10	61	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	419	10	13	6	7	5	10	5	11	6	0	7	4	22	10	0	13	0	11	0	18	5	5	10	5	5	16	41	5	10	30	3	5	18	19	8	56	20	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	180	7	15	6	13	8	19	4	5	10	3	15	6	7	6	2	2	1	8	0	3	1	2	2	2	0	0	3	3	1	1	6	3	6	3	0	6	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	442	30	27	34	13	15	10	25	29	34	5	43	36	28	0	5	7	5	39	10	22	0	0	0	0	0	4	9	0	0	0	2	0	2	1	2	5	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	0	1	1	2	1	3	1	5	1	0	1	0	2	0	0	0	0	1	0	1	0	1	2	2	0	1	0	1	0	4	0	0	0	0	0	4	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	2	2	2	1	2	12	1	4	3	5	3	6	2	1	0	0	0	4	0	1	0	0	1	1	0	2	4	2	0	2	1	0	1	2	0	1	0	1	0									
		0.59%	0.34%	0.34%	0.38%	0.40%	0.44%	1.42%	0.32%	0.55%	0.50%	10.00%	0.43%	1.31%	0.37%	1.22%	0.00%	0.00%	0.00%	0.89%	0.00%	0.25%	0.00%	0.00%	0.53%	1.39%	0.00%	0.38%	0.78%	1.82%	0.00%	0.63%	0.85%	0.00%	0.55%	0.44%	0.00%	0.25%	0.00%	5.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	351	17	14	20	10	10	30	12	28	15	2	19	16	14	3	3	3	0	17	1	12	3	1	8	4	4	0	27	2	0	11	8	0	7	14	3	8	4	0	1									
		3.02%	2.86%	2.37%	3.76%	4.03%	2.22%	3.54%	3.83%	3.87%	2.49%	4.00%	2.71%	3.50%	2.60%	3.66%	7.32%	1.94%	0.00%	3.79%	0.72%	2.95%	5.17%	2.27%	4.23%	5.56%	3.92%	0.00%	5.23%	1.82%	0.00%	3.46%	6.78%	0.00%	3.87%	3.07%	2.83%	1.98%	2.12%	0.00%	2.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	224	11	12	8	11	15	26	3	15	14	0	12	15	8	2	1	5	1	5	0	11	1	0	6	1	0	5	8	0	6	3	1	0	4	5	0	5	0	1	3									
		1.93%	1.85%	2.03%	1.50%	4.44%	3.33%	3.07%	0.96%	2.07%	2.32%	0.00%	1.71%	3.28%	1.48%	2.44%	2.44%	3.23%	2.17%	1.11%	0.00%	2.70%	1.72%	0.00%	3.17%	1.39%	0.00%	0.95%	1.55%	0.00%	4.23%	0.94%	0.85%	0.00%	2.21%	1.10%	0.00%	1.24%	0.00%	5.00%	6.25%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4996	218	249	175	74	152	293	125	227	202	14	256	148	259	42	32	89	34	164	17	173	27	26	91	29	66	435	196	79	105	168	54	31	120	218	61	169	151	11	16									
		43.02%	36.64%	42.20%	32.89%	29.84%	33.78%	34.55%	39.94%	31.40%	33.50%	28.00%	36.52%	32.39%	48.05%	51.22%	78.05%	57.42%	73.91%	36.53%	12.23%	42.51%	46.55%	59.09%	48.15%	40.28%	64.71%	82.70%	37.98%	71.82%	73.94%	52.83%	45.76%	68.89%	66.30%	47.81%	57.55%	41.83%	79.89%	55.00%	33.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	56	6	2	4	1	3	6	1	2	5	0	3	3	2	0	0	1	0	1	0	3	1	0	1	0	0	1	1	1	0	1	1	0	1	0	0	2	2	0	1									
		0.48%	1.01%	0.34%	0.75%	0.40%	0.67%	0.71%	0.32%	0.28%	0.83%	0.00%	0.43%	0.66%	0.37%	0.00%	0.00%	0.65%	0.00%	0.22%	0.00%	0.74%	1.72%	0.00%	0.53%	0.00%	0.00%	0.19%	0.19%	0.91%	0.00%	0.31%	0.85%	0.00%	0.55%	0.00%	0.00%	0.50%	1.06%	0.00%	2.08%									
