Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																
Дата голосования: 18.09.2016																																																																																																																																																
																																																																																																																																																
Наименование Избирательной комиссии:    Братская городская																																																																																																																																																
																																																																																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																
																																																																																																																																																
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №1891	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №8020	УИК №8023	УИК №8056	УИК №8057	УИК №8058	УИК №8066	УИК №8067	УИК №8068	УИК №8069	УИК №8070	УИК №8079	УИК №8099	УИК №8100	УИК №8101	УИК №8102	УИК №8104	УИК №8105	УИК №8106	УИК №8107	УИК №8158	УИК №8173	УИК №8174	УИК №8185	УИК №8200	УИК №8201	УИК №8202	УИК №8267	УИК №8270	УИК №8284	УИК №8326	УИК №8329	УИК №8352	УИК №8353									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	187599	1857	1548	2662	1754	1700	1872	1613	1871	1866	1719	2190	1532	1922	1828	2061	1510	2415	2506	2204	2386	2386	1830	1638	2583	2518	1947	2274	2119	2299	2049	2156	1982	2127	2334	2326	1530	1622	2512	2606	2379	2086	1780	1816	2303	2257	2749	1734	1807	1838	1643	2695	2152	795	1262	1836	2620	1324	1421	573	1043	1842	2497	2007	1558	1924	1900	1706	2012	2377	1503	1569	1328	2310	2506	1738	2029	2107	1454	2060	1933	2343	1712	942	1735	1473	917	731	852	804	2385	1902	2082	1274	1726	245	77	137	267	81	72	269	256	107	108	86	233	239	160	30	676	340	469	100	40	145	1074	84	173	82	1313	344	108	371	196	118	335	523	222	436	171	384	258	65									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	202172	1850	1550	2650	1750	1650	1850	1600	1850	1850	1700	2200	1500	1850	1800	2050	1500	2450	2500	2200	2400	2400	1800	1650	2600	2500	1900	2300	2100	2300	2050	2150	2000	2100	2350	2300	1500	1600	2500	2600	2400	2050	1750	1800	2300	2250	2750	1700	1800	1800	1650	2700	2100	800	1250	1800	2600	1300	1400	600	1050	1850	2500	1600	1550	1950	2250	1700	2000	2400	1500	1550	1150	2300	2450	1750	2050	2100	1450	2050	1900	2300	1700	900	1750	1500	900	700	850	750	2350	1900	2050	1250	1750	195	100	150	313	100	100	1200	1375	220	400	560	825	422	1088	35	800	940	798	170	130	300	820	300	450	180	1745	700	235	1000	670	610	1660	1631	1070	915	1180	935	1400	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	52	0	31	48	16	0	0	85	0	0	0	0	0	0	0	0	17	0	64	0	0	251	54	0	17	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60704	300	265	507	447	439	486	454	542	519	415	536	338	355	433	521	268	737	895	661	784	717	456	466	740	713	551	637	636	641	766	781	592	726	865	711	455	285	787	741	723	537	526	543	711	767	814	576	630	589	495	847	576	119	332	426	764	400	421	150	339	611	863	616	498	715	636	621	769	883	518	476	518	798	971	642	753	743	422	622	634	615	504	237	463	359	222	159	225	201	716	564	612	303	509	125	54	112	267	35	38	240	256	105	108	86	114	239	107	28	528	291	397	63	24	60	276	84	173	82	1306	302	97	371	179	118	271	523	221	185	98	384	241	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2003	24	18	28	11	11	15	13	16	18	11	19	14	9	8	36	6	33	29	13	11	15	12	23	20	16	31	14	23	15	8	7	14	6	6	7	3	9	9	14	28	221	26	10	3	9	6	4	9	9	6	5	41	61	33	22	19	5	12	6	8	10	4	9	2	6	7	9	10	11	13	14	12	6	16	22	28	10	3	12	10	41	24	8	37	11	18	11	17	9	17	38	36	25	39	0	12	25	0	46	34	1	0	0	0	0	119	0	0	0	0	1	0	37	0	0	0	0	0	0	7	38	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	138802	1526	1267	2115	1292	1200	1349	1133	1292	1313	1274	1645	1148	1486	1359	1493	1226	1680	1576	1526	1605	1668	1332	1161	1840	1771	1318	1649	1441	1644	1276	1362	1394	1368	1479	1582	1042	1306	1704	1845	1649	1292	1198	1247	1586	1474	1930	1120	1161	1202	1149	1848	1483	620	885	1352	1817	895	967	444	703	1229	1633	975	1050	1229	1607	1070	1221	1506	969	1060	620	1496	1463	1086	1269	1347	1025	1416	1256	1644	1172	655	1250	1130	660	530	608	540	1617	1298	1402	922	1202	70	34	13	46	19	28	931	1119	115	292	474	592	183	929	7	241	600	385	70	106	155	544	216	277	98	432	360	138	629	474	492	1325	1108	849	479	1028	551	1142	385									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2666	24	18	28	11	11	15	13	16	18	11	19	14	9	8	36	6	33	29	13	11	15	12	23	20	16	31	14	23	15	8	7	14	6	6	7	3	9	9	14	28	221	26	10	3	9	6	4	9	9	6	5	41	61	33	22	19	5	12	6	8	10	4	9	2	6	7	9	10	11	13	14	12	6	16	22	28	10	3	12	10	41	24	8	37	11	18	11	17	9	17	38	36	25	39	0	12	25	0	46	34	29	0	0	0	0	119	0	52	0	31	49	16	37	0	85	0	0	0	0	7	38	0	0	17	0	64	0	0	251	54	0	17	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	60683	300	265	507	447	439	486	451	542	519	415	536	338	355	431	521	268	737	895	657	784	717	456	466	738	713	551	637	636	641	766	779	592	724	864	711	455	285	786	740	723	537	526	543	711	767	814	576	630	589	495	846	576	119	332	426	764	400	421	150	339	611	863	616	498	715	636	621	769	883	518	476	518	798	971	642	753	743	422	622	634	615	504	237	463	359	222	159	225	201	716	564	612	303	509	125	54	112	267	35	38	240	256	105	108	86	114	239	107	28	528	291	397	63	24	60	276	84	173	81	1306	301	97	371	179	118	271	523	221	185	98	384	241	65									
9	Число недействительных избирательных бюллетеней	1367	6	7	12	11	11	9	6	14	14	9	9	11	10	8	13	9	12	17	11	18	19	13	5	20	20	15	16	9	25	10	20	9	10	25	21	11	2	19	18	22	10	8	14	8	19	11	14	9	12	7	18	9	1	8	11	15	6	12	2	10	14	19	22	13	12	16	17	22	20	17	11	17	24	21	19	21	20	8	12	20	11	10	1	12	8	8	5	10	4	27	19	15	9	15	2	1	4	11	3	1	3	3	1	1	1	6	6	2	0	14	2	5	1	0	2	6	0	1	1	18	4	0	6	3	0	3	8	6	6	0	3	2	2									
10	Число действительных избирательных бюллетеней	61982	318	276	523	447	439	492	458	544	523	417	546	341	354	431	544	265	758	907	659	777	713	455	484	738	709	567	635	650	631	764	766	597	720	845	697	447	292	776	736	729	748	544	539	706	757	809	566	630	586	494	833	608	179	357	437	768	399	421	154	337	607	848	603	487	709	627	613	757	874	514	479	513	780	966	645	760	733	417	622	624	645	518	244	488	362	232	165	232	206	706	583	633	319	533	123	65	133	256	78	71	266	253	104	107	85	227	233	157	28	545	338	408	99	24	143	270	84	172	80	1295	335	97	365	193	118	332	515	215	430	152	381	256	63									
