Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Ртищевская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1883									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43093	422	1270	1690	1605	1643	1709	1551	1442	1444	1441	1380	1439	1407	1559	501	1001	1554	1386	1680	1468	1456	1546	300	154	123	432	177	375	226	229	271	355	654	405	273	248	726	330	312	362	475	454	817	246	183	384	348	330	979	612	132	947	329	231	80									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43050	426	1210	1650	1550	1600	1700	1500	1300	1450	1440	1350	1450	1447	1593	500	950	1500	1400	1650	1490	1450	1550	300	151	127	442	192	396	239	231	281	369	674	435	286	257	740	341	308	384	491	468	845	262	193	388	356	354	1000	623	139	962	337	243	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23418	288	357	1043	848	645	1303	965	878	588	512	640	1033	554	732	210	402	1273	478	730	717	1034	844	244	134	74	241	127	205	126	167	194	247	222	248	195	166	354	255	200	244	276	243	568	117	129	227	167	157	435	327	87	604	173	167	24									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3033	56	32	73	47	64	97	90	4	69	55	59	38	41	63	26	31	42	36	50	39	22	32	40	14	41	72	25	40	60	46	46	79	159	87	57	50	34	35	29	53	75	77	33	36	23	55	56	114	224	64	16	67	64	40	56									
6	Число погашенных избирательных бюллетеней	16599	82	821	534	655	891	300	445	418	793	873	651	379	852	798	264	517	185	886	870	734	394	674	16	3	12	129	40	151	53	18	41	43	293	100	34	41	352	51	79	87	140	148	244	109	41	106	133	83	341	232	36	291	100	36	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3033	56	32	73	47	64	97	90	4	69	55	59	38	41	63	26	31	42	36	50	39	22	32	40	14	41	72	25	40	60	46	46	79	159	87	57	50	34	35	29	53	75	77	33	36	23	55	56	114	224	64	16	67	64	40	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23418	288	357	1043	848	645	1303	965	878	588	512	640	1033	554	732	210	402	1273	478	730	717	1034	844	244	134	74	241	127	205	126	167	194	247	222	248	195	166	354	255	200	244	276	243	568	117	129	227	167	157	435	327	87	604	173	167	24									
9	Число недействительных избирательных бюллетеней	197	0	3	0	22	10	8	2	26	7	7	0	28	11	4	4	6	0	3	0	13	6	5	0	0	0	0	0	0	2	1	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	4	0	0	4	0	3	4	2	3	2									
10	Число действительных избирательных бюллетеней	26254	344	386	1116	873	699	1392	1053	856	650	560	699	1043	584	791	232	427	1315	511	780	743	1050	871	284	148	115	313	152	245	184	212	239	326	381	335	249	216	388	290	229	297	351	320	601	150	152	278	223	271	655	391	100	667	235	204	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	467	5	10	10	10	10	15	10	40	10	10	10	10	19	20	5	10	15	15	15	15	15	10	5	3	3	7	3	5	5	3	5	5	7	5	5	5	10	5	5	5	5	5	10	5	3	5	5	5	10	8	3	10	10	3	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	273	3	4	8	8	8	13	4	35	8	10	4	6	19	16	5	4	4	15	15	10	10	10	0	0	1	5	1	4	2	0	0	3	4	2	0	1	2	0	0	1	1	4	0	0	0	1	0	1	7	6	0	2	6	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	146	1	1	1	1	5	1	1	6	1	3	4	6	4	4	2	4	1	7	4	17	0	5	1	1	0	2	1	3	1	1	3	6	4	1	0	1	2	1	4	1	1	2	2	6	2	3	3	1	1	3	1	1	1	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	194	2	6	2	2	2	2	6	5	2	0	6	4	0	4	0	6	11	0	0	5	5	0	5	3	2	2	2	1	3	3	5	2	3	3	5	4	8	5	5	4	4	1	10	5	3	4	5	4	3	2	3	8	4	3	0									
