Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Караульская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222					
1	"Число избирателей, внесенных в списки избирателей"	2885	215	236	512	936	89	897					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2980	200	260	560	930	90	940					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	885	9	31	0	492	22	331					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1218	162	194	330	345	67	120					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	55	9	3	26	17	0	0					
6	Число погашенных избирательных бюллетеней	822	20	32	204	76	1	489					
7	Число избирательных бюллетеней в переносных ящиках для голосования	940	18	34	26	509	22	331					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1218	162	194	330	345	67	120					
9	Число недействительных избирательных бюллетеней	18	3	1	4	9	0	1					
10	Число действительных избирательных бюллетеней	2140	177	227	352	845	89	450					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	90	15	15	20	15	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	32	0	7	15	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	155	0	2	5	3	0	145					
14	Число погашенных неиспользованных открепительных удостоверений	58	15	8	5	5	10	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	34	4	1	5	15	0	9					
		1.58%	2.22%	0.44%	1.40%	1.76%	0.00%	1.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	0	0	1	1	0	1					
		0.14%	0.00%	0.00%	0.28%	0.12%	0.00%	0.22%					
20	3.Политическая партия «Демократическая партия России»	4	1	0	0	1	0	2					
		0.19%	0.56%	0.00%	0.00%	0.12%	0.00%	0.44%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	84	9	6	20	26	1	22					
		3.89%	5.00%	2.63%	5.62%	3.04%	1.12%	4.88%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3	0	1	0	2	0	0					
		0.14%	0.00%	0.44%	0.00%	0.23%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	0	0	0	0	1					
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%					
24	7.Политическая партия «Либерально-демократическая партия России»	167	27	14	35	36	7	48					
		7.74%	15.00%	6.14%	9.83%	4.22%	7.87%	10.64%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	81	7	3	28	21	0	22					
		3.75%	3.89%	1.32%	7.87%	2.46%	0.00%	4.88%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	8	2	3	2	0	1	0					
		0.37%	1.11%	1.32%	0.56%	0.00%	1.12%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1747	127	199	259	738	80	344					
		80.95%	70.56%	87.28%	72.75%	86.42%	89.89%	76.27%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	8	0	0	2	5	0	1					
		0.37%	0.00%	0.00%	0.56%	0.59%	0.00%	0.22%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
