Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Томская (182)																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50668	44	145	426	1296	1041	1288	376	499	428	292	642	1750	1160	430	104	456	1159	2283	322	976	2042	2097	181	518	769	228	1566	396	330	1849	1579	100	180	819	1359	900	276	775	201	517	254	219	161	170	332	347	490	137	647	116	1008	601	2650	1837	956	1080	849	1208	150	302	1233	874	501	441	364	181	452	128	166	1015									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49000	40	130	410	1300	1000	1200	370	450	400	280	640	1700	1100	430	100	450	1100	2200	320	950	2000	1950	160	500	750	220	1550	380	300	1850	1550	100	180	800	1300	850	270	750	190	500	250	200	160	170	330	350	450	130	600	110	1000	600	2500	1750	950	1050	850	1150	140	300	1200	870	500	400	360	180	450	120	160	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14437	28	36	101	303	226	386	96	148	169	116	186	503	366	128	32	115	434	512	85	270	689	524	45	165	191	76	443	165	122	463	498	52	64	222	333	249	49	197	50	119	63	70	46	47	76	73	103	34	192	39	301	184	946	510	295	240	197	373	39	66	314	241	169	114	112	57	110	41	65	364									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	549	3	6	19	7	22	11	28	21	18	0	1	3	8	6	2	6	6	9	23	6	3	2	0	2	2	4	12	4	17	14	5	0	11	2	4	1	11	9	2	26	0	0	9	1	0	12	24	1	9	2	8	3	22	4	15	23	7	10	10	2	7	4	4	2	9	7	0	0	10	8									
6	Число погашенных избирательных бюллетеней	34014	9	88	290	990	752	803	246	281	213	164	453	1194	726	296	66	329	660	1679	212	674	1308	1424	115	333	557	140	1095	211	161	1373	1047	48	105	576	963	600	210	544	138	355	187	130	105	122	254	265	323	95	399	69	691	413	1532	1236	640	787	646	767	91	232	879	625	327	284	239	116	340	79	85	628									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	549	3	6	19	7	22	11	28	21	18	0	1	3	8	6	2	6	6	9	23	6	3	2	0	2	2	4	12	4	17	14	5	0	11	2	4	1	11	9	2	26	0	0	9	1	0	12	24	1	9	2	8	3	22	4	15	23	7	10	10	2	7	4	4	2	9	7	0	0	10	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14431	28	36	101	303	226	386	96	148	169	116	186	503	366	128	32	115	434	512	85	270	689	524	45	165	191	76	443	165	122	463	498	52	64	222	332	249	49	197	50	119	63	70	46	47	76	73	103	34	192	39	301	184	941	510	295	240	197	373	39	66	314	241	169	114	112	57	110	41	65	364									
9	Число недействительных избирательных бюллетеней	393	0	0	0	11	6	9	0	2	2	0	7	13	11	3	1	3	10	12	4	6	11	14	1	5	0	0	18	6	4	17	14	0	2	4	9	2	0	1	2	0	1	4	0	2	0	3	5	1	5	0	7	6	39	22	9	9	5	9	0	4	12	8	7	1	4	1	4	0	0	15									
10	Число действительных избирательных бюллетеней	14587	31	42	120	299	242	388	124	167	185	116	180	493	363	131	33	118	430	509	104	270	681	512	44	162	193	80	437	163	135	460	489	52	73	220	327	248	60	205	50	145	62	66	55	46	76	82	122	34	196	41	302	181	924	492	301	254	199	374	49	64	309	237	166	115	117	63	106	41	75	357									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	770	10	10	10	10	10	15	10	10	10	10	10	15	15	10	10	10	10	15	10	10	15	15	10	10	10	10	15	10	10	15	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	15	10	10	10	10	10	10	15	10	10	10	10	10	10	10	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	142	1	0	5	5	2	5	2	3	2	1	5	7	3	0	0	0	4	7	1	4	7	7	0	0	1	0	3	3	1	7	9	0	1	2	6	5	1	0	0	0	1	0	0	0	1	0	2	1	0	0	2	0	7	3	0	0	2	3	0	0	4	3	0	2	0	0	0	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	235	5	11	6	0	2	6	2	2	2	5	0	6	7	1	2	1	2	11	0	1	12	6	13	3	2	4	3	14	8	4	3	0	2	4	0	4	0	2	3	1	0	0	0	0	3	0	2	1	4	2	3	0	24	4	5	3	2	3	1	0	9	0	0	2	1	1	1	0	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	628	9	10	5	5	8	10	8	7	8	9	5	8	12	10	10	10	6	8	9	6	8	8	10	10	9	10	12	7	9	8	6	10	9	8	4	5	9	10	10	10	9	10	10	10	9	10	8	9	10	10	8	10	13	12	10	10	8	7	10	10	11	7	10	8	10	10	10	10	10	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
