Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Тербунская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17871	593	352	614	527	463	164	371	497	212	121	673	206	409	380	476	1005	332	1157	1030	959	762	856	799	761	428	243	1046	527	349	402	303	630	224									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17470	600	350	610	510	450	160	360	500	210	120	650	200	400	370	450	1000	320	1150	1000	950	750	850	800	750	400	220	1000	500	320	400	300	600	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8171	259	170	397	275	293	87	162	221	119	85	392	82	192	283	243	469	165	420	518	379	228	303	374	264	174	63	384	205	121	297	178	285	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3055	81	55	98	75	79	32	99	135	35	16	152	75	98	73	132	316	87	121	85	123	93	62	88	47	59	51	180	120	92	88	73	77	58									
6	Число погашенных избирательных бюллетеней	6244	260	125	115	160	78	41	99	144	56	19	106	43	110	14	75	215	68	609	397	448	429	485	338	439	167	106	436	175	107	15	49	238	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3055	81	55	98	75	79	32	99	135	35	16	152	75	98	73	132	316	87	121	85	123	93	62	88	47	59	51	180	120	92	88	73	77	58									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8171	259	170	397	275	293	87	162	221	119	85	392	82	192	283	243	469	165	420	518	379	228	303	374	264	174	63	384	205	121	297	178	285	84									
9	Число недействительных избирательных бюллетеней	171	3	1	0	4	5	1	1	12	1	0	0	0	1	0	2	4	2	17	0	15	6	13	0	0	28	0	39	3	1	6	4	2	0									
10	Число действительных избирательных бюллетеней	11055	337	224	495	346	367	118	260	344	153	101	544	157	289	356	373	781	250	524	603	487	315	352	462	311	205	114	525	322	212	379	247	360	142									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	178	5	3	5	5	5	5	5	5	5	5	5	5	6	5	8	8	5	8	8	5	5	5	6	5	5	5	8	5	5	5	5	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	43	1	0	3	0	2	0	1	1	2	0	0	0	4	2	4	3	0	1	3	1	3	2	3	2	0	0	3	0	0	0	1	1	0									
