Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Озерная поселковая											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №740	УИК №741	УИК №742	УИК №743					
1	"Число избирателей, внесенных в списки избирателей"	8802	2483	2146	2320	1853					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7900	2250	2000	2100	1550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	259	22	19	19	199					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5799	1696	1347	1548	1208					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	196	66	41	36	53					
6	Число погашенных избирательных бюллетеней	1646	466	593	497	90					
7	Число избирательных бюллетеней в переносных ящиках для голосования	455	88	60	55	252					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5791	1693	1345	1547	1206					
9	Число недействительных избирательных бюллетеней	69	15	20	12	22					
10	Число действительных избирательных бюллетеней	6177	1766	1385	1590	1436					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	215	52	39	49	75					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	208	51	34	49	74					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	70	18	14	21	17					
14	Число погашенных неиспользованных открепительных удостоверений	7	1	5	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	185	53	42	49	41					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	185	67	47	46	25					
		2.96%	3.76%	3.35%	2.87%	1.71%					
19	2.Всероссийская политическая партия «Гражданская Сила»	49	19	8	12	10					
		0.78%	1.07%	0.57%	0.75%	0.69%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	1	1					
		0.03%	0.00%	0.00%	0.06%	0.07%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	486	178	117	120	71					
		7.78%	9.99%	8.33%	7.49%	4.87%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	24	3	5	10	6					
		0.38%	0.17%	0.36%	0.62%	0.41%					
23	6.Политическая партия «Партия социальной справедливости»	15	4	3	7	1					
		0.24%	0.22%	0.21%	0.44%	0.07%					
24	7.Политическая партия «Либерально-демократическая партия России»	877	206	180	197	294					
		14.04%	11.57%	12.81%	12.30%	20.16%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	434	150	99	122	63					
		6.95%	8.42%	7.05%	7.62%	4.32%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	68	21	14	14	19					
		1.09%	1.18%	0.99%	0.87%	1.30%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3993	1102	901	1051	939					
		63.93%	61.88%	64.13%	65.61%	64.40%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	44	16	11	10	7					
		0.70%	0.90%	0.78%	0.62%	0.48%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
