Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Озерная поселковая												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692					
1	"Число избирателей, внесенных в список избирателей"	8896	1754	1841	1707	1773	1821					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8850	1750	1800	1700	1800	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	471	418	16	13	15	9					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6106	1109	1274	1155	1322	1246					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	230	84	41	36	33	36					
6	Число погашенных избирательных бюллетеней	2043	139	469	496	430	509					
7	Число избирательных бюллетеней в переносных ящиках для голосования	701	502	57	49	48	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6099	1109	1268	1155	1321	1246					
9	Число недействительных избирательных бюллетеней	182	107	20	22	21	12					
10	Число действительных избирательных бюллетеней	6618	1504	1305	1182	1348	1279					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	269	30	60	45	67	67					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	225	6	60	43	61	55					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	73	6	16	18	15	18					
14	Число погашенных неиспользованных открепительных удостоверений	44	24	0	2	6	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	120	3	22	40	30	25					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	941	81	167	227	245	221					
		13.84%	5.03%	12.60%	18.85%	17.90%	17.12%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	964	314	191	176	142	141					
		14.18%	19.49%	14.42%	14.62%	10.37%	10.92%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	96	16	15	15	32	18					
		1.41%	0.99%	1.13%	1.25%	2.34%	1.39%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	890	93	198	193	189	217					
		13.09%	5.77%	14.94%	16.03%	13.81%	16.81%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	96	13	22	16	22	23					
		1.41%	0.81%	1.66%	1.33%	1.61%	1.78%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3603	978	710	549	714	652					
		52.99%	60.71%	53.58%	45.60%	52.15%	50.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	28	9	2	6	4	7					
		0.41%	0.56%	0.15%	0.50%	0.29%	0.54%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
