Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
"Наименование Избирательной комиссии:    Ростов-на-Дону, Пролетарская"																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89535	1116	856	1438	1782	1867	2301	1938	1525	444	1791	1625	1568	2381	2015	1979	160	2114	2180	1143	2362	1665	1937	1747	1874	2419	2055	2658	1417	1622	1528	2472	2216	2152	522	1600	1535	1934	2605	2098	2070	2105	1753	2228	1916	2062	2217	2012	1911	1612	1008									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81025	1000	725	1275	1625	1700	2050	1750	1325	443	1625	1450	1425	2125	1750	1800	160	1900	1975	1050	2150	1525	1775	1600	1700	2200	1875	2425	1275	1475	1300	2250	2025	1925	522	1450	1400	1775	2375	1925	1850	1900	1600	2000	1750	1875	2025	1825	1750	1425	925									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34945	429	346	670	630	613	624	542	750	345	783	490	642	761	710	708	160	1131	699	281	1357	521	558	504	654	1328	402	1035	339	276	449	632	657	538	252	959	766	840	1688	945	674	727	910	1027	654	802	791	784	1039	1098	425									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4330	182	92	45	16	152	18	140	137	96	108	45	160	49	52	87	0	74	62	63	157	71	103	31	48	37	139	224	137	161	188	120	131	144	270	180	60	64	29	24	75	41	19	26	23	31	30	31	13	15	130									
6	Число погашенных избирательных бюллетеней	41750	389	287	560	979	935	1408	1068	438	2	734	915	623	1315	988	1005	0	695	1214	706	636	933	1114	1065	998	835	1334	1166	799	1038	663	1498	1237	1243	0	311	574	871	658	956	1101	1132	671	947	1073	1042	1204	1010	698	312	370									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4329	182	92	45	16	152	18	140	137	96	108	45	160	49	52	87	0	74	62	63	157	71	103	31	48	37	139	224	137	161	188	120	131	144	270	180	60	64	28	24	75	41	19	26	23	31	30	31	13	15	130									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34896	429	343	670	630	610	624	540	728	345	783	490	642	761	710	708	160	1130	699	281	1357	521	558	504	654	1328	402	1035	339	276	449	632	656	538	252	959	766	840	1683	945	674	724	910	1027	649	802	791	784	1039	1094	425									
9	Число недействительных избирательных бюллетеней	369	3	5	3	9	14	11	2	6	6	7	6	7	0	8	9	0	0	10	5	0	0	3	6	14	3	6	5	0	8	13	12	11	8	0	10	5	4	10	18	19	24	4	10	3	13	19	15	11	2	2									
10	Число действительных избирательных бюллетеней	38856	608	430	712	637	748	631	678	859	435	884	529	795	810	754	786	160	1204	751	339	1514	592	658	529	688	1362	535	1254	476	429	624	740	776	674	522	1129	821	900	1701	951	730	741	925	1043	669	820	802	800	1041	1107	553									
