Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Аскинская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695					
1	"Число избирателей, внесенных в списки"	16166	110	1982	2750	213	282	336	162	333	187	219	756	210	481	734	256	268	139	579	401	1021	509	214	287	289	251	85	163	297	249	227	233	82	298	186	335	780	262					
2	"Число бюллетеней, полученных участковыми комиссиями"	16423	98	1869	2585	244	286	343	161	355	187	222	735	211	494	771	261	264	132	576	395	1057	509	212	301	299	251	89	184	317	264	236	234	84	335	198	367	1034	263					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12945	91	1478	2098	191	247	286	129	250	121	193	573	162	450	599	214	224	123	407	271	865	359	191	240	250	215	72	142	243	216	185	179	70	280	154	272	705	200					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1086	5	110	45	22	16	21	0	34	48	9	83	21	20	48	24	17	9	64	55	50	26	10	18	13	9	8	17	30	21	20	28	8	18	32	15	75	37					
6	Число погашенных бюллетеней	2392	2	281	442	31	23	36	32	71	18	20	79	28	24	124	23	23	0	105	69	142	124	11	43	36	27	9	25	44	27	31	27	6	37	12	80	254	26					
7	Число бюллетеней в переносных ящиках для голосования	1086	5	110	45	22	16	21	0	34	48	9	83	21	20	48	24	17	9	64	55	50	26	10	18	13	9	8	17	30	21	20	28	8	18	32	15	75	37					
8	Число бюллетеней в стационарных ящиках для голосования	12945	91	1478	2098	191	247	286	129	250	121	193	573	162	450	599	214	224	123	407	271	865	359	191	240	250	215	72	142	243	216	185	179	70	280	154	272	705	200					
9	Число недействительных бюллетеней	460	1	56	49	12	0	7	12	5	9	1	18	4	0	13	11	9	6	25	7	59	18	13	7	13	20	2	1	6	3	3	11	2	0	11	2	42	2					
10	Число действительных бюллетеней	13571	95	1532	2094	201	263	300	117	279	160	201	638	179	470	634	227	232	126	446	319	856	367	188	251	250	204	78	158	267	234	202	196	76	298	175	285	738	235					
