Выборы Президента Российской Федерации																																																														
																																																														
"Наименование Избирательной комиссии:    Пермь, Кировская"																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055					
1	"Число избирателей, внесенных в список"	101023	1518	1839	1904	2552	1732	1828	2372	1525	1791	2064	2418	2189	1216	2151	1690	1789	1582	1570	1641	1810	1548	2416	1921	2296	2053	1605	1685	1873	2278	1611	1873	2160	2240	2387	2697	2507	2101	1976	1661	1925	763	2124	1831	1667	1967	1312	2340	2295	2359	2750	2203	579	345	197	297					
2	Число полученных избирательных бюллетеней	99700	1500	1800	1900	2600	1700	1800	2400	1500	1700	2100	2500	2100	1200	2100	1600	1800	1500	1600	1600	1800	1500	2400	1900	2300	2000	1600	1700	1800	2300	1600	1800	2100	2200	2300	2700	2500	2100	1900	1600	1900	700	2100	1700	1600	2000	1300	2300	2300	2300	2600	2200	500	400	300	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	51288	796	915	912	1355	734	754	1191	851	929	984	1234	1036	379	1016	954	1014	726	908	782	1038	868	1256	1032	1227	1107	909	897	1022	1210	817	1000	1162	1277	1257	1392	1252	1040	1080	874	1001	337	1068	899	858	962	565	1191	1020	1140	1306	906	327	263	138	120					
5	"Число избирательных бюллетеней, выданных вне помещения"	2060	16	16	19	27	36	8	41	28	26	55	27	37	54	67	13	39	21	21	31	26	18	52	33	53	60	26	50	39	25	29	42	24	32	13	46	8	20	14	4	40	47	52	30	16	34	48	50	46	45	38	111	0	82	57	168					
6	Число погашенных избирательных бюллетеней	46352	688	869	969	1218	930	1038	1168	621	745	1061	1239	1027	767	1017	633	747	753	671	787	736	614	1092	835	1020	833	665	753	739	1065	754	758	914	891	1030	1262	1240	1040	806	722	859	316	980	771	726	1004	687	1059	1234	1115	1256	1183	173	55	105	112					
7	Число избирательных бюллетеней в переносных ящиках	2060	16	16	19	27	36	8	41	28	26	55	27	37	54	67	13	39	21	21	31	26	18	52	33	53	60	26	50	39	25	29	42	24	32	13	46	8	20	14	4	40	47	52	30	16	34	48	50	46	45	38	111	0	82	57	168					
8	Число бюллетеней в стационарных ящиках для голосования	51214	796	913	905	1322	732	754	1191	849	928	984	1234	1035	379	1015	954	1013	726	908	782	1038	868	1255	1032	1227	1107	908	897	1022	1208	817	1000	1160	1277	1257	1392	1252	1038	1080	874	1001	337	1068	899	858	962	565	1179	1019	1139	1304	906	327	263	138	120					
9	Число недействительных избирательных бюллетеней	377	6	13	3	11	8	10	6	11	13	2	8	6	2	5	8	7	5	9	7	5	6	7	3	9	10	9	7	8	12	3	0	4	5	8	11	3	9	6	1	7	4	7	9	10	5	5	13	11	4	14	11	2	6	1	2					
10	Число действительных избирательных бюллетеней	52897	806	916	921	1338	760	752	1226	866	941	1037	1253	1066	431	1077	959	1045	742	920	806	1059	880	1300	1062	1271	1157	925	940	1053	1221	843	1042	1180	1304	1262	1427	1257	1049	1088	877	1034	380	1113	920	864	991	608	1216	1054	1180	1328	1006	325	339	194	286					
