Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Карталинская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1713	УИК №1714									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35890	1294	1287	1324	1340	1183	1530	1455	1423	1464	1518	1362	1367	1427	1433	544	396	1183	1066	137	152	478	199	108	230	729	370	230	848	92	98	752	1331	145	79	647	173	145	1054	552	243	858	297	97	163	815	765	295	187	659	154	212									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34160	1200	1200	1300	1300	1200	1500	1400	1400	1400	1500	1300	1300	1300	1400	500	300	1100	1000	125	150	400	200	100	200	750	350	200	850	80	100	750	1300	125	75	650	150	125	1000	500	200	800	300	80	150	800	700	250	150	600	150	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14159	412	452	392	402	418	525	404	533	611	621	551	491	538	548	272	157	393	420	53	64	205	73	43	87	382	173	97	422	68	57	311	483	66	27	337	103	111	532	222	116	427	132	66	84	309	286	95	57	374	64	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1288	15	6	12	15	30	45	40	26	69	13	15	21	78	12	34	58	10	13	8	10	16	3	1	17	34	13	11	73	0	4	41	35	14	16	50	3	7	35	46	39	37	20	0	2	58	21	49	34	35	16	28									
6	Число погашенных избирательных бюллетеней	18713	773	742	896	883	752	930	956	841	720	866	734	788	684	840	194	85	697	567	64	76	179	124	56	96	334	164	92	355	12	39	398	782	45	32	263	44	7	433	232	45	336	148	14	64	433	393	106	59	191	70	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1288	15	6	12	15	30	45	40	26	69	13	15	21	78	12	34	58	10	13	8	10	16	3	1	17	34	13	11	73	0	4	41	35	14	16	50	3	7	35	46	39	37	20	0	2	58	21	49	34	35	16	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14159	412	452	392	402	418	525	404	533	611	621	551	491	538	548	272	157	393	420	53	64	205	73	43	87	382	173	97	422	68	57	311	483	66	27	337	103	111	532	222	116	427	132	66	84	309	286	95	57	374	64	93									
9	Число недействительных избирательных бюллетеней	400	11	14	11	6	11	19	12	10	16	32	17	17	9	15	6	9	10	13	5	4	8	2	0	3	15	4	4	12	0	0	14	11	2	1	6	0	0	14	2	1	17	3	0	2	10	5	2	0	10	2	3									
10	Число действительных избирательных бюллетеней	15047	416	444	393	411	437	551	432	549	664	602	549	495	607	545	300	206	393	420	56	70	213	74	44	101	401	182	104	483	68	61	338	507	78	42	381	106	118	553	266	154	447	149	66	84	357	302	142	91	399	78	118									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	486	8	13	13	13	13	14	8	13	23	8	23	11	15	13	17	3	13	16	3	3	11	3	3	3	26	3	3	28	3	3	15	13	3	3	18	13	3	10	3	3	28	5	3	3	6	3	3	3	13	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	312	6	4	8	6	8	9	6	4	10	6	15	11	12	10	17	1	5	14	0	0	11	0	0	0	23	3	0	27	0	0	10	10	1	1	10	7	0	5	3	2	21	3	1	0	6	2	3	0	10	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	4	8	3	1	4	2	4	7	12	8	5	6	5	1	2	1	9	2	0	0	1	1	2	0	0	1	1	3	0	0	0	12	1	1	8	0	0	6	2	16	2	1	1	0	0	1	0	1	0	1	2									
