Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Казань, Вахитовская"																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104					
1	"Число избирателей, внесенных в список"	68634	1183	1279	940	654	848	1424	884	913	1490	910	2120	2031	1958	2311	1271	1353	1186	568	1376	492	470	691	668	759	779	1199	1022	1068	968	551	658	964	2050	2373	1971	1373	1471	1656	1145	1100	1532	1467	969	1759	1140	2134	1816	1232	1888	2039	1626	589	259	181	53	108	204	116	274	259	110	53	75	259	153	212					
2	Число полученных избирательных бюллетеней	65315	1000	1050	900	600	800	1400	900	900	1400	900	1900	1900	1800	2000	1200	1200	1100	530	1300	420	450	600	600	570	800	1100	1000	1000	900	550	620	890	2000	2200	1800	1300	1350	1500	1000	1100	2000	1300	900	1650	900	2000	1600	1200	1700	2100	1900	600	300	200	100	120	300	150	400	300	115	100	100	300	200	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	50915	888	939	738	524	655	1254	449	683	1141	717	1554	1283	1251	1746	890	826	883	441	1080	268	348	484	458	550	492	710	785	668	614	306	498	766	1618	1857	1469	991	998	1164	811	733	1480	1167	661	1483	760	1696	1222	928	1368	1164	1588	589	257	181	53	108	204	116	274	256	110	53	68	257	130	212					
5	"Число избирательных бюллетеней, выданных вне помещения"	2651	26	96	61	66	55	82	250	46	51	31	117	81	78	128	42	46	24	30	0	24	15	27	35	20	39	36	45	52	33	9	15	75	154	157	51	24	12	47	34	53	52	32	19	7	11	52	42	45	56	30	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	11749	86	15	101	10	90	64	201	171	208	152	229	536	471	126	268	328	193	59	220	128	87	89	107	0	269	354	170	280	253	235	107	49	228	186	280	285	340	289	155	314	468	101	220	160	129	252	336	227	276	906	274	11	43	19	47	12	96	34	126	44	5	47	32	43	70	38					
7	Число избирательных бюллетеней в переносных ящиках	2651	26	96	61	66	55	82	250	46	51	31	117	81	78	128	42	46	24	30	0	24	15	27	35	20	39	36	45	52	33	9	15	75	154	157	51	24	12	47	34	53	52	32	19	7	11	52	42	45	56	30	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	50771	883	935	738	524	655	1254	449	683	1141	715	1539	1280	1251	1746	890	826	881	440	1078	268	347	483	458	550	492	710	784	668	614	306	498	766	1613	1785	1467	991	995	1159	802	733	1480	1165	661	1476	760	1696	1222	928	1368	1164	1588	587	257	181	53	108	204	116	274	256	110	53	68	257	130	212					
9	Число недействительных избирательных бюллетеней	698	0	12	11	4	2	24	6	2	13	2	32	23	19	12	22	12	7	9	3	9	5	5	1	6	3	9	26	27	5	4	3	2	24	20	11	7	10	17	10	11	11	6	9	10	15	23	8	37	20	39	17	0	10	6	1	3	5	2	39	1	0	2	0	1	3	0					
10	Число действительных избирательных бюллетеней	52724	909	1019	788	586	708	1312	693	727	1179	744	1624	1338	1310	1862	910	860	898	461	1075	283	357	505	492	564	528	737	803	693	642	311	510	839	1743	1922	1507	1008	997	1189	826	775	1521	1191	671	1473	756	1725	1256	936	1404	1155	1609	587	247	175	52	105	199	114	235	255	110	51	68	256	127	212					
