Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Ханты-Мансийская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554					
1	"Число избирателей, внесенных в список"	35263	1856	1888	1460	2024	2105	2410	2623	2822	1641	1880	1959	1350	499	2386	2747	1986	2285	1342					
2	Число полученных избирательных бюллетеней	29350	1570	1570	1140	1620	1810	1870	2020	2430	1390	1650	1630	1220	400	2060	2420	1650	1710	1190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18615	945	1311	599	1063	1257	1083	1221	1570	882	984	1012	667	304	1222	1436	972	1167	920					
5	"Число избирательных бюллетеней, выданных вне помещения"	1481	138	10	206	109	38	202	231	44	23	49	89	11	14	88	58	104	67	0					
6	Число погашенных избирательных бюллетеней	9253	487	249	335	448	515	585	568	815	485	617	529	542	82	750	926	574	476	270					
7	Число избирательных бюллетеней в переносных ящиках	1481	138	10	206	109	38	202	231	44	23	49	89	11	14	88	58	104	67	0					
8	Число бюллетеней в стационарных ящиках для голосования	18514	945	1311	599	1061	1224	1083	1221	1570	882	984	1011	667	304	1218	1375	972	1167	920					
9	Число недействительных избирательных бюллетеней	103	6	8	8	6	4	6	5	5	4	7	8	4	3	2	7	9	9	2					
10	Число действительных избирательных бюллетеней	19892	1077	1313	797	1164	1258	1279	1447	1609	901	1026	1092	674	315	1304	1426	1067	1225	918					
11	Число полученных открепительных  удостоверений	367	19	24	19	22	39	18	19	25	20	16	22	16	15	16	24	21	17	15					
12	Число выданных открепительных удостоверений	184	9	9	5	16	25	10	15	20	7	9	21	2	0	9	12	8	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	286	7	89	3	21	17	7	18	24	8	6	5	7	0	18	6	12	22	16					
14	Число неиспользованных открепительных удостоверений	183	10	15	14	6	14	8	4	5	13	7	1	14	15	7	12	13	11	14					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	1	0	5	1	0	1	0	1	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	733	29	52	28	55	67	47	43	83	32	33	44	20	6	49	42	42	44	17					
		3.67%	2.68%	3.94%	3.48%	4.70%	5.31%	3.66%	2.96%	5.14%	3.54%	3.19%	4.00%	2.95%	1.89%	3.75%	2.93%	3.90%	3.57%	1.85%					
19	. Малышкин Олег Александрович	486	18	39	26	29	18	24	38	34	16	19	24	25	7	37	41	28	35	28					
		2.43%	1.66%	2.95%	3.23%	2.48%	1.43%	1.87%	2.62%	2.11%	1.77%	1.84%	2.18%	3.69%	2.20%	2.83%	2.86%	2.60%	2.84%	3.04%					
20	. Миронов Сергей Михайлович	157	9	16	8	9	15	11	2	18	6	5	7	6	2	6	9	7	13	8					
		0.79%	0.83%	1.21%	0.99%	0.77%	1.19%	0.86%	0.14%	1.12%	0.66%	0.48%	0.64%	0.88%	0.63%	0.46%	0.63%	0.65%	1.05%	0.87%					
21	. Путин Владимир Владимирович	13402	781	862	496	697	806	897	982	1007	564	660	733	512	235	851	988	756	875	700					
		67.03%	72.11%	65.25%	61.61%	59.57%	63.87%	69.81%	67.63%	62.39%	62.32%	63.89%	66.64%	75.52%	73.90%	65.16%	68.95%	70.26%	70.91%	76.09%					
22	. Хакамада Ирина Муцуовна	2330	102	181	113	192	186	139	197	199	130	157	135	44	27	148	132	89	93	66					
		11.65%	9.42%	13.70%	14.04%	16.41%	14.74%	10.82%	13.57%	12.33%	14.36%	15.20%	12.27%	6.49%	8.49%	11.33%	9.21%	8.27%	7.54%	7.17%					
23	. Харитонов Николай Михайлович	1376	86	62	68	85	65	83	85	126	74	87	75	36	18	110	112	88	92	24					
		6.88%	7.94%	4.69%	8.45%	7.26%	5.15%	6.46%	5.85%	7.81%	8.18%	8.42%	6.82%	5.31%	5.66%	8.42%	7.82%	8.18%	7.46%	2.61%					
																									
24	Против всех	1408	52	101	58	97	101	78	100	142	79	65	74	31	20	103	102	57	73	75					
		7.04%	4.80%	7.65%	7.20%	8.29%	8.00%	6.07%	6.89%	8.80%	8.73%	6.29%	6.73%	4.57%	6.29%	7.89%	7.12%	5.30%	5.92%	8.15%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
