Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																									
Дата голосования: 02.12.2007																																																																																																																									
																																																																																																																									
Наименование Избирательной комиссии:    Сергиево-Посадская																																																																																																																									
																																																																																																																									
Сводная таблица результатов выборов																																																																																																																									
																																																																																																																									
		Сумма	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644					
1	"Число избирателей, внесенных в списки избирателей"	198456	2494	2771	1170	1783	595	2112	2326	2280	1803	1946	499	2756	1769	2514	2104	2639	2064	2508	2534	2634	2665	640	1709	1743	2198	2389	2710	2926	2922	1203	490	1502	2227	2119	2172	2818	2512	2897	2797	1229	2234	2566	2923	1232	1274	1274	2089	2369	1155	1647	824	272	511	1258	1114	2894	1682	2204	2119	1486	1910	2384	1974	1985	2287	2565	1067	1627	2119	2161	1078	2685	2707	2808	2490	631	363	162	1454	619	2398	2879	2833	554	2679	1827	1384	2043	2053	2067	2253	1620	1587	87	2006	529	802	481	409	723	757	1575	1234	1263	920	792	2899	1091	673	708	775	953	959	1271					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	190588	2427	2685	1114	1717	564	2069	2195	2192	1744	1570	471	2564	1726	2403	1989	2565	2004	2416	2464	2563	2538	800	1635	1672	2118	2281	2392	2662	2761	1142	409	1407	2172	2054	2077	2584	2374	2727	2686	1158	2180	2457	2812	1149	1147	1184	1917	2236	1146	1605	787	250	495	1251	1042	2848	1664	2180	2088	1420	1882	2332	1974	1969	2161	2550	1069	1621	2063	2056	1054	2608	2637	2763	2460	531	314	154	1336	563	2323	2772	2708	525	2713	1806	1378	1954	1986	2088	2224	1588	1549	77	1919	500	770	460	384	642	686	1453	1167	1228	934	778	2785	1039	634	693	767	933	935	1144					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	104787	1184	1313	508	715	228	1028	1014	1097	847	922	280	1285	853	1207	903	1205	1008	1246	1143	1234	1382	310	866	823	1132	1101	1270	1356	1418	535	239	507	1120	1071	982	1508	1474	1557	1501	717	1189	1375	1362	618	555	963	1227	1377	538	912	440	131	269	495	617	1649	881	1202	1275	913	1254	1345	1022	1198	1313	1896	628	1352	1936	1907	568	1739	1479	1974	1436	408	162	124	829	287	1279	1436	1303	353	1281	784	735	1103	937	1311	1154	720	665	58	951	282	390	274	130	456	589	721	715	572	470	319	1697	526	278	298	358	423	461	824					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5682	16	15	28	29	7	27	33	10	24	72	26	246	21	16	91	39	17	27	19	27	28	262	24	22	22	22	88	20	20	49	0	82	30	17	36	132	21	25	27	5	25	17	25	71	88	41	22	16	52	15	19	24	4	104	29	108	96	51	48	47	23	14	27	36	23	13	119	190	43	97	54	137	157	10	34	102	44	11	124	170	23	49	31	12	37	17	32	11	10	15	148	24	113	16	93	34	40	5	30	9	9	21	82	185	84	74	22	34	104	44	127	64	27	4					
6	Число погашенных избирательных бюллетеней	80103	1227	1357	578	973	329	1014	1148	1085	873	576	165	1033	852	1180	995	1321	979	1143	1302	1302	1128	228	745	827	964	1158	1034	1284	1323	558	170	818	1022	966	1059	944	879	1145	1158	436	966	1065	1425	459	504	180	668	843	556	678	328	95	222	652	396	1091	687	927	765	460	605	972	925	735	825	641	322	79	84	52	432	725	1001	779	990	21	108	19	383	106	1017	1287	1374	160	1394	1005	611	840	1039	762	922	844	771	3	875	184	340	181	224	177	88	711	370	471	380	385	1066	479	252	351	282	446	447	316					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5682	16	15	28	29	7	27	33	10	24	72	26	246	21	16	91	39	17	27	19	27	28	262	24	22	22	22	88	20	20	49	0	82	30	17	36	132	21	25	27	5	25	17	25	71	88	41	22	16	52	15	19	24	4	104	29	108	96	51	48	47	23	14	27	36	23	13	119	190	43	97	54	137	157	10	34	102	44	11	124	170	23	49	31	12	37	17	32	11	10	15	148	24	113	16	93	34	40	5	30	9	9	21	82	185	84	74	22	34	104	44	127	64	27	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	104734	1184	1312	508	713	228	1028	1003	1097	847	922	280	1285	853	1207	903	1203	1008	1246	1143	1234	1382	310	865	823	1130	1101	1270	1356	1417	535	239	507	1120	1067	982	1508	1474	1549	1501	717	1186	1375	1361	618	555	963	1226	1375	538	912	440	131	269	495	617	1649	881	1202	1273	913	1254	1345	1020	1198	1312	1894	627	1352	1936	1907	568	1739	1479	1974	1436	408	162	124	829	287	1279	1436	1303	353	1280	783	735	1103	937	1311	1154	719	665	58	951	282	390	274	130	456	589	719	715	572	470	319	1697	526	278	298	358	423	461	823					
9	Число недействительных избирательных бюллетеней	1400	21	8	5	5	1	12	12	15	19	17	5	22	10	18	13	19	11	17	16	14	33	9	13	18	18	12	32	17	22	6	10	4	13	17	11	14	22	22	22	0	12	22	24	11	8	20	19	21	3	25	9	3	4	13	6	2	12	22	14	12	19	17	9	17	22	26	7	4	10	27	4	15	15	19	22	17	2	0	5	2	12	11	16	0	20	11	5	30	10	18	10	13	11	1	7	6	3	10	2	2	6	13	9	2	2	3	21	11	5	5	0	12	6	11					
10	Число действительных избирательных бюллетеней	109016	1179	1319	531	737	234	1043	1024	1092	852	977	301	1509	864	1205	981	1223	1014	1256	1146	1247	1377	563	876	827	1134	1111	1326	1359	1415	578	229	585	1137	1067	1007	1626	1473	1552	1506	722	1199	1370	1362	678	635	984	1229	1370	587	902	450	152	269	586	640	1755	965	1231	1307	948	1258	1342	1038	1217	1313	1881	739	1538	1969	1977	618	1861	1621	1965	1448	493	204	135	948	455	1290	1474	1318	365	1297	789	762	1084	937	1308	1292	730	767	73	1037	310	427	269	158	463	592	727	788	755	552	390	1698	549	377	337	485	475	482	816					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	5209	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	0	46	46	46	46	46	46	46	46	46	46	46	46	46	47	46	46	46	46	46	46	46	46	46	46	46	56	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2525	28	34	8	25	6	26	30	27	20	21	4	32	18	32	28	46	24	25	32	42	46	0	33	13	33	29	33	45	43	15	2	24	45	32	45	47	23	25	42	14	36	42	23	16	12	17	42	55	17	18	14	2	3	24	20	41	42	29	22	6	24	22	30	29	19	29	7	25	17	25	26	26	17	30	19	4	2	8	11	2	9	22	23	1	38	25	40	14	25	23	16	21	16	8	32	5	7	7	2	4	19	28	13	11	28	9	37	6	5	3	16	18	2	42					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2029	11	13	8	11	9	7	10	21	4	188	10	60	5	11	8	21	11	13	8	8	19	116	23	30	31	18	152	26	14	8	24	9	7	10	24	34	78	50	9	12	13	6	13	27	41	14	8	19	3	32	2	6	3	14	4	6	3	9	8	6	21	19	3	12	13	9	3	24	9	15	7	13	18	10	62	65	9	5	9	6	4	4	10	9	6	6	6	8	4	10	6	8	6	3	6	16	5	3	6	28	27	7	3	11	9	9	15	14	9	1	1	2	4	63					
14	Число погашенных неиспользованных открепительных удостоверений	2684	18	12	38	21	40	20	16	19	26	25	42	14	28	14	18	0	22	21	14	4	0	0	13	33	13	17	13	1	3	31	44	22	1	14	1	0	23	21	4	32	10	4	23	30	34	29	4	1	29	28	32	44	43	22	26	5	4	17	24	40	22	24	16	17	27	17	39	21	29	21	20	20	29	16	27	42	44	38	35	44	37	24	23	45	8	21	6	32	21	23	30	25	30	38	14	41	39	39	44	42	27	18	33	35	18	37	9	40	41	43	30	28	44	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	0	2	0	1	0	0	0	0	0	4	0	0	1	2	1	0	1	1	1	1	1	0	1	0	0	1	1	4	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	1	3	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
