Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва								
Дата голосования: 07.12.2003 0:00:00								
								
Наименование Избирательной комиссии:    Соловецкая								
								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)								
								
		Сумма	УИК №892					
1	"Число избирателей, внесенных в списки"	694	694					
2	"Число бюллетеней, полученных участковыми комиссиями"	655	655					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	350	350					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	41	41					
6	Число погашенных бюллетеней	264	264					
7	Число бюллетеней в переносных ящиках для голосования	41	41					
8	Число бюллетеней в стационарных ящиках для голосования	350	350					
9	Число недействительных бюллетеней	8	8					
10	Число действительных бюллетеней	383	383					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	46	46					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	7	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	3					
14	Число погашенных открепительных удостоверений	39	39					
15	Число открепительных удостоверений выданных ТИК	0	0					
16	Число утраченных бюллетеней	0	0					
17	Число не учтенных при получении бюллетеней	0	0					
								
18	"1. ""ЕДИНЕНИЕ"""	5	5					
		1.27%	1.27%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4	4					
		1.02%	1.02%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	16	16					
		4.09%	4.09%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	12	12					
		3.06%	3.06%					
22	"5. ""За Русь Святую"""	4	4					
		1.02%	1.02%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	2					
		0.51%	0.51%					
24	"7. ""Новый курс - Автомобильная Россия"""	0	0					
		0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0					
		0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	3					
		0.76%	0.76%					
27	"10. ""Аграрная партия России"""	4	4					
		1.02%	1.02%					
28	"11. ""Истинные патриоты России"""	0	0					
		0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	8	8					
		2.04%	2.04%					
30	"13. ""Демократическая партия России"""	1	1					
		0.25%	0.25%					
31	"14. ""Великая Россия - Евразийский Союз"""	0	0					
		0.0%	0.0%					
32	"15. ""Партия СЛОН"""	2	2					
		0.51%	0.51%					
33	"16. ""Родина"" (народно-патриотический союз)"""	23	23					
		5.88%	5.88%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	0	0					
		0.0%	0.0%					
35	"18. ""ЛДПР"""	44	44					
		11.25%	11.25%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	10	10					
		2.55%	2.55%					
37	"20. ""Политическая партия ""Единая Россия"""	216	216					
		55.24%	55.24%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	3					
		0.76%	0.76%					
39	"22. ""Развитие предпринимательства"""	0	0					
		0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	14	14					
		3.58%	3.58%					
								
41	Против всех	12	12					
		3.06%	3.06%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
