Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
"Наименование Избирательной комиссии:    Курск, Сеймская"																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	118273	2084	1983	1038	1658	1588	2112	1188	1574	2624	2078	2445	1943	2255	2234	2021	2362	1795	1183	1044	2031	1902	2312	1280	1673	1922	1825	1815	2147	1279	1376	1473	2704	1671	1670	2417	1843	1586	2015	1138	1521	1776	2004	2364	2177	2894	2326	869	2095	1755	1898	2228	2092	2045	1436	1547	2299	2148	1171	2170	2447	2545	1928	791	89	273	97									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108150	1900	1850	900	1550	1500	2000	1050	1450	2500	1950	2200	1800	2100	2050	1900	2100	1600	1050	900	1900	1750	2200	1150	1550	1800	1700	1700	2000	1150	1250	1300	2400	1500	1500	2100	1650	1400	1850	1000	1300	1600	1850	2200	2050	2750	2150	750	1900	1600	1750	2050	1900	1850	1250	1300	2050	1950	1000	2000	2250	2350	1800	750	150	300	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48275	669	874	317	624	630	967	512	571	1059	872	975	900	940	1036	877	1096	880	485	411	858	672	963	473	663	680	775	833	717	469	627	656	1227	754	680	1130	787	650	879	471	668	707	743	829	829	1224	872	253	688	636	654	700	704	884	520	657	1098	989	390	834	1001	998	558	730	85	273	92									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1464	45	7	57	12	15	25	11	13	34	29	32	28	35	28	22	31	20	15	18	7	11	20	49	9	10	15	9	35	6	7	8	10	8	21	11	14	10	16	13	18	58	19	27	30	6	100	53	12	43	31	25	28	23	18	20	21	9	8	5	27	19	98	0	0	0	0									
6	Число погашенных избирательных бюллетеней	58411	1186	969	526	914	855	1008	527	866	1407	1049	1193	872	1125	986	1001	973	700	550	471	1035	1067	1217	628	878	1110	910	858	1248	675	616	636	1163	738	799	959	849	740	955	516	614	835	1088	1344	1191	1520	1178	444	1200	921	1065	1325	1168	943	712	623	931	952	602	1161	1222	1333	1144	20	65	27	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1464	45	7	57	12	15	25	11	13	34	29	32	28	35	28	22	31	20	15	18	7	11	20	49	9	10	15	9	35	6	7	8	10	8	21	11	14	10	16	13	18	58	19	27	30	6	100	53	12	43	31	25	28	23	18	20	21	9	8	5	27	19	98	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48232	669	874	314	623	630	967	512	571	1059	872	969	900	940	1036	877	1096	880	485	411	857	672	963	473	663	680	775	833	717	468	626	656	1220	754	680	1130	787	650	879	469	668	707	743	829	829	1218	872	253	684	635	654	700	704	884	519	657	1098	989	390	834	997	998	558	726	85	273	91									
9	Число недействительных избирательных бюллетеней	1377	22	36	10	13	14	31	13	21	35	39	21	33	24	35	26	27	11	18	9	23	24	31	16	19	14	20	7	31	21	19	23	32	12	19	25	15	16	24	34	24	24	38	19	10	17	37	3	11	23	43	17	13	14	12	10	28	34	14	28	30	22	13	18	2	9	1									
10	Число действительных избирательных бюллетеней	48319	692	845	361	622	631	961	510	563	1058	862	980	895	951	1029	873	1100	889	482	420	841	659	952	506	653	676	770	835	721	453	614	641	1198	750	682	1116	786	644	871	448	662	741	724	837	849	1207	935	303	685	655	642	708	719	893	525	667	1091	964	384	811	994	995	643	708	83	264	90									
