Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Янтарнинская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №449	УИК №450					
1	"Число избирателей, внесенных в список избирателей"	4828	2309	2519					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4800	2400	2400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2461	1074	1387					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	37	25	12					
6	Число погашенных избирательных бюллетеней	2302	1301	1001					
7	Число избирательных бюллетеней в переносных ящиках для голосования	37	25	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2461	1074	1387					
9	Число недействительных избирательных бюллетеней	56	22	34					
10	Число действительных избирательных бюллетеней	2442	1077	1365					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	68	62					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	94	46	48					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	9	3					
14	Число погашенных неиспользованных открепительных удостоверений	36	22	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	382	174	208					
		15.29%	15.83%	14.87%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	356	140	216					
		14.25%	12.74%	15.44%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	27	15					
		1.68%	2.46%	1.07%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	701	309	392					
		28.06%	28.12%	28.02%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	95	50	45					
		3.80%	4.55%	3.22%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	853	372	481					
		34.15%	33.85%	34.38%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	13	5	8					
		0.52%	0.45%	0.57%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
