Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Нерчинская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19684	245	1154	99	639	608	527	679	212	190	192	214	710	142	357	151	328	262	728	146	301	95	345	274	492	197	631	1022	805	1474	1930	1577	1116	1609	233									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19110	230	1150	90	630	600	510	670	210	180	180	200	700	130	350	150	320	260	730	140	290	90	330	270	480	185	600	1000	775	1380	1900	1470	1100	1600	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	242	0	0	0	26	0	0	39	0	0	16	0	35	0	0	0	0	10	0	0	0	0	48	0	30	25	13	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6117	112	418	44	249	145	150	189	56	53	37	68	200	79	150	89	135	70	247	45	86	49	171	103	115	61	176	267	204	460	595	521	267	420	86									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	766	7	44	12	33	40	26	11	18	15	11	8	20	7	0	6	27	10	43	13	8	10	18	12	25	11	19	26	29	14	49	112	32	25	25									
6	Число погашенных избирательных бюллетеней	11985	111	688	34	322	415	334	431	136	112	116	124	445	44	200	55	158	170	440	82	196	31	93	155	310	88	392	707	542	906	1256	837	801	1155	99									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1008	7	44	12	59	40	26	50	18	15	27	8	55	7	0	6	27	20	43	13	8	10	66	12	55	36	32	26	29	14	49	112	32	25	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6117	112	418	44	249	145	150	189	56	53	37	68	200	79	150	89	135	70	247	45	86	49	171	103	115	61	176	267	204	460	595	521	267	420	86									
9	Число недействительных избирательных бюллетеней	122	0	7	1	5	4	6	4	0	0	0	0	7	1	0	1	0	3	3	1	3	1	8	4	6	4	2	9	5	4	8	13	4	8	0									
10	Число действительных избирательных бюллетеней	7003	119	455	55	303	181	170	235	74	68	64	76	248	85	150	94	162	87	287	57	91	58	229	111	164	93	206	284	228	470	636	620	295	437	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	343	3	10	5	12	15	8	14	6	6	6	6	12	6	6	4	10	6	20	5	5	5	7	6	22	17	15	12	12	18	19	15	15	12	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	129	0	10	3	2	3	0	14	0	0	0	1	3	0	2	4	0	6	2	0	1	2	0	1	0	1	6	5	6	7	19	13	9	7	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	3	1	3	3	0	1	5	1	2	2	3	1	1	1	1	1	3	1	2	0	3	1	1	0	2	3	1	0	3	6	5	3	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	214	3	0	2	10	12	8	0	6	6	6	5	9	6	4	0	10	0	18	5	4	3	7	5	22	16	9	7	6	11	0	2	6	5	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	0	1	0	2	0	1	1	0	0	0	0	1	0	0	0	1	2	1	0	0	1	1	0	1	1	3	4	1	12	9	6	3	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	0	2	0	1	2	2	3	0	1	2	1	3	0	1	0	1	2	1	0	0	0	2	1	1	1	2	2	0	4	12	7	3	3	0									
		0.84%	0.00%	0.43%	0.00%	0.32%	1.08%	1.14%	1.26%	0.00%	1.47%	3.13%	1.32%	1.18%	0.00%	0.67%	0.00%	0.62%	2.22%	0.34%	0.00%	0.00%	0.00%	0.84%	0.87%	0.59%	1.03%	0.96%	0.68%	0.00%	0.84%	1.86%	1.11%	1.00%	0.67%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	238	3	23	3	8	7	4	12	0	0	1	1	13	2	3	4	5	1	15	0	3	0	8	5	6	3	9	10	6	15	20	14	14	17	3									
