Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
"Наименование Избирательной комиссии:    Пенза, Первомайская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212					
1	"Число избирателей, внесенных в список избирателей"	107281	1772	1823	1811	1582	2265	2273	2815	2755	849	233	2482	124	2457	165	1973	289	1545	2564	2626	661	1723	1403	1496	2460	1485	1411	2017	1942	2245	2714	2168	1774	2588	483	1803	307	2173	1716	1623	2624	2787	903	1590	2796	1980	2385	2606	1865	2033	2323	2606	2750	1536	2585	2269	2378	2010	660					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	98880	1600	1700	1700	1500	2000	2000	2400	2500	850	250	2200	130	2200	200	1800	300	1500	2400	2500	650	1600	1300	1400	2200	1300	1300	1800	1800	2000	2500	2000	1600	2400	450	1700	300	2000	1600	1500	2500	2500	850	1500	2500	1800	2200	2500	1700	1900	2200	2500	2500	1400	2500	2100	2200	1800	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59449	1090	1100	1012	978	1511	1428	1826	1824	693	148	1401	93	1550	154	1101	286	987	1349	1457	357	878	702	664	1573	806	1027	793	1073	1076	1438	1122	999	1353	272	882	269	1176	949	800	1308	1651	414	682	1338	828	1115	1132	838	1286	1290	1407	1447	981	1635	1308	1156	1002	434					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3382	59	67	136	50	57	53	132	44	156	85	54	25	50	11	57	0	41	63	53	23	122	93	122	32	63	31	128	64	61	86	44	36	43	22	19	30	36	59	40	50	76	51	30	76	67	129	134	23	31	14	32	25	95	49	38	55	44	16					
6	Число погашенных избирательных бюллетеней	36049	451	533	552	472	432	519	442	632	1	17	745	12	600	35	642	14	472	988	990	270	600	505	614	595	431	242	879	663	863	976	834	565	1004	156	799	1	788	592	660	1142	773	385	788	1086	905	956	1234	839	583	896	1061	1028	324	816	754	989	754	150					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3381	58	67	136	50	57	53	132	44	156	85	54	25	50	11	57	0	41	63	53	23	122	93	122	32	63	31	128	64	61	86	44	36	43	22	19	30	36	59	40	50	76	51	30	76	67	129	134	23	31	14	32	25	95	49	38	55	44	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59380	1085	1098	1012	967	1511	1428	1823	1824	693	148	1396	93	1550	154	1101	286	987	1349	1456	357	876	700	664	1573	806	1027	793	1073	1076	1435	1122	999	1353	272	878	269	1176	948	800	1306	1646	414	682	1338	828	1101	1129	838	1286	1286	1407	1446	981	1635	1308	1155	1002	434					
9	Число недействительных избирательных бюллетеней	837	1	19	15	8	56	29	28	34	1	0	22	2	19	0	15	42	20	3	23	4	8	13	14	25	7	2	18	2	14	25	2	16	25	2	2	1	13	15	15	16	43	5	17	2	11	15	18	14	14	12	22	26	3	15	12	15	12	5					
10	Число действительных избирательных бюллетеней	61924	1142	1146	1133	1009	1512	1452	1927	1834	848	233	1428	116	1581	165	1143	244	1008	1409	1486	376	990	780	772	1580	862	1056	903	1135	1123	1496	1164	1019	1371	292	895	298	1199	992	825	1340	1679	460	695	1412	884	1215	1245	847	1303	1288	1417	1445	1073	1669	1334	1195	1034	445					
