Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №19																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071					
1	"Число избирателей, внесенных в список избирателей"	127895	2012	1891	1644	2286	1494	2068	1682	1242	1860	1511	1924	2119	1614	1707	1611	1990	2068	1422	2124	1911	1882	2228	2425	2103	2005	1343	2315	1148	2020	2318	2287	2755	2550	2512	2477	2259	2576	2360	2986	1839	1935	1345	1876	1522	1573	1420	2217	2138	2265	2135	2364	1421	1218	2516	2587	2298	1948	2208	2085	2892	2249	2520	2595					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95100	1200	1300	1200	1700	1100	1700	1500	900	1300	1100	1400	1500	1200	1200	1400	1400	1500	1200	1500	1300	1400	1600	1700	1500	1500	1800	1700	1600	1500	1700	1700	2100	1900	1800	1800	1600	1900	1700	2500	1600	1400	1000	1400	1100	1200	1000	1700	1500	1600	1500	1700	1000	900	1800	2000	1500	1400	1600	1500	2000	1500	1700	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	65612	633	693	658	1145	795	1019	824	727	1070	764	880	1011	707	896	939	1159	970	748	1253	1067	1269	1560	1231	997	1079	1306	1223	1119	1062	1138	1139	1431	1339	1282	1184	1200	1327	1151	1586	957	966	699	918	848	795	675	1098	1064	1240	1182	1149	685	591	1169	1370	948	914	1098	1071	1452	1004	1119	1019					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1714	6	93	19	12	65	17	18	17	10	7	10	14	17	34	7	11	17	9	23	17	26	14	25	23	17	37	22	29	19	28	15	105	89	22	14	32	17	28	8	21	17	14	17	11	25	19	9	31	26	16	16	9	8	7	7	4	12	24	23	20	265	105	15					
6	Число погашенных избирательных бюллетеней	27771	561	514	523	543	240	664	658	156	220	329	510	475	476	270	454	230	513	443	224	216	105	26	444	480	404	457	455	452	419	534	546	564	472	496	602	368	556	521	906	622	417	287	465	239	380	306	593	405	334	302	535	306	301	624	623	548	474	478	406	528	231	475	866					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1713	6	93	19	12	65	17	18	17	10	7	10	14	17	34	7	11	17	9	23	17	26	14	25	23	17	37	22	29	19	28	15	105	88	22	14	32	17	28	8	21	17	14	17	11	25	19	9	31	26	16	16	9	8	7	7	4	12	24	23	20	265	105	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65071	633	693	656	1145	793	1019	824	690	1014	756	870	1011	707	895	930	1153	970	740	1230	1049	1189	1430	1227	986	1072	1302	1223	1115	1062	1130	1139	1431	1338	1266	1184	1200	1322	1150	1578	935	966	699	918	846	794	675	1090	1064	1236	1166	1149	685	591	1169	1365	948	905	1094	1071	1447	1004	1113	1019					
9	Число недействительных избирательных бюллетеней	1120	15	8	6	17	18	22	15	30	19	14	10	19	9	25	12	18	14	14	9	12	11	50	25	16	11	17	16	20	18	16	18	17	18	15	33	16	28	18	21	24	11	6	11	14	10	12	19	14	15	17	23	11	12	27	19	5	5	26	41	28	43	24	13					
10	Число действительных избирательных бюллетеней	65664	624	778	669	1140	840	1014	827	677	1005	749	870	1006	715	904	925	1146	973	735	1244	1054	1204	1394	1227	993	1078	1322	1229	1124	1063	1142	1136	1519	1408	1273	1165	1216	1311	1160	1565	932	972	707	924	843	809	682	1080	1081	1247	1165	1142	683	587	1149	1353	947	912	1092	1053	1439	1226	1194	1021					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2128	50	40	40	110	30	40	30	30	30	30	30	30	10	30	30	30	30	30	40	30	30	30	30	30	20	30	30	40	30	30	30	20	50	50	40	30	30	30	40	40	40	30	40	40	20	40	40	30	30	30	30	23	25	30	30	30	30	30	40	40	30	40	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1395	29	27	23	107	17	18	29	14	13	15	13	28	10	25	17	18	19	12	34	23	10	26	18	23	15	26	14	22	19	18	21	20	31	23	27	16	22	18	31	27	22	15	24	24	18	23	23	23	19	18	22	13	14	25	23	26	18	26	24	26	12	21	18					
