Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Моршанская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262					
1	"Число избирателей, внесенных в списки"	29941	1022	919	133	437	329	273	273	400	330	146	631	395	409	582	715	328	155	283	141	376	135	230	682	520	1160	1187	1404	250	428	1126	480	395	674	457	88	125	416	215	122	93	103	190	108	860	641	433	320	526	673	126	297	1247	1358	539	1074	1031	375	127	488	383	215	363					
2	"Число бюллетеней, полученных участковыми комиссиями"	28800	1000	900	130	400	300	250	250	390	330	140	600	380	390	600	750	300	150	280	130	360	130	210	680	520	1100	1200	1400	220	400	1000	450	400	650	440	80	120	400	200	120	90	110	190	120	800	600	400	300	500	650	120	310	1200	1300	500	1000	960	370	120	470	380	200	360					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14004	550	462	49	237	186	190	173	226	144	100	354	146	138	353	365	151	65	102	66	169	59	80	253	216	570	563	554	146	211	522	206	206	325	217	20	38	214	73	51	39	47	128	67	403	236	232	173	264	366	47	153	650	529	209	435	466	174	74	156	231	63	112					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2748	19	25	28	26	59	0	22	36	70	2	22	42	130	51	105	53	27	63	40	55	47	88	112	63	95	31	93	10	25	44	68	63	135	63	41	33	15	55	21	18	31	19	17	37	92	34	32	17	24	49	76	11	6	0	55	26	18	7	45	15	55	87					
6	Число погашенных бюллетеней	12048	431	413	53	137	55	60	55	128	116	38	224	192	122	196	280	96	58	115	24	136	24	42	315	241	435	606	753	64	164	434	176	131	190	160	19	49	171	72	48	33	32	43	36	360	272	134	95	219	260	24	81	539	765	291	510	468	178	39	269	134	82	161					
7	Число бюллетеней в переносных ящиках для голосования	2748	19	25	28	26	59	0	22	36	70	2	22	42	130	51	105	53	27	63	40	55	47	88	112	63	95	31	93	10	25	44	68	63	135	63	41	33	15	55	21	18	31	19	17	37	92	34	32	17	24	49	76	11	6	0	55	26	18	7	45	15	55	87					
8	Число бюллетеней в стационарных ящиках для голосования	14002	550	462	49	237	185	190	173	226	144	100	354	146	138	353	365	151	65	102	66	169	59	80	253	216	570	563	554	146	211	522	206	206	325	217	20	38	214	73	51	39	47	128	67	403	236	231	173	264	366	47	153	650	529	209	435	466	174	74	156	231	63	112					
9	Число недействительных бюллетеней	895	15	48	3	20	1	0	2	17	7	1	9	5	5	26	17	8	1	5	3	17	3	4	18	20	194	19	11	9	20	24	6	12	14	26	2	2	18	5	5	0	0	36	6	24	8	16	5	24	26	1	18	15	9	0	28	16	3	0	23	4	7	4					
10	Число действительных бюллетеней	15855	554	439	74	243	243	190	193	245	207	101	367	183	263	378	453	196	91	160	103	207	103	164	347	259	471	575	636	147	216	542	268	257	446	254	59	69	211	123	67	57	78	111	78	416	320	249	200	257	364	95	211	646	526	209	462	476	189	81	178	242	111	195					
