Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Корсаковская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №741	УИК №742	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №753	УИК №756	УИК №757	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32563	487	180	1269	246	95	618	424	889	860	319	147	929	1782	325	1505	788	2641	2240	2098	1021	2297	2017	2122	2605	1844	2359	40	43	17	18	18	15	18	9	9	19	21	6	6	6	7	15	16	16	16	15	8	24	22	24	21	20	7									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30522	400	150	1200	200	86	600	400	750	800	300	130	800	1600	250	1400	700	2500	2100	2000	1000	2200	1900	2000	2500	1800	2300	40	43	17	18	18	15	18	9	9	19	21	6	6	6	7	15	16	16	16	15	8	24	22	24	21	20	7									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11401	257	50	400	97	65	263	163	455	344	108	64	409	516	102	549	287	848	769	743	304	778	669	646	790	512	784	30	43	17	18	18	15	18	9	9	19	21	6	6	6	7	9	6	15	16	15	8	24	22	24	21	20	7									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	320	6	19	18	20	5	59	6	3	28	5	13	4	1	0	11	3	44	8	10	5	8	7	12	7	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	18801	137	81	782	83	16	278	231	292	428	187	53	387	1083	148	840	410	1608	1323	1247	691	1414	1224	1342	1703	1284	1502	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	1	0	0	0	0	0	0	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	320	6	19	18	20	5	59	6	3	28	5	13	4	1	0	11	3	44	8	10	5	8	7	12	7	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11393	257	50	400	97	65	263	157	455	344	108	64	409	515	102	549	287	848	769	743	304	778	669	646	790	511	784	30	43	17	18	18	15	18	9	9	19	21	6	6	6	7	9	6	15	16	15	8	24	22	24	21	20	7									
9	Число недействительных избирательных бюллетеней	273	3	2	4	1	0	9	1	7	7	6	3	20	9	0	16	7	14	27	12	8	27	13	15	26	8	20	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0									
10	Число действительных избирательных бюллетеней	11440	260	67	414	116	70	313	162	451	365	107	74	393	507	102	544	283	878	750	741	301	759	663	643	771	507	778	29	43	17	18	18	15	18	9	9	16	19	6	6	6	7	9	6	15	16	15	8	24	22	22	21	20	7									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	286	10	5	12	8	5	10	10	10	10	10	5	15	14	14	14	14	12	12	12	12	12	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	82	0	2	8	3	0	1	1	10	4	2	1	9	1	0	2	2	3	5	3	2	7	2	2	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
