Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
"Наименование Избирательной комиссии:    Саратов, Фрунзенская"																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38940	1358	1611	1196	1227	1575	2150	1711	1291	1708	2712	1814	1444	1202	1569	966	1396	1396	1326	1120	2185	100	2087	2158	1689	1949									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35700	1000	1250	1000	1100	1450	2150	1600	1200	1600	2500	1750	1300	1000	1500	950	1300	1050	1300	900	2150	100	2050	2050	1600	1850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22942	698	687	528	643	1103	1066	977	810	1138	1733	1179	994	721	791	581	848	665	762	566	1342	100	1227	1361	1205	1217									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1367	7	9	10	155	99	46	82	18	41	11	13	35	59	84	35	50	233	140	34	34	0	50	27	59	36									
6	Число погашенных избирательных бюллетеней	11391	295	554	462	302	248	1038	541	372	421	756	558	271	220	625	334	402	152	398	300	774	0	773	662	336	597									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1348	7	9	10	155	99	46	82	18	41	11	13	35	59	84	35	50	233	140	34	34	0	31	27	59	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22868	697	687	528	643	1103	1066	977	810	1138	1733	1166	994	715	791	581	848	665	762	529	1342	100	1210	1361	1205	1217									
9	Число недействительных избирательных бюллетеней	145	6	14	9	0	0	7	2	1	0	2	13	10	29	7	0	0	5	10	8	0	1	21	0	0	0									
10	Число действительных избирательных бюллетеней	24071	698	682	529	798	1202	1105	1057	827	1179	1742	1166	1019	745	868	616	898	893	892	555	1376	99	1220	1388	1264	1253									
