Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																											
																																																																											
Наименование Избирательной комиссии:    Ковровская городская																																																																											
																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																											
																																																																											
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731					
1	"Число избирателей, внесенных в списки"	126455	726	1400	1762	2723	853	2030	1954	2023	2503	483	1719	1724	941	1256	2262	1677	1925	1916	1704	1710	2238	2453	2195	2247	1962	1763	2023	2682	2559	2471	1952	1747	2119	1897	2934	1992	2509	2912	2067	1377	2348	2624	1696	2499	1354	2098	2145	1999	2063	1936	2716	2580	1711	1941	2315	1330	1179	2535	2442	1989	1697	1519	814	347	147	157	32	2852					
2	"Число бюллетеней, полученных участковыми комиссиями"	117398	669	1285	1630	1851	787	1893	1863	1832	2352	450	1617	1602	875	1157	2132	1579	1774	1821	1620	1603	2116	2329	2072	2137	1845	1785	1932	2458	2427	2322	1832	1673	2000	1806	2921	1861	2492	2398	1905	1298	2222	2473	1621	2379	1313	1983	2037	1869	1936	1800	2545	2335	1592	1833	2154	1238	1116	2407	2270	1879	1509	1445	751	303	132	150	36	2069					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	59007	494	613	694	1702	371	861	865	785	864	210	753	704	387	558	1002	737	829	820	693	894	1102	1147	1046	1138	994	718	1072	1192	1191	1369	854	847	995	803	1247	1082	1187	1413	1065	495	1114	984	846	1031	554	939	887	959	942	834	1170	1226	864	942	1043	573	491	1278	1300	905	799	714	297	294	130	91	29	1978					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1761	0	14	14	62	49	23	39	47	35	32	85	20	36	7	14	37	34	14	46	20	16	27	33	19	14	21	35	34	25	17	32	41	71	14	47	32	35	31	28	20	18	26	14	12	18	28	12	43	18	12	17	22	24	22	14	20	16	27	27	28	16	31	5	0	0	0	0	71					
6	Число погашенных бюллетеней	56643	175	658	922	87	367	1009	959	1000	1453	208	779	878	452	592	1116	805	911	987	881	689	998	1155	993	980	837	1046	825	1232	1211	932	946	785	934	1002	1627	747	1270	954	812	783	1097	1463	761	1336	741	1016	1138	864	976	954	1358	1087	704	869	1097	645	609	1102	943	946	694	700	449	9	2	59	7	20					
7	Число бюллетеней в переносных ящиках для голосования	1761	0	14	14	62	49	23	39	47	35	32	85	20	36	7	14	37	34	14	46	20	16	27	33	19	14	21	35	34	25	17	32	41	71	14	47	32	35	31	28	20	18	26	14	12	18	28	12	43	18	12	17	22	24	22	14	20	16	27	27	28	16	31	5	0	0	0	0	71					
8	Число бюллетеней в стационарных ящиках для голосования	58921	494	613	694	1702	371	861	865	785	864	210	753	704	386	557	1002	735	829	820	693	892	1102	1147	1046	1142	994	718	1072	1158	1191	1365	853	847	995	803	1247	1082	1186	1401	1065	495	1112	984	846	1031	554	939	887	958	942	834	1166	1204	864	942	1043	573	491	1277	1300	905	799	714	297	294	130	91	29	1976					
9	Число недействительных бюллетеней	877	49	6	19	13	5	30	12	7	19	7	9	7	4	10	17	13	18	12	10	10	13	4	8	13	12	12	13	23	7	16	13	28	29	23	11	27	26	18	16	6	14	10	14	12	14	9	6	15	14	13	11	11	12	7	14	8	10	8	10	7	7	19	2	6	6	5	1	17					
10	Число действительных бюллетеней	59805	445	621	689	1751	415	854	892	825	880	235	829	717	418	554	999	759	845	822	729	902	1105	1170	1071	1148	996	727	1094	1169	1209	1366	872	860	1037	794	1283	1087	1195	1414	1077	509	1116	1000	846	1031	558	958	893	986	946	833	1172	1215	876	957	1043	585	497	1296	1317	926	808	726	300	288	124	86	28	2030					
