Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Цивильская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919					
1	"Число избирателей, внесенных в списки избирателей"	27083	2645	2662	2965	647	278	114	344	807	374	174	226	244	1168	156	742	282	236	500	727	404	571	1568	286	276	345	330	156	196	449	446	577	172	224	627	330	437	324	199	169	684	282	392	174	382	1531	261					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25352	2500	2300	2800	600	250	100	330	780	360	160	210	220	1100	140	700	260	220	480	700	390	550	1500	240	250	320	300	140	180	420	430	550	160	210	600	310	430	310	170	162	620	260	370	160	360	1500	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15927	1465	1342	1737	341	126	68	170	462	249	100	133	168	713	115	493	163	157	263	351	219	289	1099	192	187	155	204	71	114	252	252	291	98	131	426	185	290	201	142	149	467	180	212	94	193	1052	166					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2544	95	387	69	69	75	11	58	49	43	31	25	26	66	10	41	33	21	52	76	60	116	82	31	28	54	22	26	15	76	68	88	23	15	35	39	33	47	12	11	66	20	76	48	79	103	34					
6	Число погашенных избирательных бюллетеней	6881	940	571	994	190	49	21	102	269	68	29	52	26	321	15	166	64	42	165	273	111	145	319	17	35	111	74	43	51	92	110	171	39	64	139	86	107	62	16	2	87	60	82	18	88	345	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2544	95	387	69	69	75	11	58	49	43	31	25	26	66	10	41	33	21	52	76	60	116	82	31	28	54	22	26	15	76	68	88	23	15	35	39	33	47	12	11	66	20	76	48	79	103	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15927	1465	1342	1737	341	126	68	170	462	249	100	133	168	713	115	493	163	157	263	351	219	289	1099	192	187	155	204	71	114	252	252	291	98	131	426	185	290	201	142	149	467	180	212	94	193	1052	166					
9	Число недействительных избирательных бюллетеней	278	13	49	26	11	3	0	5	5	1	1	6	6	12	1	6	0	6	8	3	6	5	24	3	0	1	2	2	2	4	6	12	0	1	8	1	3	4	2	4	6	4	4	2	4	6	0					
10	Число действительных избирательных бюллетеней	18193	1547	1680	1780	399	198	79	223	506	291	130	152	188	767	124	528	196	172	307	424	273	400	1157	220	215	208	224	95	127	324	314	367	121	145	453	223	320	244	152	156	527	196	284	140	268	1149	200					
