Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Цивильская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930					
1	"Число избирателей, внесенных в список избирателей"	26916	631	259	111	337	805	328	366	160	237	251	949	243	146	730	274	227	478	701	423	568	1534	237	267	322	142	164	447	428	216	678	324	418	278	182	194	277	725	484	478	619	175	268	1519	2645	2670	2690	311					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27115	650	250	100	330	800	330	400	170	260	270	970	240	150	750	280	230	480	700	430	580	1600	250	270	330	130	160	450	420	200	660	340	450	300	180	200	270	730	500	500	650	180	260	1600	2600	2600	2600	315					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15303	319	123	60	150	405	156	228	96	122	135	581	150	79	488	164	154	228	352	227	245	964	151	178	186	64	103	260	218	107	390	171	258	152	121	133	162	410	200	215	292	108	155	973	1366	1587	1615	302					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1988	45	41	11	38	65	42	26	13	25	26	51	25	27	43	21	25	57	88	41	89	65	30	45	26	32	13	36	42	17	21	33	15	46	17	18	21	68	123	99	73	16	30	96	100	46	61	0					
6	Число погашенных избирательных бюллетеней	9824	286	86	29	142	330	132	146	61	113	109	338	65	44	219	95	51	195	260	162	246	571	69	47	118	34	44	154	160	76	249	136	177	102	42	49	87	252	177	186	285	56	75	531	1134	967	924	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1988	45	41	11	38	65	42	26	13	25	26	51	25	27	43	21	25	57	88	41	89	65	30	45	26	32	13	36	42	17	21	33	15	46	17	18	21	68	123	99	73	16	30	96	100	46	61	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15296	319	123	60	150	405	156	228	96	122	135	581	150	79	488	164	154	228	352	227	245	964	151	178	185	64	103	260	218	107	390	171	258	152	121	133	161	410	200	214	292	108	155	973	1362	1587	1615	302					
9	Число недействительных избирательных бюллетеней	528	19	3	3	11	17	3	16	1	7	7	27	7	6	10	6	3	8	12	16	6	38	4	3	9	1	6	11	12	6	9	4	12	2	5	4	14	10	13	6	18	2	9	17	33	36	41	15					
10	Число действительных избирательных бюллетеней	16756	345	161	68	177	453	195	238	108	140	154	605	168	100	521	179	176	277	428	252	328	991	177	220	202	95	110	285	248	118	402	200	261	196	133	147	168	468	310	307	347	122	176	1052	1429	1597	1635	287					
