Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Вачская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468					
1	"Число избирателей, внесенных в список избирателей"	16368	721	892	156	140	187	155	184	227	915	555	330	630	139	215	942	253	573	217	476	1103	904	115	166	131	419	617	135	1055	1378	1109	1329					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16263	721	891	187	142	189	154	184	228	919	554	328	633	139	213	965	252	574	221	474	1051	897	112	160	129	419	616	132	1038	1357	1069	1315					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7606	270	382	98	81	96	83	106	124	432	248	114	364	44	121	330	77	152	67	192	461	350	50	83	73	121	338	58	629	797	540	725					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3218	181	189	58	30	60	29	41	52	165	117	82	76	70	37	343	77	263	92	145	152	160	42	47	21	130	89	37	92	92	164	85					
6	Число погашенных избирательных бюллетеней	5439	270	320	31	31	33	42	37	52	322	189	132	193	25	55	292	98	159	62	137	438	387	20	30	35	168	189	37	317	468	365	505					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3218	181	189	58	30	60	29	41	52	165	117	82	76	70	37	343	77	263	92	145	152	160	42	47	21	130	89	37	92	92	164	85					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7606	270	382	98	81	96	83	106	124	432	248	114	364	44	121	330	77	152	67	192	461	350	50	83	73	121	338	58	629	797	540	725					
9	Число недействительных избирательных бюллетеней	107	4	12	0	2	1	1	0	1	0	2	1	5	0	0	10	4	5	0	4	10	5	1	1	1	0	4	1	12	7	7	6					
10	Число действительных избирательных бюллетеней	10717	447	559	156	109	155	111	147	175	597	363	195	435	114	158	663	150	410	159	333	603	505	91	129	93	251	423	94	709	882	697	804					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	648	15	23	19	2	5	5	3	3	35	30	15	25	23	2	20	2	10	3	25	45	67	7	16	10	35	50	18	43	37	34	21					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	555	15	23	19	2	5	5	1	3	32	30	15	25	13	0	20	1	2	3	15	32	42	3	14	7	35	50	15	42	36	34	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	230	6	10	8	1	3	6	4	4	6	4	9	7	7	4	6	4	2	1	4	15	12	14	6	8	5	8	3	24	17	6	16					
14	Число погашенных неиспользованных открепительных удостоверений	93	0	0	0	0	0	0	2	0	3	0	0	0	10	2	0	1	8	0	10	13	25	4	2	3	0	0	3	1	1	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	0	0	0	0	0	0	0	0	2	1	1	13	11	0	6	2	1	0	0	0	1	0	0	0	0	0	0	0	3	4	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
