Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Краснознаменская городская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32129	1998	1773	1747	1950	2347	1908	2231	2800	1847	1889	2474	2379	1957	2661	2168									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27950	1750	1550	1500	1700	2050	1700	1900	2450	1650	1650	2150	2100	1700	2300	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13300	765	682	722	831	947	773	860	1407	795	781	969	1000	808	1083	877									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	210	9	5	46	8	2	5	8	67	9	7	5	3	25	7	4									
6	Число погашенных избирательных бюллетеней	14440	976	863	732	861	1101	922	1032	976	846	862	1176	1097	867	1210	919									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	210	9	5	46	8	2	5	8	67	9	7	5	3	25	7	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13246	764	679	721	821	947	773	860	1407	795	774	960	997	805	1071	872									
9	Число недействительных избирательных бюллетеней	256	7	17	14	4	37	15	23	32	9	7	14	12	24	27	14									
10	Число действительных избирательных бюллетеней	13200	766	667	753	825	912	763	845	1442	795	774	951	988	806	1051	862									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	268	7	25	9	22	19	10	18	29	11	18	24	24	14	23	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	1	5	4	5	6	6	6	16	3	0	12	3	4	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	332	33	15	31	18	21	30	22	11	29	22	16	16	26	17	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	209	9	12	13	2	10	14	16	49	4	8	12	22	7	21	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	465	27	14	29	34	30	28	41	41	41	32	42	28	26	36	16									
		3.46%	3.49%	2.05%	3.78%	4.10%	3.16%	3.60%	4.72%	2.78%	5.10%	4.10%	4.35%	2.80%	3.13%	3.34%	1.83%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	227	19	11	25	11	13	19	16	20	14	16	19	7	11	15	11									
