Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																		
Дата голосования: 18.09.2016																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Лискинская																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																		
																																																																																																		
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82426	1307	1000	1222	1433	868	1404	1182	1474	1864	698	1265	1502	1178	897	1188	1502	1401	1106	257	1216	1275	1424	1657	1088	1279	1038	1504	1209	1258	777	1736	1781	1008	1090	1160	944	490	1235	1085	216	613	531	355	122	908	749	117	997	1020	730	1003	450	1583	1376	1145	522	451	978	1527	558	1125	798	746	1213	918	855	893	660	927	900	565	415	109	447	559	300	784	932	793	785	864	665	935	1406	371	170	338									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81830	1300	980	1230	1350	870	1350	1160	1450	1800	700	1270	1550	1200	900	1200	1500	1400	1100	255	1220	1280	1480	1600	1050	1250	1000	1450	1220	1270	780	1700	1700	1010	1110	1170	950	490	1200	1050	215	650	535	365	130	950	740	115	1000	1000	700	1000	450	1500	1300	1100	485	450	1000	1500	530	1100	800	750	1200	900	850	900	660	910	870	590	435	115	445	560	300	800	970	850	800	880	670	900	1400	375	170	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43136	486	294	496	676	616	748	358	919	954	214	342	669	381	346	795	687	562	388	147	863	760	586	802	293	468	460	884	538	784	325	730	716	652	340	493	539	304	776	788	117	448	283	191	80	677	567	73	493	566	275	441	198	539	778	701	427	389	757	1168	456	583	414	556	943	297	443	280	291	504	462	263	204	72	174	390	185	598	641	686	458	591	379	652	833	164	139	131									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	12679	32	198	281	261	12	279	59	33	183	73	190	320	190	165	7	256	148	7	30	9	84	310	41	315	45	219	8	71	47	256	8	91	13	87	249	9	33	213	94	68	90	157	113	27	91	117	24	268	151	128	365	144	299	280	244	25	36	90	160	41	242	298	106	77	161	268	300	251	291	179	283	179	34	230	85	73	108	200	107	240	153	187	144	301	117	28	193									
6	Число погашенных избирательных бюллетеней	26015	782	488	453	413	242	323	743	498	663	413	738	561	629	389	398	557	690	705	78	348	436	584	757	442	737	321	558	611	439	199	962	893	345	683	428	402	153	211	168	30	112	95	61	23	182	56	18	239	283	297	194	108	662	242	155	33	25	153	172	33	275	88	88	180	442	139	320	118	115	229	44	52	9	41	85	42	94	129	57	102	136	104	104	266	94	3	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	12679	32	198	281	261	12	279	59	33	183	73	190	320	190	165	7	256	148	7	30	9	84	310	41	315	45	219	8	71	47	256	8	91	13	87	249	9	33	213	94	68	90	157	113	27	91	117	24	268	151	128	365	144	299	280	244	25	36	90	160	41	242	298	106	77	161	268	300	251	291	179	283	179	34	230	85	73	108	200	107	240	153	187	144	301	117	28	193									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43136	486	294	496	676	616	748	358	919	954	214	342	669	381	346	795	687	562	388	147	863	760	586	802	293	468	460	884	538	784	325	730	716	652	340	493	539	304	776	788	117	448	283	191	80	677	567	73	493	566	275	441	198	539	778	701	427	389	757	1168	456	583	414	556	943	297	443	280	291	504	462	263	204	72	174	390	185	598	641	686	458	591	379	652	833	164	139	131									
9	Число недействительных избирательных бюллетеней	296	2	4	2	4	0	3	6	0	9	7	13	0	3	0	5	0	2	0	2	22	0	3	5	1	1	0	0	2	0	0	5	4	1	17	4	0	3	8	0	0	0	0	1	0	0	21	4	5	4	2	0	0	3	5	5	0	4	2	3	2	4	3	1	7	11	0	0	3	0	12	0	1	0	0	0	0	0	1	4	11	24	4	0	2	1	0	8									
10	Число действительных избирательных бюллетеней	55519	516	488	775	933	628	1024	411	952	1128	280	519	989	568	511	797	943	708	395	175	850	844	893	838	607	512	679	892	607	831	581	733	803	664	410	738	548	334	981	882	185	538	440	303	107	768	663	93	756	713	401	806	342	835	1053	940	452	421	845	1325	495	821	709	661	1013	447	711	580	539	795	629	546	382	106	404	475	258	706	840	789	687	720	562	796	1132	280	167	316									
