Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Яльчикская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14492	906	864	389	273	190	528	262	655	610	109	490	475	450	182	120	303	162	254	343	491	275	520	369	360	360	336	624	205	190	102	200	332	159	498	462	236	112	188	230	165	147	366									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13654	815	785	365	255	180	530	235	620	575	100	450	440	420	170	115	292	155	240	329	465	260	495	345	340	350	325	615	195	180	95	190	315	150	470	435	225	108	180	210	155	140	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11523	650	634	316	215	172	499	207	545	465	71	361	369	350	137	93	256	127	208	273	412	214	450	287	248	295	280	560	173	150	78	179	280	123	365	354	196	102	159	154	141	107	268									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1488	47	32	43	31	8	29	27	75	110	29	53	64	70	33	22	36	21	32	56	51	44	37	37	26	55	45	50	22	23	12	11	33	16	45	32	15	4	20	23	14	15	40									
6	Число погашенных избирательных бюллетеней	643	118	119	6	9	0	2	1	0	0	0	36	7	0	0	0	0	7	0	0	2	2	8	21	66	0	0	5	0	7	5	0	2	11	60	49	14	2	1	33	0	18	32									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1488	47	32	43	31	8	29	27	75	110	29	53	64	70	33	22	36	21	32	56	51	44	37	37	26	55	45	50	22	23	12	11	33	16	45	32	15	4	20	23	14	15	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11523	650	634	316	215	172	499	207	545	465	71	361	369	350	137	93	256	127	208	273	412	214	450	287	248	295	280	560	173	150	78	179	280	123	365	354	196	102	159	154	141	107	268									
9	Число недействительных избирательных бюллетеней	301	22	16	3	3	1	14	5	20	0	0	6	14	16	7	3	1	2	0	0	5	1	5	4	13	11	8	18	7	9	5	10	13	6	13	17	3	0	3	11	0	1	5									
10	Число действительных избирательных бюллетеней	12710	675	650	356	243	179	514	229	600	575	100	408	419	404	163	112	291	146	240	329	458	257	482	320	261	339	317	592	188	164	85	180	300	133	397	369	208	106	176	166	155	121	303									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	576	34	33	15	11	8	23	9	26	26	5	20	18	16	8	5	12	6	11	14	20	11	20	15	14	14	13	25	8	8	5	8	14	6	20	18	9	4	8	9	6	6	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	576	34	33	15	11	8	23	9	26	26	5	20	18	16	8	5	12	6	11	14	20	11	20	15	14	14	13	25	8	8	5	8	14	6	20	18	9	4	8	9	6	6	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	42	5	7	2	0	1	7	0	0	0	1	0	1	2	0	0	0	0	0	1	2	0	1	2	1	0	1	0	0	1	0	1	0	0	0	3	0	0	1	2	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
