Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Гафурийская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142					
1	"Число избирателей, внесенных в списки"	23861	709	1697	1477	1461	613	439	1320	807	605	442	195	335	306	497	708	375	319	235	177	382	132	315	297	807	632	630	622	470	498	744	671	509	241	269	161	359	217	780	469	320	640	611	368					
2	"Число бюллетеней, полученных участковыми комиссиями"	24153	710	1650	1400	1500	530	430	1450	820	610	530	195	350	310	500	710	500	320	250	173	380	128	330	305	810	630	630	625	470	485	715	635	510	240	270	166	362	206	865	470	307	716	610	350					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18020	387	1097	951	1051	366	280	923	487	399	420	124	259	182	341	466	361	244	198	131	343	125	281	246	646	510	629	526	388	335	609	575	451	191	228	151	285	184	761	383	266	571	391	278					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1495	43	41	66	75	20	30	49	48	61	22	21	18	34	34	38	14	38	6	8	19	3	20	25	61	66	1	7	51	67	50	48	58	24	30	7	23	7	19	63	31	69	31	49					
6	Число погашенных бюллетеней	4638	280	512	383	374	144	120	478	285	150	88	50	73	94	125	206	125	38	46	34	18	0	29	34	103	54	0	92	31	83	56	12	1	25	12	8	54	15	85	24	10	76	188	23					
7	Число бюллетеней в переносных ящиках для голосования	1495	43	41	66	75	20	30	49	48	61	22	21	18	34	34	38	14	38	6	8	19	3	20	25	61	66	1	7	51	67	50	48	58	24	30	7	23	7	19	63	31	69	31	49					
8	Число бюллетеней в стационарных ящиках для голосования	17984	387	1097	951	1016	366	280	923	487	398	420	124	259	182	341	466	361	244	198	131	343	125	281	246	646	510	629	526	388	335	609	575	451	191	228	151	285	184	761	383	266	571	391	278					
9	Число недействительных бюллетеней	535	49	27	24	5	16	17	31	0	19	21	11	11	17	16	0	26	13	4	15	2	0	10	8	2	11	0	7	3	1	16	12	6	7	0	1	1	7	19	17	16	28	20	19					
10	Число действительных бюллетеней	18944	381	1111	993	1086	370	293	941	535	440	421	134	266	199	359	504	349	269	200	124	360	128	291	263	705	565	630	526	436	401	643	611	503	208	258	157	307	184	761	429	281	612	402	308					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	10	27	17	25	17	7	17	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	146	4	27	16	23	5	3	17	1	0	2	0	2	2	3	1	0	1	1	2	5	0	4	1	1	1	0	1	0	1	1	1	1	0	2	4	3	2	3	0	0	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	346	2	6	13	6	5	3	9	3	2	4	2	6	1	2	6	5	7	4	4	5	4	1	0	10	2	4	3	2	5	4	2	6	3	2	4	0	5	167	4	7	11	3	2					
14	Число погашенных открепительных удостоверений	154	6	0	1	2	12	4	0	4	5	3	5	3	3	2	4	5	4	4	3	0	5	1	4	4	4	5	4	5	4	4	4	4	5	3	1	2	3	2	5	5	2	4	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	"1. ""ЕДИНЕНИЕ"""	510	7	30	18	40	12	16	15	8	3	16	6	11	7	11	5	5	11	6	7	10	3	9	8	16	22	7	10	4	11	13	13	12	16	17	0	10	11	24	14	12	10	15	9					
		2.61%	1.62%	2.63%	1.76%	3.66%	3.10%	5.16%	1.54%	1.49%	0.65%	3.61%	4.13%	3.97%	3.24%	2.93%	0.99%	1.33%	3.90%	2.94%	5.03%	2.76%	2.34%	2.99%	2.95%	2.26%	3.81%	1.11%	1.87%	0.91%	2.73%	1.97%	2.08%	2.35%	7.44%	6.58%	0.0%	3.24%	5.75%	3.07%	3.13%	4.04%	1.56%	3.55%	2.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	216	5	21	16	20	8	2	8	17	2	6	1	12	2	6	4	7	2	1	2	0	1	3	0	3	0	2	2	1	2	4	3	0	0	1	0	2	2	24	6	4	5	6	3					
		1.10%	1.16%	1.84%	1.57%	1.83%	2.07%	0.64%	0.82%	3.17%	0.43%	1.35%	0.68%	4.33%	0.92%	1.6%	0.79%	1.86%	0.70%	0.49%	1.43%	0.0%	0.78%	0.99%	0.0%	0.42%	0.0%	0.31%	0.37%	0.22%	0.49%	0.60%	0.48%	0.0%	0.0%	0.38%	0.0%	0.64%	1.04%	3.07%	1.34%	1.34%	0.78%	1.42%	0.91%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	439	23	33	39	33	8	11	26	21	11	8	2	2	5	13	28	7	5	3	2	10	0	2	2	3	4	4	10	5	8	9	7	6	1	2	0	9	9	17	15	11	12	6	7					
		2.25%	5.34%	2.89%	3.83%	3.02%	2.07%	3.54%	2.67%	3.92%	2.39%	1.80%	1.37%	0.72%	2.31%	3.46%	5.55%	1.86%	1.77%	1.47%	1.43%	2.76%	0.0%	0.66%	0.73%	0.42%	0.69%	0.63%	1.87%	1.13%	1.99%	1.36%	1.12%	1.17%	0.46%	0.77%	0.0%	2.92%	4.71%	2.17%	3.36%	3.70%	1.87%	1.42%	2.14%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	149	5	12	11	13	4	2	6	5	1	2	1	1	5	4	3	5	2	2	2	5	0	1	3	3	0	1	3	1	2	3	2	1	3	0	0	1	1	22	3	0	2	0	6					
		0.76%	1.16%	1.05%	1.08%	1.19%	1.03%	0.64%	0.61%	0.93%	0.21%	0.45%	0.68%	0.36%	2.31%	1.06%	0.59%	1.33%	0.70%	0.98%	1.43%	1.38%	0.0%	0.33%	1.10%	0.42%	0.0%	0.15%	0.56%	0.22%	0.49%	0.45%	0.32%	0.19%	1.39%	0.0%	0.0%	0.32%	0.52%	2.82%	0.67%	0.0%	0.31%	0.0%	1.83%					
22	"5. ""За Русь Святую"""	81	1	8	7	9	1	1	7	6	3	0	3	0	2	0	3	2	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	5	1	1	5	6	2					
