Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
Наименование Избирательной комиссии:    Ефремовская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305					
1	"Число избирателей, внесенных в списки избирателей"	54943	993	1912	1013	1216	603	1705	1296	1453	1937	1269	1031	496	1498	617	1744	1843	2202	615	1355	1413	1096	1225	1166	1167	1167	1847	1637	982	601	631	398	203	728	282	299	448	1032	325	573	371	398	416	381	328	426	311	560	612	638	332	410	434	200	463	349	241	854	1118	369	639	656	362	333	208	658	858					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	42200	700	1300	700	1000	400	1200	1000	1000	1500	1000	700	400	1100	500	1200	1300	1600	500	1000	1000	800	1000	1000	1000	1000	1300	1200	700	500	500	300	200	600	200	300	400	800	300	500	300	300	400	300	300	400	300	500	500	500	300	300	400	200	400	300	200	600	800	300	500	500	300	300	200	500	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23380	400	828	457	513	232	793	586	693	816	580	438	207	628	229	737	865	1033	237	633	663	503	561	458	547	540	832	789	400	240	242	122	46	248	89	93	188	441	148	204	126	184	194	217	134	184	130	243	220	225	117	145	237	26	158	177	48	342	444	219	288	319	85	148	89	114	308					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2874	36	43	37	33	10	25	34	32	31	9	16	22	38	26	36	14	14	0	51	19	54	15	21	32	30	41	30	7	5	79	83	38	58	55	66	85	111	18	101	72	45	37	38	28	43	57	32	50	22	10	26	29	81	46	30	59	57	49	25	98	43	99	26	31	221	65					
6	Число погашенных избирательных бюллетеней	15946	264	429	206	454	158	382	380	275	653	411	246	171	434	245	427	421	553	263	316	318	243	424	521	421	430	427	381	293	255	179	95	116	294	56	141	127	248	134	195	102	71	169	45	138	173	113	225	230	253	173	129	134	93	196	93	93	201	307	56	114	138	116	126	80	165	227					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2874	36	43	37	33	10	25	34	32	31	9	16	22	38	26	36	14	14	0	51	19	54	15	21	32	30	41	30	7	5	79	83	38	58	55	66	85	111	18	101	72	45	37	38	28	43	57	32	50	22	10	26	29	81	46	30	59	57	49	25	98	43	99	26	31	221	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23370	400	828	457	512	232	793	586	693	816	580	437	207	628	229	737	857	1033	237	633	663	503	561	458	547	540	832	789	400	240	242	122	46	248	89	93	188	441	148	204	126	184	194	217	134	184	130	243	220	225	117	145	237	26	158	177	48	342	444	219	288	319	85	148	89	114	308					
9	Число недействительных избирательных бюллетеней	192	2	6	0	6	2	5	7	3	9	1	10	2	2	0	9	6	7	0	6	9	9	9	9	8	5	12	6	2	2	0	2	1	0	2	0	0	4	3	0	0	0	0	0	0	1	1	0	2	4	1	0	3	0	0	1	1	2	2	0	1	4	1	0	1	0	1					
10	Число действительных избирательных бюллетеней	26052	434	865	494	539	240	813	613	722	838	588	443	227	664	255	764	865	1040	237	678	673	548	567	470	571	565	861	813	405	243	321	203	83	306	142	159	273	548	163	305	198	229	231	255	162	226	186	275	268	243	126	171	263	107	204	206	106	397	491	244	385	358	183	174	119	335	372					
