Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Варгашинская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №1179	УИК №1180					
1	"Число избирателей, внесенных в списки избирателей"	16704	955	945	755	585	1164	812	802	853	921	70	376	390	256	480	385	313	451	291	449	811	100	378	628	81	399	346	288	297	309	255	315	193	399	273	178	201					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15020	850	800	650	525	1050	700	700	750	800	80	325	325	250	450	375	275	425	275	375	750	90	350	550	75	375	325	275	275	275	250	300	175	375	265	160	175					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9421	561	576	418	361	580	390	413	462	457	62	287	230	131	272	258	194	295	177	254	445	58	222	369	41	201	251	176	182	156	122	172	124	205	100	131	88					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1348	12	58	20	17	58	45	20	31	56	2	28	39	45	51	35	40	59	35	41	45	10	85	29	14	55	36	27	13	66	34	50	27	45	95	19	6					
6	Число погашенных избирательных бюллетеней	4251	277	166	212	147	412	265	267	257	287	16	10	56	74	127	82	41	71	63	80	260	22	43	152	20	119	38	72	80	53	94	78	24	125	70	10	81					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1348	12	58	20	17	58	45	20	31	56	2	28	39	45	51	35	40	59	35	41	45	10	85	29	14	55	36	27	13	66	34	50	27	45	95	19	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9420	561	576	418	361	580	390	413	462	457	62	287	230	131	272	258	194	295	177	254	444	58	222	369	41	201	251	176	182	156	122	172	124	205	100	131	88					
9	Число недействительных избирательных бюллетеней	61	1	5	3	1	1	5	3	1	5	0	1	3	0	0	5	0	3	1	3	8	0	0	0	0	1	0	2	2	1	0	2	1	1	0	1	1					
10	Число действительных избирательных бюллетеней	10707	572	629	435	377	637	430	430	492	508	64	314	266	176	323	288	234	351	211	292	481	68	307	398	55	255	287	201	193	221	156	220	150	249	195	149	93					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	209	8	8	8	5	13	5	9	11	9	3	5	5	5	5	5	5	5	8	5	8	3	5	5	3	5	5	5	5	5	5	5	5	5	5	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	138	7	4	6	4	9	1	9	11	9	1	2	4	2	3	5	5	5	5	2	8	1	5	5	0	4	3	5	0	5	2	2	0	2	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	87	5	6	2	2	9	2	2	6	2	0	2	8	0	2	6	0	3	1	2	0	1	3	4	2	3	1	2	1	5	1	0	0	2	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	71	1	4	2	1	4	4	0	0	0	2	3	1	3	2	0	0	0	3	3	0	2	0	0	3	1	2	0	5	0	3	3	5	3	3	5	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	1.Политическая партия «Аграрная партия России»	414	22	14	9	11	9	9	8	9	4	1	11	7	14	19	12	6	10	2	24	50	1	17	14	4	4	14	7	8	11	18	13	9	19	8	15	1					
		3.84%	3.84%	2.21%	2.05%	2.91%	1.41%	2.07%	1.85%	1.83%	0.78%	1.56%	3.49%	2.60%	7.95%	5.88%	4.10%	2.56%	2.82%	0.94%	8.14%	10.22%	1.47%	5.54%	3.52%	7.27%	1.56%	4.88%	3.45%	4.10%	4.95%	11.54%	5.86%	5.96%	7.60%	4.10%	10.00%	1.06%					
19	2.Всероссийская политическая партия «Гражданская Сила»	24	4	3	1	2	2	2	3	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.22%	0.70%	0.47%	0.23%	0.53%	0.31%	0.46%	0.69%	0.41%	0.19%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.19%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.43%	0.00%	0.00%	0.34%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1168	66	76	48	44	63	28	45	50	57	11	25	14	9	22	65	18	51	18	39	38	26	18	25	2	29	34	29	18	52	20	37	11	39	22	9	10					
		10.85%	11.52%	11.99%	10.96%	11.64%	9.87%	6.44%	10.39%	10.14%	11.11%	17.19%	7.94%	5.20%	5.11%	6.81%	22.18%	7.69%	14.41%	8.49%	13.22%	7.77%	38.24%	5.86%	6.28%	3.64%	11.33%	11.85%	14.29%	9.23%	23.42%	12.82%	16.67%	7.28%	15.60%	11.28%	6.00%	10.64%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	43	3	4	0	1	2	3	7	6	6	0	2	1	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	1	0	1	0	0	0	0	0	0					
		0.40%	0.52%	0.63%	0.00%	0.26%	0.31%	0.69%	1.62%	1.22%	1.17%	0.00%	0.63%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.75%	0.00%	0.39%	0.00%	0.49%	0.51%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	23	0	4	1	2	0	0	1	2	0	0	0	0	0	2	0	1	1	0	1	2	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0					
		0.21%	0.00%	0.63%	0.23%	0.53%	0.00%	0.00%	0.23%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.43%	0.28%	0.00%	0.34%	0.41%	2.94%	0.00%	0.00%	0.00%	1.17%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1265	68	82	41	48	81	46	44	51	74	12	38	20	18	44	31	37	34	32	33	50	8	58	35	8	34	61	17	18	36	25	12	12	19	16	14	8					
