Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Озерская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887					
1	"Число избирателей, внесенных в списки"	30232	949	357	283	962	787	1111	659	1647	483	1236	286	1831	485	1968	1875	487	1504	1995	1000	1100	680	1576	1785	293	1981	622	1248	1042					
2	"Число бюллетеней, полученных участковыми комиссиями"	29100	950	350	280	900	750	1100	600	1500	450	1200	270	1700	500	1900	1800	450	1400	2000	1000	1000	650	1500	1600	550	1900	600	1200	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13195	375	173	74	416	321	394	289	661	177	463	69	822	281	859	763	208	697	930	431	510	285	640	779	285	1012	253	535	493					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1278	108	38	87	70	51	136	93	19	12	171	83	21	21	36	30	10	26	25	36	11	21	29	17	8	12	32	50	25					
6	Число погашенных бюллетеней	14611	467	139	119	414	378	570	218	820	261	566	118	857	198	1005	1007	232	677	1030	533	478	344	831	804	257	876	315	615	482					
7	Число бюллетеней в переносных ящиках для голосования	1264	108	38	87	70	51	136	93	19	12	171	69	21	21	36	30	10	26	25	36	11	21	29	17	8	12	32	50	25					
8	Число бюллетеней в стационарных ящиках для голосования	13203	375	173	74	416	321	394	289	660	177	463	83	822	281	859	762	208	697	930	431	510	285	640	779	285	1012	250	534	493					
9	Число недействительных бюллетеней	286	9	10	2	13	17	17	11	9	2	25	5	9	7	24	13	0	17	9	6	6	10	8	9	5	9	10	14	10					
10	Число действительных бюллетеней	14181	474	201	159	473	355	513	371	670	187	609	147	834	295	871	779	218	706	946	461	515	296	661	787	288	1015	272	570	508					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	700	22	8	6	22	18	25	15	38	11	28	6	42	11	45	43	11	34	47	21	25	16	37	41	14	45	14	30	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	107	1	0	0	2	2	6	1	6	3	1	0	2	0	9	12	1	9	11	3	6	3	6	4	1	8	1	4	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	183	5	6	3	3	3	7	67	1	3	8	7	7	2	4	2	0	0	2	0	2	2	6	14	5	3	11	7	3					
14	Число погашенных открепительных удостоверений	593	21	8	6	20	16	19	14	32	8	27	6	40	11	36	31	10	25	36	18	19	13	31	37	13	37	13	26	20					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	1	2	0	1	0	1	0	0	0					
16	Число утраченных бюллетеней	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
