Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Усть-Лабинская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК  5601	УИК  5602	УИК  5603	УИК  5604	УИК  5605	УИК  5606	УИК  5607	УИК  5608	УИК  5609	УИК  5610	УИК  5611	УИК  5612	УИК  5613	УИК  5614	УИК  5615	УИК  5616	УИК  5617	УИК  5618	УИК  5619	УИК  5620	УИК  5621	УИК  5622	УИК  5623	УИК  5624	УИК  5625	УИК  5626	УИК  5627	УИК  5628	УИК  5629	УИК  5630	УИК  5631	УИК  5632	УИК  5633	УИК  5634	УИК  5635	УИК  5636	УИК  5637	УИК  5638	УИК  5639	УИК  5640	УИК  5641	УИК  5642	УИК  5643	УИК  5644	УИК  5645	УИК  5646	УИК  5647	УИК  5648	УИК  5649	УИК  5650	УИК  5651	УИК  5652	УИК  5653	УИК  5654	УИК  5655	УИК  5656	УИК  5657	УИК  5658					
1	"Число избирателей, внесенных в списки"	85680	3111	2730	2510	2249	1916	1254	1396	1939	1411	1296	2356	1547	1071	2431	1161	2416	1499	2329	1695	367	1149	1894	318	625	305	1253	439	441	396	1077	558	1184	1578	1312	836	2210	2185	2179	1328	231	391	2040	1862	2586	2744	1648	2548	1672	1025	1427	2122	305	618	1327	1217	299	1564	2103					
2	"Число бюллетеней, полученных участковыми комиссиями"	81750	2900	2600	2400	2100	1800	1100	1200	1800	1300	1200	2200	1500	1000	2300	1100	2200	1400	2200	1600	370	1000	1900	350	600	300	1200	400	400	400	1000	500	1100	1500	1300	800	2200	2100	2200	1300	230	400	2000	1800	2500	2500	1600	2400	1600	1000	1400	2000	300	600	1400	1300	300	1600	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	40866	1322	1156	1078	1020	793	526	641	784	534	616	932	639	453	1043	456	1085	603	1016	829	367	498	1009	187	383	163	670	216	289	219	660	351	646	714	724	475	959	997	900	719	143	166	1027	942	1233	1206	903	1042	873	548	699	1075	173	298	1004	722	111	994	1035					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2692	48	53	29	47	37	19	58	36	25	23	36	37	35	20	42	62	19	64	27	0	12	93	38	2	25	82	50	0	37	32	25	4	115	55	22	34	16	51	95	41	72	71	29	65	41	34	83	12	129	98	85	29	44	34	58	58	91	113					
6	Число погашенных бюллетеней	38192	1530	1391	1293	1033	970	555	501	980	741	561	1232	824	512	1237	602	1053	778	1120	744	3	490	798	125	215	112	448	134	111	144	308	124	450	671	521	303	1207	1087	1249	486	46	162	902	829	1202	1253	663	1275	715	323	603	840	98	258	362	520	131	515	852					
7	Число бюллетеней в переносных ящиках для голосования	2692	48	53	29	47	37	19	58	36	25	23	36	37	35	20	42	62	19	64	27	0	12	93	38	2	25	82	50	0	37	32	25	4	115	55	22	34	16	51	95	41	72	71	29	65	41	34	83	12	129	98	85	29	44	34	58	58	91	113					
8	Число бюллетеней в стационарных ящиках для голосования	40858	1322	1156	1074	1020	793	526	641	781	534	616	932	639	453	1043	456	1084	603	1016	829	367	498	1009	187	383	163	670	216	289	219	660	351	646	714	724	475	959	997	900	719	143	166	1027	942	1233	1206	903	1042	873	548	699	1075	173	298	1004	722	111	994	1035					
9	Число недействительных бюллетеней	331	8	3	6	7	5	2	5	6	7	5	6	2	1	18	1	5	9	24	4	0	5	1	1	0	2	13	5	2	2	1	6	3	14	5	6	13	21	6	5	1	1	22	10	0	0	5	3	0	0	5	5	1	0	8	2	0	15	18					
10	Число действительных бюллетеней	43219	1362	1206	1097	1060	825	543	694	811	552	634	962	674	487	1045	497	1141	613	1056	852	367	505	1101	224	385	186	739	261	287	254	691	370	647	815	774	491	980	992	945	809	183	237	1076	961	1298	1247	932	1122	885	677	792	1155	201	342	1030	778	169	1070	1130					
