Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Кушнаренковская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22947	869	1373	1126	1080	901	1355	1312	1392	693	196	188	244	83	447	324	486	200	309	567	307	374	337	348	118	376	385	512	111	397	493	622	319	632	62	277	107	133	546	308	168	431	260	1080	392	578	129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23388	850	1350	1167	1050	964	1421	1376	1378	703	199	192	248	89	454	328	491	205	314	579	309	384	354	353	126	384	394	530	114	410	501	636	328	647	65	287	112	135	557	313	171	438	267	1087	401	592	135									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16198	426	362	890	691	695	950	401	701	440	118	100	186	74	386	268	458	188	288	507	279	317	304	313	84	302	350	479	99	372	267	495	212	553	56	258	94	112	461	243	144	343	242	782	244	555	109									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	898	36	15	8	13	22	28	7	27	55	17	17	10	6	43	26	14	8	10	8	10	27	20	15	3	32	7	8	8	11	65	25	51	35	6	7	7	8	23	25	8	11	10	68	31	0	7									
6	Число погашенных избирательных бюллетеней	6292	388	973	269	346	247	443	968	650	208	64	75	52	9	25	34	19	9	16	64	20	40	30	25	39	50	37	43	7	27	169	116	65	59	3	22	11	15	73	45	19	84	15	237	126	37	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	898	36	15	8	13	22	28	7	27	55	17	17	10	6	43	26	14	8	10	8	10	27	20	15	3	32	7	8	8	11	65	25	51	35	6	7	7	8	23	25	8	11	10	68	31	0	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16198	426	362	890	691	695	950	401	701	440	118	100	186	74	386	268	458	188	288	507	279	317	304	313	84	302	350	479	99	372	267	495	212	553	56	258	94	112	461	243	144	343	242	782	244	555	109									
9	Число недействительных избирательных бюллетеней	233	14	16	15	9	34	13	2	6	19	10	2	0	0	3	0	6	0	0	2	0	0	2	2	0	12	0	12	0	3	11	3	4	3	0	0	0	0	3	0	3	0	0	12	12	0	0									
10	Число действительных избирательных бюллетеней	16863	448	361	883	695	683	965	406	722	476	125	115	196	80	426	294	466	196	298	513	289	344	322	326	87	322	357	475	107	380	321	517	259	585	62	265	101	120	481	268	149	354	252	838	263	555	116									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	204	18	8	18	8	8	8	8	8	5	2	2	2	1	4	2	4	2	2	4	2	3	4	2	1	4	4	6	1	8	3	7	5	4	1	4	1	1	3	2	2	2	1	8	2	8	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	128	9	6	12	8	0	7	8	6	3	0	0	0	0	1	1	2	0	0	1	1	3	3	0	0	4	1	4	1	8	0	6	5	4	0	4	0	0	0	1	1	2	0	8	2	5	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	70	2	3	5	1	0	2	1	0	2	1	3	0	0	4	0	3	0	0	1	0	0	2	2	0	1	0	1	2	1	1	5	2	0	0	5	0	0	1	1	1	0	2	12	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	76	9	2	6	0	8	1	0	2	2	2	2	2	1	3	1	2	2	2	3	1	0	1	2	1	0	3	2	0	0	3	1	0	0	1	0	1	1	3	1	1	0	1	0	0	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	3	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	258	10	16	24	17	8	14	6	6	12	0	1	2	0	4	3	0	0	3	16	7	2	10	3	0	3	15	2	0	2	6	4	5	17	2	4	0	1	1	7	7	4	0	10	2	0	2									
		1.51%	2.16%	4.24%	2.67%	2.41%	1.12%	1.43%	1.47%	0.82%	2.42%	0.00%	0.85%	1.02%	0.00%	0.93%	1.02%	0.00%	0.00%	1.01%	3.11%	2.42%	0.58%	3.09%	0.91%	0.00%	0.90%	4.20%	0.41%	0.00%	0.52%	1.81%	0.77%	1.90%	2.89%	3.23%	1.51%	0.00%	0.83%	0.21%	2.61%	4.61%	1.13%	0.00%	1.18%	0.73%	0.00%	1.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	680	14	31	19	28	23	30	21	29	23	5	1	6	1	15	11	0	11	3	18	24	6	10	9	2	14	9	32	0	14	17	31	20	63	1	15	7	0	5	12	7	4	0	33	21	32	3									
		3.98%	3.03%	8.22%	2.12%	3.98%	3.21%	3.07%	5.15%	3.98%	4.65%	3.70%	0.85%	3.06%	1.25%	3.50%	3.74%	0.00%	5.61%	1.01%	3.50%	8.30%	1.74%	3.09%	2.74%	2.30%	4.19%	2.52%	6.57%	0.00%	3.66%	5.12%	5.96%	7.60%	10.71%	1.61%	5.66%	6.93%	0.00%	1.03%	4.48%	4.61%	1.13%	0.00%	3.88%	7.64%	5.77%	2.59%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	320	12	10	15	11	18	23	11	16	7	3	1	4	1	13	2	0	3	2	4	0	0	1	5	1	11	4	7	0	12	11	11	5	20	0	12	0	0	13	6	3	12	0	13	6	10	1									
		1.87%	2.60%	2.65%	1.67%	1.56%	2.51%	2.35%	2.70%	2.20%	1.41%	2.22%	0.85%	2.04%	1.25%	3.03%	0.68%	0.00%	1.53%	0.67%	0.78%	0.00%	0.00%	0.31%	1.52%	1.15%	3.29%	1.12%	1.44%	0.00%	3.13%	3.31%	2.12%	1.90%	3.40%	0.00%	4.53%	0.00%	0.00%	2.69%	2.24%	1.97%	3.39%	0.00%	1.53%	2.18%	1.80%	0.86%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11090	206	197	547	395	378	489	185	481	343	68	87	157	67	320	245	331	128	231	407	227	317	212	270	76	249	294	319	85	284	234	339	162	301	50	190	94	72	264	173	106	221	191	399	173	433	93									
		64.87%	44.59%	52.25%	60.91%	56.11%	52.72%	50.00%	45.34%	66.07%	69.29%	50.37%	74.36%	80.10%	83.75%	74.59%	83.33%	70.13%	65.31%	77.52%	79.03%	78.55%	92.15%	65.43%	82.32%	87.36%	74.55%	82.35%	65.50%	79.44%	74.15%	70.48%	65.19%	61.60%	51.19%	80.65%	71.70%	93.07%	60.00%	54.55%	64.55%	69.74%	62.43%	75.79%	46.94%	62.91%	78.02%	80.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	116	4	0	2	6	15	18	6	6	1	2	1	2	1	7	0	0	1	0	1	1	0	0	2	0	3	1	0	0	1	0	5	3	18	0	0	0	0	2	3	0	2	0	1	1	0	0									
		0.68%	0.87%	0.00%	0.22%	0.85%	2.09%	1.84%	1.47%	0.82%	0.20%	1.48%	0.85%	1.02%	1.25%	1.63%	0.00%	0.00%	0.51%	0.00%	0.19%	0.35%	0.00%	0.00%	0.61%	0.00%	0.90%	0.28%	0.00%	0.00%	0.26%	0.00%	0.96%	1.14%	3.06%	0.00%	0.00%	0.00%	0.00%	0.41%	1.12%	0.00%	0.56%	0.00%	0.12%	0.36%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	65	0	0	3	1	8	13	2	2	3	3	1	0	0	3	0	0	0	1	1	0	0	1	2	0	1	0	1	0	1	0	3	1	2	0	0	0	0	4	4	0	0	0	2	1	0	1									
		0.38%	0.00%	0.00%	0.33%	0.14%	1.12%	1.33%	0.49%	0.27%	0.61%	2.22%	0.85%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.34%	0.19%	0.00%	0.00%	0.31%	0.61%	0.00%	0.30%	0.00%	0.21%	0.00%	0.26%	0.00%	0.58%	0.38%	0.34%	0.00%	0.00%	0.00%	0.00%	0.83%	1.49%	0.00%	0.00%	0.00%	0.24%	0.36%	0.00%	0.86%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2008	59	27	62	128	125	132	91	56	32	21	13	9	7	22	16	66	15	38	21	7	11	50	16	3	18	12	56	10	35	26	33	16	78	6	25	0	20	79	17	5	67	41	356	24	50	7									
		11.75%	12.77%	7.16%	6.90%	18.18%	17.43%	13.50%	22.30%	7.69%	6.46%	15.56%	11.11%	4.59%	8.75%	5.13%	5.44%	13.98%	7.65%	12.75%	4.08%	2.42%	3.20%	15.43%	4.88%	3.45%	5.39%	3.36%	11.50%	9.35%	9.14%	7.83%	6.35%	6.08%	13.27%	9.68%	9.43%	0.00%	16.67%	16.32%	6.34%	3.29%	18.93%	16.27%	41.88%	8.73%	9.01%	6.03%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	41	1	4	0	6	2	5	3	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	1	2	0	0	0	0	1	0	2	0	0	1	0	0	0									
		0.24%	0.22%	1.06%	0.00%	0.85%	0.28%	0.51%	0.74%	0.69%	0.20%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.21%	0.00%	0.00%	0.00%	0.19%	0.38%	0.34%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	1.32%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	53	0	2	6	0	6	6	6	6	1	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	1	0	0	0	4	0	1	0	0	0	1	3	0	0	0	0	1	2	0	0									
		0.31%	0.00%	0.53%	0.67%	0.00%	0.84%	0.61%	1.47%	0.82%	0.20%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.30%	0.00%	0.30%	0.00%	0.21%	0.00%	0.00%	0.00%	0.77%	0.00%	0.17%	0.00%	0.00%	0.00%	0.83%	0.62%	0.00%	0.00%	0.00%	0.00%	0.12%	0.73%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	1	0	1	0	6	4	1	0	1	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	2	1	0	0									
		0.16%	0.22%	0.00%	0.11%	0.00%	0.84%	0.41%	0.25%	0.00%	0.20%	0.00%	0.85%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.24%	0.36%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	62	2	8	4	2	6	5	7	3	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	1	4	2	0	0	0	0	5	0	0	0	0	3	0	0	0									
		0.36%	0.43%	2.12%	0.45%	0.28%	0.84%	0.51%	1.72%	0.41%	0.40%	1.48%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.28%	0.00%	0.00%	0.52%	0.00%	0.19%	1.52%	0.34%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1606	63	56	153	83	67	198	55	98	31	16	5	13	2	33	12	27	38	13	24	21	5	20	10	2	13	16	40	11	21	21	69	33	68	3	13	0	14	54	46	14	37	17	11	26	30	4									
		9.39%	13.64%	14.85%	17.04%	11.79%	9.34%	20.25%	13.48%	13.46%	6.26%	11.85%	4.27%	6.63%	2.50%	7.69%	4.08%	5.72%	19.39%	4.36%	4.66%	7.27%	1.45%	6.17%	3.05%	2.30%	3.89%	4.48%	8.21%	10.28%	5.48%	6.33%	13.27%	12.55%	11.56%	4.84%	4.91%	0.00%	11.67%	11.16%	17.16%	9.21%	10.45%	6.75%	1.29%	9.45%	5.41%	3.45%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	53	2	2	0	1	2	18	3	0	1	0	0	1	0	1	0	0	0	0	3	2	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0									
