Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Ленинская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155					
1	"Число избирателей, внесенных в список"	116109	1086	1522	2484	2469	1733	2206	2720	1885	1999	1540	2495	2315	2098	1989	910	1648	2762	1950	1669	1423	874	1064	1720	1340	355	421	1416	1467	1671	490	1358	1400	2308	2657	251	105	496	341	428	1209	576	2653	2579	2465	296	824	2182	2134	1769	1200	2595	264	2005	178	2304	2183	2155	2716	2742	1247	546	2307	2245	2221	2900	1710	1975	2165	601	2093	1682	323					
2	Число полученных избирательных бюллетеней	116110	1070	1520	2490	2460	1740	2200	2720	1910	2020	1540	2490	2030	2120	2010	910	1660	2760	1960	1680	1440	860	1050	1710	1370	350	420	1420	1410	1640	480	1380	1400	2320	2690	250	100	480	530	410	1100	570	2660	2490	2460	290	770	2210	2130	1780	1210	2590	230	2010	180	2330	2210	2190	2730	2740	1250	550	2330	2260	2200	2940	1690	1980	2130	600	2100	1700	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64226	577	896	1326	1271	929	1102	1473	977	1015	868	1391	1284	980	1063	478	810	1484	928	896	780	425	459	865	814	196	259	772	778	899	232	793	792	1303	1660	126	54	276	292	196	696	351	1587	1563	1578	167	438	1158	1235	1093	790	1506	127	1161	86	1265	1236	1323	1726	1412	704	149	1333	1198	1645	1464	973	1109	1177	369	1122	766	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	3221	10	26	30	18	28	13	7	20	11	4	7	18	23	22	19	37	17	19	14	5	29	36	28	34	52	44	29	101	115	68	33	38	13	13	32	7	9	49	42	42	20	25	67	6	42	58	42	28	22	6	20	51	61	23	23	8	12	16	12	29	153	22	22	332	1	26	20	61	91	135	302	323					
6	Число погашенных избирательных бюллетеней	48662	483	597	1134	1171	783	1085	1240	913	994	668	1092	728	1117	925	413	813	1259	1013	770	655	406	555	817	522	102	117	619	531	626	180	554	570	1004	1017	92	39	195	189	172	362	199	1048	860	876	81	274	1010	867	665	414	1064	52	788	71	1042	966	855	988	1316	517	248	975	1040	223	1475	691	851	892	140	843	632	177					
7	Число избирательных бюллетеней в переносных ящиках	3221	10	26	30	18	28	13	7	20	11	4	7	18	23	22	19	37	17	19	14	5	29	36	28	34	52	44	29	101	115	68	33	38	13	13	32	7	9	49	42	42	20	25	67	6	42	58	42	28	22	6	20	51	61	23	23	8	12	16	12	29	153	22	22	332	1	26	20	61	91	135	302	323					
8	Число бюллетеней в стационарных ящиках для голосования	64156	577	878	1324	1270	928	1102	1473	977	1015	868	1391	1284	980	1063	478	810	1483	928	896	775	425	459	865	814	196	259	772	778	899	232	793	792	1303	1648	126	54	276	292	196	696	351	1587	1563	1575	167	438	1158	1235	1071	790	1506	127	1161	86	1265	1236	1323	1726	1409	702	149	1333	1198	1645	1464	973	1109	1177	369	1122	766	0					
9	Число недействительных избирательных бюллетеней	749	20	8	9	17	18	15	20	12	12	10	13	10	8	29	8	14	14	12	3	3	7	5	4	7	0	2	7	9	18	3	8	7	22	20	4	0	6	4	5	4	8	10	10	23	0	8	20	13	3	4	16	13	19	1	14	8	24	20	19	2	0	16	6	5	7	18	13	16	3	19	12	2					
10	Число действительных избирательных бюллетеней	66628	567	896	1345	1271	938	1100	1460	985	1014	862	1385	1292	995	1056	489	833	1486	935	907	777	447	490	889	841	248	301	794	870	996	297	818	823	1294	1641	154	61	279	337	233	734	363	1602	1620	1558	209	488	1180	1250	1090	792	1510	165	1203	108	1274	1236	1311	1722	1402	729	302	1339	1214	1972	1458	981	1116	1222	457	1238	1056	321					
