Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Бузулукская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356					
1	"Число избирателей, внесенных в список"	25261	532	384	477	121	140	767	68	243	130	946	510	561	380	136	184	1547	1687	145	383	104	460	518	118	561	589	103	140	998	363	304	330	1322	361	721	216	551	614	549	531	946	158	386	412	596	1620	1389	622	168	170					
2	Число полученных избирательных бюллетеней	25347	535	384	485	125	141	770	70	291	125	945	518	566	378	124	187	1561	1687	155	380	105	463	518	120	560	599	105	141	990	364	304	331	1337	364	686	210	555	618	552	544	947	157	383	412	599	1612	1378	633	161	172					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15766	442	94	299	68	97	505	46	215	82	583	365	404	251	86	141	752	790	100	216	96	289	392	99	356	349	68	91	634	281	199	270	893	225	489	109	304	404	386	413	434	123	293	286	359	928	657	498	140	165					
5	"Число избирательных бюллетеней, выданных вне помещения"	2557	28	225	91	24	18	79	17	28	25	94	87	62	49	23	16	137	139	9	92	0	38	22	14	105	87	16	29	6	1	12	26	92	31	34	47	78	27	48	31	170	5	28	40	97	91	106	25	8	0					
6	Число погашенных избирательных бюллетеней	7024	65	65	95	33	26	186	7	48	18	268	66	100	78	15	30	672	758	46	72	9	136	104	7	99	163	21	21	350	82	93	35	352	108	163	54	173	187	118	100	343	29	62	86	143	593	615	110	13	7					
7	Число избирательных бюллетеней в переносных ящиках	2557	28	225	91	24	18	79	17	28	25	94	87	62	49	23	16	137	139	9	92	0	38	22	14	105	87	16	29	6	1	12	26	92	31	34	47	78	27	48	31	170	5	28	40	97	91	106	25	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	15766	442	94	299	68	97	505	46	215	82	583	365	404	251	86	141	752	790	100	216	96	289	392	99	356	349	68	91	634	281	199	270	893	225	489	109	304	404	386	413	434	123	293	286	359	928	657	498	140	165					
9	Число недействительных избирательных бюллетеней	195	5	3	4	6	2	6	0	4	1	5	4	3	9	0	2	3	6	3	5	0	4	8	1	4	3	1	2	7	5	2	4	16	3	4	2	4	6	4	7	6	1	4	4	0	8	8	3	2	1					
10	Число действительных избирательных бюллетеней	18128	465	316	386	86	113	578	63	239	106	672	448	463	291	109	155	886	923	106	303	96	323	406	112	457	433	83	118	633	277	209	292	969	253	519	154	378	425	430	437	598	127	317	322	456	1011	755	520	146	164					
