Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Василеостровская № 2																																																																																															
																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																															
																																																																																															
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №1801	УИК №1802	УИК №1803					
1	"Число избирателей, внесенных в списки"	162871	2273	2604	2232	2220	2275	2365	2122	2235	2106	2111	2026	2030	2138	2293	2144	1263	1525	2474	2511	2134	2207	2069	2055	2290	2190	2082	2022	2122	2105	2518	2492	2631	2099	2070	1709	1463	1535	2089	1804	2127	2298	2258	1415	1848	2321	2176	2746	2715	2886	2247	2578	2530	1337	2232	2159	2973	2448	2237	2029	1566	2200	2267	2381	1154	1302	2305	2216	2132	2367	1860	2513	2502	2363	2388	2717	19	17	17	34	26	40	12	47	19	14	11	166	23					
2	"Число бюллетеней, полученных участковыми комиссиями"	158808	2200	2500	2200	2200	2200	2300	2100	2200	2100	2100	2000	2000	2100	2100	2000	1200	1400	2400	2400	2100	2100	2000	2000	2300	2200	2000	2000	2100	2100	2500	2500	2600	2000	1900	1700	1400	1500	2000	1700	2100	2300	2200	1400	1800	2300	2100	2700	2700	2800	2200	2500	2500	1300	2200	2000	2800	2400	2200	2000	1500	2200	2200	2300	1100	1200	2300	2200	2100	2300	1800	2500	2400	2300	2300	2700	20	25	20	40	60	40	12	54	19	14	15	166	23					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	12	42	19	14	11	139	23					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	67741	804	1268	875	754	781	895	747	661	750	859	703	928	1067	621	797	323	530	994	991	820	886	801	711	786	773	817	696	713	700	1070	967	1038	926	1017	716	608	613	1007	878	911	1042	1026	657	805	788	1080	1364	1248	1065	1067	1264	1130	587	990	960	1180	1136	1024	977	771	1095	1140	1137	491	537	1110	986	1052	1096	842	1094	909	1143	1075	977	10	17	13	28	26	0	0	0	0	0	0	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1362	24	27	11	6	28	18	13	26	25	27	37	18	19	7	29	15	11	9	17	16	9	14	15	12	9	14	6	8	13	21	18	9	14	10	12	20	10	23	13	15	28	28	23	13	15	24	31	15	6	24	31	13	8	9	17	21	29	21	19	20	26	23	18	2	4	14	19	10	21	20	20	29	40	42	31	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	89406	1372	1205	1314	1440	1391	1387	1340	1513	1325	1214	1260	1054	1014	1472	1174	862	859	1397	1392	1264	1205	1185	1274	1502	1418	1169	1298	1379	1387	1409	1515	1553	1060	873	972	772	877	970	809	1174	1230	1146	720	982	1497	996	1305	1437	1729	1109	1205	1357	705	1201	1023	1599	1235	1155	1004	709	1079	1037	1145	607	659	1176	1195	1038	1183	938	1386	1462	1117	1183	1692	10	8	7	12	34	1	0	12	0	0	4	27	0					
7	Число бюллетеней в переносных ящиках для голосования	1362	24	27	11	6	28	18	13	26	25	27	37	18	19	7	29	15	11	9	17	16	9	14	15	12	9	14	6	8	13	21	18	9	14	10	12	20	10	23	13	15	28	28	23	13	15	24	31	15	6	24	31	13	8	9	17	21	29	21	19	20	26	23	18	2	4	14	19	10	21	20	20	29	40	42	31	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	67925	798	1268	873	754	781	895	746	661	750	858	703	928	1067	615	786	323	530	994	989	819	877	800	711	786	772	815	696	713	700	1070	967	1036	922	1017	715	608	611	1005	876	905	1037	1026	657	805	787	1079	1338	1247	1063	1067	1261	1127	587	990	959	1177	1134	1024	977	771	1095	1140	1137	491	537	1108	986	1052	1096	842	1093	909	1142	1075	977	10	17	13	28	26	39	12	42	19	14	11	138	23					
9	Число недействительных бюллетеней	422	8	11	3	8	4	0	2	5	2	8	6	8	18	5	5	0	2	3	9	5	6	4	6	5	4	1	6	3	6	4	4	3	9	7	4	5	3	7	2	9	13	6	4	4	14	5	6	4	13	5	12	5	6	7	3	3	3	11	2	5	11	7	5	3	1	3	3	3	4	6	6	1	3	15	7	0	0	0	0	0	0	0	0	0	0	0	3	0					
10	Число действительных бюллетеней	68865	814	1284	881	752	805	913	757	682	773	877	734	938	1068	617	810	338	539	1000	997	830	880	810	720	793	777	828	696	718	707	1087	981	1042	927	1020	723	623	618	1021	887	911	1052	1048	676	814	788	1098	1363	1258	1056	1086	1280	1135	589	992	973	1195	1160	1034	994	786	1110	1156	1150	490	540	1119	1002	1059	1113	856	1107	937	1179	1102	1001	10	17	13	28	26	39	12	42	19	14	11	135	23					
