Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																							
Дата голосования: 02.12.2007																																																																																																																							
																																																																																																																							
Наименование Избирательной комиссии:    Всеволожская																																																																																																																							
																																																																																																																							
Сводная таблица результатов выборов																																																																																																																							
																																																																																																																							
		Сумма	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242					
1	"Число избирателей, внесенных в списки избирателей"	175825	1717	1848	2285	2192	2307	2333	2182	2214	1865	2004	1425	1057	1467	2211	1982	2071	1855	1892	1912	1239	2778	2469	716	1448	1724	1757	1163	1260	1283	439	365	422	533	743	1878	1658	1701	2114	1549	1585	1372	1506	473	2466	2211	2473	1280	1476	981	621	1783	1180	643	1552	1518	1919	2412	957	990	559	1818	1381	2629	2324	2192	2174	2108	794	327	1455	1444	1450	2004	2126	936	770	1403	1642	736	1146	1456	1617	1689	1186	1300	1555	564	1270	870	1864	935	1073	967	1314	1536	278	676	1189	1165	2385	1974	2590	2502	1991	2996	2320	2564	1949	1360	2523	2718	575					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	165430	1600	1700	2100	2100	2200	2300	2100	2100	1800	1900	1300	750	1300	1900	1900	2000	1700	1700	1800	1100	2600	2400	700	1400	1700	1600	1100	1200	1200	400	350	400	500	850	1800	1650	1700	2100	1550	1500	1300	1450	400	2300	2100	2200	1200	1400	950	600	1600	1100	600	1500	1400	1800	2300	900	900	500	1700	1300	2600	2200	2100	2100	2050	800	300	1400	1300	1400	1900	2000	800	800	1300	1300	700	1100	1400	1600	1600	1000	1250	1500	550	1250	850	1800	900	1000	800	1200	1500	275	600	1100	1100	2000	1800	2500	2400	1900	2700	2200	2455	1800	1200	2400	2550	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	89866	770	896	1138	1060	1166	1173	1070	1182	996	1076	686	577	729	898	1028	1071	720	862	878	534	1577	1261	272	709	938	965	669	549	623	155	133	218	207	501	987	893	883	1085	792	917	668	820	145	1100	1009	1078	556	717	485	254	808	608	274	703	793	877	1147	456	413	265	979	758	1268	1146	1102	1124	1283	411	172	758	711	814	1099	1216	337	679	636	867	373	534	787	885	892	530	800	692	252	772	819	935	404	513	460	673	813	237	372	549	543	1398	1104	1412	1622	1129	1516	1416	1292	1075	720	1300	1327	340					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2579	25	23	19	33	20	11	16	9	13	11	1	120	7	30	21	28	24	63	34	30	3	17	49	45	13	21	9	35	9	60	20	0	33	1	28	37	34	31	34	67	46	54	3	17	19	106	34	20	28	12	10	10	4	7	4	28	22	22	15	20	7	19	26	12	8	23	14	24	2	14	89	23	35	17	101	14	17	26	11	51	27	18	13	39	14	13	8	8	11	16	2	48	18	15	5	0	22	4	40	31	14	9	6	5	16	21	3	7	30	7	7	4					
6	Число погашенных избирательных бюллетеней	72985	805	781	943	1007	1014	1116	1014	909	791	813	613	53	564	972	851	901	956	775	888	536	1020	1122	379	646	749	614	422	616	568	185	197	182	260	348	785	720	783	984	724	516	586	576	252	1183	1072	1016	610	663	437	334	782	482	322	790	603	895	1131	422	472	215	714	523	1306	1042	990	953	753	365	126	628	500	563	766	767	362	107	647	407	316	515	586	697	695	431	436	795	290	470	20	849	494	439	322	512	682	38	206	547	517	571	682	1079	772	766	1168	763	1160	718	450	1093	1216	206					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2579	25	23	19	33	20	11	16	9	13	11	1	120	7	30	21	28	24	63	34	30	3	17	49	45	13	21	9	35	9	60	20	0	33	1	28	37	34	31	34	67	46	54	3	17	19	106	34	20	28	12	10	10	4	7	4	28	22	22	15	20	7	19	26	12	8	23	14	24	2	14	89	23	35	17	101	14	17	26	11	51	27	18	13	39	14	13	8	8	11	16	2	48	18	15	5	0	22	4	40	31	14	9	6	5	16	21	3	7	30	7	7	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	89810	770	896	1138	1060	1164	1172	1070	1182	996	1074	685	576	729	898	1028	1069	720	860	878	534	1573	1261	272	709	934	965	669	549	623	155	133	218	207	501	987	893	881	1085	792	917	668	820	145	1100	1009	1078	556	717	485	253	807	608	274	703	791	877	1146	455	413	265	978	758	1267	1143	1101	1124	1283	411	172	744	711	814	1098	1214	337	679	636	867	373	534	787	885	892	526	800	691	252	772	819	935	404	513	460	673	813	237	372	549	543	1398	1104	1412	1622	1129	1516	1416	1292	1075	720	1299	1327	340					
9	Число недействительных избирательных бюллетеней	805	7	5	11	8	17	11	2	13	14	6	7	3	6	8	12	9	13	14	9	2	19	15	2	2	4	5	6	5	3	2	1	4	3	4	11	4	9	7	10	0	4	8	3	10	8	12	5	8	4	2	6	4	3	5	2	6	13	5	2	2	8	4	13	11	9	8	16	1	1	11	11	7	14	7	3	6	3	9	0	1	9	15	8	7	6	9	2	11	6	3	2	3	1	8	6	4	0	6	7	10	10	15	18	13	13	15	13	8	6	11	8	4					
10	Число действительных избирательных бюллетеней	91584	788	914	1146	1085	1167	1172	1084	1178	995	1079	679	693	730	920	1037	1088	731	909	903	562	1557	1263	319	752	943	981	672	579	629	213	152	214	237	498	1004	926	906	1109	816	984	710	866	145	1107	1020	1172	585	729	509	263	811	614	275	705	793	899	1155	472	426	283	977	773	1280	1144	1100	1139	1281	434	173	747	789	830	1119	1224	435	687	650	884	384	584	805	888	897	558	808	695	258	769	824	948	404	558	477	680	812	233	394	547	576	1419	1108	1406	1610	1121	1519	1422	1282	1074	744	1295	1326	340					
