Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Чудовская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18232	620	161	487	1102	433	177	470	236	206	446	453	1286	2233	2399	2012	1017	1813	1304	1377									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14790	600	150	400	900	350	150	400	200	170	400	400	1020	1700	1950	1600	850	1400	1050	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5715	260	33	101	384	129	62	157	88	63	80	234	224	755	833	734	249	457	452	420									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	544	29	33	80	20	56	15	14	37	13	62	17	49	10	12	31	16	20	9	21									
6	Число погашенных избирательных бюллетеней	8531	311	84	219	496	165	73	229	75	94	258	149	747	935	1105	835	585	923	589	659									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	544	29	33	80	20	56	15	14	37	13	62	17	49	10	12	31	16	20	9	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5715	260	33	101	384	129	62	157	88	63	80	234	224	755	833	734	249	457	452	420									
9	Число недействительных избирательных бюллетеней	201	5	1	4	14	6	2	9	3	4	1	16	14	29	23	27	4	18	8	13									
10	Число действительных избирательных бюллетеней	6058	284	65	177	390	179	75	162	122	72	141	235	259	736	822	738	261	459	453	428									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	457	100	25	20	20	30	12	15	20	15	30	35	15	20	20	20	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	322	96	19	4	10	8	12	15	12	0	30	35	2	9	17	17	8	3	13	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	120	8	3	7	6	9	3	1	6	1	4	6	6	11	14	14	3	2	5	11									
14	Число погашенных неиспользованных открепительных удостоверений	135	4	6	16	10	22	0	0	8	15	0	0	13	11	3	3	7	12	2	3									
