Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Район Перово																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  3092	УИК  3093	УИК  3094	УИК  3095					
1	"Число избирателей, внесенных в списки"	84352	2794	2920	2829	2737	2990	2739	2313	1969	1958	1620	2147	2072	2161	1510	1986	1383	2373	2183	2119	2477	2404	2424	2439	2489	2527	2311	1989	2108	2438	2483	1806	2651	2451	1991	3022	2855	6	455	146	77					
2	"Число бюллетеней, полученных участковыми комиссиями"	81200	2700	2800	2600	2600	2800	2500	2100	1900	1900	1600	2100	2000	2100	1450	1900	1300	2300	2100	2000	2400	2300	2300	2300	2400	2500	2300	1900	2000	2300	2400	1700	2500	2400	1900	2800	2700	70	700	495	85					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	46022	1394	1465	1509	1523	1607	1514	1450	1075	991	781	1164	1122	1142	812	1084	818	1405	1012	1077	1448	1255	1521	1310	1449	1366	1192	1063	1153	1298	1387	1015	1471	1416	1075	1582	1513	6	345	135	77					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1040	47	49	34	33	30	24	16	16	29	29	13	7	33	22	15	22	18	21	26	30	33	33	74	40	28	32	29	35	29	30	24	28	35	24	16	36	0	0	0	0					
6	Число погашенных бюллетеней	34138	1259	1286	1057	1044	1163	962	634	809	880	790	923	871	925	616	801	460	877	1067	897	922	1012	746	916	911	1106	1076	808	812	973	983	661	1001	949	801	1202	1151	64	355	360	8					
7	Число бюллетеней в переносных ящиках для голосования	1040	47	49	34	33	30	24	16	16	29	29	13	7	33	22	15	22	18	21	26	30	33	33	74	40	28	32	29	35	29	30	24	28	35	24	16	36	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	45812	1394	1444	1509	1516	1599	1514	1441	1075	986	781	1164	1122	1142	812	1084	818	1398	1012	1077	1436	1248	1517	1276	1449	1366	1142	1063	1153	1296	1387	999	1466	1413	1073	1582	1496	6	345	134	77					
9	Число недействительных бюллетеней	537	10	2	11	10	19	23	7	13	10	13	23	14	43	1	11	6	33	6	14	16	16	7	6	0	12	14	49	15	26	19	11	9	14	15	10	12	0	14	3	0					
10	Число действительных бюллетеней	46315	1431	1491	1532	1539	1610	1515	1450	1078	1005	797	1154	1115	1132	833	1088	834	1383	1027	1089	1450	1265	1543	1344	1489	1382	1160	1043	1173	1299	1398	1012	1485	1434	1082	1588	1520	6	331	131	77					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2293	75	75	74	70	75	70	65	49	49	49	59	60	60	49	55	49	60	60	60	70	70	70	60	70	70	65	55	60	60	70	55	70	70	65	80	70	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	803	17	24	24	32	36	24	20	13	17	14	16	21	18	17	31	14	22	21	10	24	24	36	19	20	31	19	19	20	25	10	18	34	24	23	35	31	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	553	14	15	0	10	16	8	20	7	2	4	15	7	2	14	11	19	6	11	12	9	12	21	17	12	14	15	9	11	5	17	20	10	6	4	11	31	6	68	54	8					
14	Число погашенных открепительных удостоверений	1484	58	51	50	32	39	46	45	36	32	35	43	39	42	32	24	35	38	39	50	46	46	34	41	50	39	46	36	40	35	60	37	36	46	42	45	39	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	7	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	327	10	9	8	10	13	9	5	9	9	6	13	6	9	8	11	6	6	3	7	7	7	18	9	12	11	8	7	9	10	15	5	7	11	3	10	14	0	5	2	0					
		0.69%	0.69%	0.60%	0.51%	0.64%	0.79%	0.58%	0.34%	0.82%	0.88%	0.74%	1.10%	0.53%	0.76%	0.95%	1.00%	0.71%	0.42%	0.29%	0.63%	0.47%	0.54%	1.16%	0.66%	0.80%	0.78%	0.68%	0.64%	0.75%	0.75%	1.05%	0.48%	0.46%	0.75%	0.27%	0.62%	0.91%	0.0%	1.44%	1.49%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2906	72	66	71	65	105	94	128	82	70	50	69	79	71	59	72	48	88	69	58	91	73	113	123	113	83	92	53	59	84	79	92	123	104	47	85	64	1	6	3	2					
