Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Меленковская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29201	719	840	1613	832	878	1566	803	1564	1595	821	738	797	298	236	525	235	1276	253	774	502	262	259	253	503	591	176	787	404	355	204	952	308	834	235	226	454	225	215	269	308	274	327	681	637	595	277	300	348	533	544									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26220	650	750	1500	750	800	1500	700	1500	1500	750	600	700	250	200	450	200	1100	220	700	450	220	220	200	450	520	160	750	350	300	180	850	250	750	200	200	400	200	200	250	250	250	300	650	600	550	250	250	300	450	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11820	240	288	661	313	311	524	272	507	625	286	228	315	183	135	320	124	490	124	302	160	100	99	122	155	306	79	273	179	190	115	429	93	410	80	80	246	88	92	163	132	63	160	284	350	223	94	153	184	217	253									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3273	29	29	34	32	39	92	24	47	48	41	32	45	52	38	40	43	236	67	83	76	35	46	30	157	108	50	123	107	30	21	107	53	72	59	55	66	48	31	60	29	92	58	84	51	138	61	67	55	146	107									
6	Число погашенных избирательных бюллетеней	11127	381	433	805	405	450	884	404	946	827	423	340	340	15	27	90	33	374	29	315	214	85	75	48	138	106	31	354	64	80	44	314	104	268	61	65	88	64	77	27	89	95	82	282	199	189	95	30	61	87	90									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3273	29	29	34	32	39	92	24	47	48	41	32	45	52	38	40	43	236	67	83	76	35	46	30	157	108	50	123	107	30	21	107	53	72	59	55	66	48	31	60	29	92	58	84	51	138	61	67	55	146	107									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11820	240	288	661	313	311	524	272	507	625	286	228	315	183	135	320	124	490	124	302	160	100	99	122	155	306	79	273	179	190	115	429	93	410	80	80	246	88	92	163	132	63	160	284	350	223	94	153	184	217	253									
9	Число недействительных избирательных бюллетеней	303	8	4	17	6	10	25	8	11	15	3	6	12	3	3	5	3	15	0	6	0	7	6	13	6	6	1	4	5	3	0	12	2	17	4	0	5	1	1	6	7	2	2	4	10	0	3	5	0	10	1									
10	Число действительных избирательных бюллетеней	14790	261	313	678	339	340	591	288	543	658	324	254	348	232	170	355	164	711	191	379	236	128	139	139	306	408	128	392	281	217	136	524	144	465	135	135	307	135	122	217	154	153	216	364	391	361	152	215	239	353	359									
