Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Благовещенская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19818	1535	314	838	1336	412	421	190	111	740	139	81	141	2738	1729	635	822	1072	552	262	1093	153	860	590	215	137	114	247	2341									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18712	1500	300	750	1380	412	400	180	100	700	140	80	120	2500	1660	600	750	1000	500	250	1050	150	850	580	200	120	100	240	2100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7214	464	69	310	463	236	169	87	56	286	37	34	50	857	586	238	297	326	305	178	383	62	300	216	71	51	47	131	905									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	459	15	4	5	37	97	14	0	4	20	5	0	7	14	4	5	14	12	20	9	37	8	46	16	18	8	0	7	33									
6	Число погашенных избирательных бюллетеней	11039	1021	227	435	880	79	217	93	40	394	98	46	63	1629	1070	357	439	662	175	63	630	80	504	348	111	61	53	102	1162									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	459	15	4	5	37	97	14	0	4	20	5	0	7	14	4	5	14	12	20	9	37	8	46	16	18	8	0	7	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7209	464	69	310	463	236	169	87	56	286	37	34	50	857	586	238	295	326	305	178	383	62	300	216	71	51	47	131	902									
9	Число недействительных избирательных бюллетеней	230	12	0	7	3	71	3	3	0	5	0	1	1	15	9	3	18	6	8	2	13	2	19	4	2	2	1	1	19									
10	Число действительных избирательных бюллетеней	7438	467	73	308	497	262	180	84	60	301	42	33	56	856	581	240	291	332	317	185	407	68	327	228	87	57	46	137	916									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	380	20	10	10	20	0	10	10	10	10	10	10	10	30	20	10	10	30	10	10	30	10	10	10	10	10	10	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	98	9	0	4	4	0	3	3	0	6	0	0	2	11	15	1	3	1	7	0	0	0	6	2	7	2	0	2	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	204	8	1	13	5	0	4	3	5	1	0	1	3	7	33	4	20	14	36	0	6	0	6	2	3	0	4	4	21									
14	Число погашенных неиспользованных открепительных удостоверений	282	11	10	6	16	0	7	7	10	4	10	10	8	19	5	9	7	29	3	10	30	10	4	8	3	8	10	8	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	128	1	1	4	7	33	2	3	1	5	0	0	0	16	13	6	4	3	1	0	7	0	1	0	0	0	0	1	19									
		1.67%	0.21%	1.37%	1.27%	1.40%	9.91%	1.09%	3.45%	1.67%	1.63%	0.00%	0.00%	0.00%	1.84%	2.20%	2.47%	1.29%	0.89%	0.31%	0.00%	1.67%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.72%	2.03%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	183	9	0	7	11	11	4	3	1	15	1	1	2	19	10	6	7	7	6	1	12	6	11	3	0	0	0	0	30									
		2.39%	1.88%	0.00%	2.22%	2.20%	3.30%	2.19%	3.45%	1.67%	4.90%	2.38%	2.94%	3.51%	2.18%	1.69%	2.47%	2.27%	2.07%	1.85%	0.53%	2.86%	8.57%	3.18%	1.29%	0.00%	0.00%	0.00%	0.00%	3.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	155	6	2	11	10	7	0	2	1	10	0	1	0	16	12	7	9	11	5	2	5	2	6	6	2	1	2	2	17									
		2.02%	1.25%	2.74%	3.49%	2.00%	2.10%	0.00%	2.30%	1.67%	3.27%	0.00%	2.94%	0.00%	1.84%	2.03%	2.88%	2.91%	3.25%	1.54%	1.07%	1.19%	2.86%	1.73%	2.59%	2.25%	1.69%	4.26%	1.45%	1.82%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3084	208	34	72	202	105	94	40	23	119	24	11	15	299	191	116	120	156	213	133	205	41	125	89	40	15	18	62	314									
		40.22%	43.42%	46.58%	22.86%	40.40%	31.53%	51.37%	45.98%	38.33%	38.89%	57.14%	32.35%	26.32%	34.33%	32.37%	47.74%	38.83%	46.15%	65.54%	71.12%	48.81%	58.57%	36.13%	38.36%	44.94%	25.42%	38.30%	44.93%	33.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	65	3	1	4	1	9	2	1	0	2	0	0	0	10	10	3	1	2	3	0	2	0	2	1	0	1	1	0	6									
		0.85%	0.63%	1.37%	1.27%	0.20%	2.70%	1.09%	1.15%	0.00%	0.65%	0.00%	0.00%	0.00%	1.15%	1.69%	1.23%	0.32%	0.59%	0.92%	0.00%	0.48%	0.00%	0.58%	0.43%	0.00%	1.69%	2.13%	0.00%	0.64%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	0	0	1	1	5	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2									
		0.16%	0.00%	0.00%	0.32%	0.20%	1.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.17%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2113	123	23	106	151	56	51	24	21	69	6	1	20	266	181	70	79	88	56	17	97	11	135	71	30	9	19	35	298									
		27.56%	25.68%	31.51%	33.65%	30.20%	16.82%	27.87%	27.59%	35.00%	22.55%	14.29%	2.94%	35.09%	30.54%	30.68%	28.81%	25.57%	26.04%	17.23%	9.09%	23.10%	15.71%	39.02%	30.60%	33.71%	15.25%	40.43%	25.36%	31.87%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	36	0	0	6	0	5	1	0	0	1	0	2	0	3	8	0	1	0	0	0	0	0	1	1	2	1	0	0	4									
		0.47%	0.00%	0.00%	1.90%	0.00%	1.50%	0.55%	0.00%	0.00%	0.33%	0.00%	5.88%	0.00%	0.34%	1.36%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.43%	2.25%	1.69%	0.00%	0.00%	0.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	69	10	0	5	2	3	0	0	1	1	0	0	0	12	7	0	3	3	0	2	1	0	3	3	0	1	0	2	10									
		0.90%	2.09%	0.00%	1.59%	0.40%	0.90%	0.00%	0.00%	1.67%	0.33%	0.00%	0.00%	0.00%	1.38%	1.19%	0.00%	0.97%	0.89%	0.00%	1.07%	0.24%	0.00%	0.87%	1.29%	0.00%	1.69%	0.00%	1.45%	1.07%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	1	1	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0									
		0.13%	0.00%	0.00%	0.32%	0.20%	0.30%	0.00%	0.00%	1.67%	0.33%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	73	4	1	4	6	5	1	0	0	3	0	0	1	8	5	4	0	1	1	1	3	1	1	0	2	3	1	0	17									
		0.95%	0.84%	1.37%	1.27%	1.20%	1.50%	0.55%	0.00%	0.00%	0.98%	0.00%	0.00%	1.75%	0.92%	0.85%	1.65%	0.00%	0.30%	0.31%	0.53%	0.71%	1.43%	0.29%	0.00%	2.25%	5.08%	2.13%	0.00%	1.82%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1175	93	10	60	82	14	19	11	6	61	9	11	17	146	114	24	43	39	27	20	64	5	34	48	11	20	4	22	161									
		15.32%	19.42%	13.70%	19.05%	16.40%	4.20%	10.38%	12.64%	10.00%	19.93%	21.43%	32.35%	29.82%	16.76%	19.32%	9.88%	13.92%	11.54%	8.31%	10.70%	15.24%	7.14%	9.83%	20.69%	12.36%	33.90%	8.51%	15.94%	17.22%									
