Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Думиничская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129					
1	"Число избирателей, внесенных в список"	12001	2226	2810	721	463	757	173	132	282	147	226	203	1242	262	473	601	239	224	219	601					
2	Число полученных избирательных бюллетеней	11790	2150	2750	700	470	750	170	130	280	140	220	200	1230	270	460	600	230	220	220	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6022	1021	1336	355	257	335	102	99	111	92	122	76	547	113	300	398	149	165	147	297					
5	"Число избирательных бюллетеней, выданных вне помещения"	1058	57	89	30	75	120	10	10	106	29	31	76	145	80	36	8	30	20	39	67					
6	Число погашенных избирательных бюллетеней	4710	1072	1325	315	138	295	58	21	63	19	67	48	538	77	124	194	51	35	34	236					
7	Число избирательных бюллетеней в переносных ящиках	1057	56	89	30	75	120	10	10	106	29	31	76	145	80	36	8	30	20	39	67					
8	Число бюллетеней в стационарных ящиках для голосования	6022	1021	1336	355	257	335	102	99	111	92	122	76	547	113	300	398	149	165	147	297					
9	Число недействительных избирательных бюллетеней	97	19	20	8	3	5	1	0	0	2	3	2	8	4	10	4	2	0	3	3					
10	Число действительных избирательных бюллетеней	6982	1058	1405	377	329	450	111	109	217	119	150	150	684	189	326	402	177	185	183	361					
11	Число полученных открепительных  удостоверений	200	25	42	12	5	10	5	5	6	5	5	5	30	10	10	5	5	5	5	5					
12	Число выданных открепительных удостоверений	110	16	32	6	4	5	2	0	2	0	2	1	22	7	1	0	5	0	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	3	4	3	1	4	3	1	2	1	6	1	5	1	3	2	2	3	5	4					
14	Число неиспользованных открепительных удостоверений	90	9	10	6	1	5	3	5	4	5	3	4	8	3	9	5	0	5	4	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	163	24	42	7	7	6	7	2	4	1	0	3	26	1	6	12	2	1	4	8					
		2.30%	2.23%	2.95%	1.82%	2.11%	1.32%	6.25%	1.83%	1.84%	0.83%	0.00%	1.97%	3.76%	0.52%	1.79%	2.96%	1.12%	0.54%	2.15%	2.20%					
19	. Малышкин Олег Александрович	125	28	29	7	2	6	1	3	5	2	4	0	17	3	6	7	0	2	0	3					
		1.77%	2.60%	2.04%	1.82%	0.60%	1.32%	0.89%	2.75%	2.30%	1.65%	2.61%	0.00%	2.46%	1.55%	1.79%	1.72%	0.00%	1.08%	0.00%	0.82%					
20	. Миронов Сергей Михайлович	68	12	13	1	3	3	0	1	0	0	1	3	6	9	6	3	2	1	2	2					
		0.96%	1.11%	0.91%	0.26%	0.90%	0.66%	0.00%	0.92%	0.00%	0.00%	0.65%	1.97%	0.87%	4.66%	1.79%	0.74%	1.12%	0.54%	1.08%	0.55%					
21	. Путин Владимир Владимирович	5157	797	942	284	232	344	87	57	181	95	99	119	492	169	222	323	154	150	148	262					
		72.85%	74.00%	66.11%	73.77%	69.88%	75.60%	77.68%	52.29%	83.41%	78.51%	64.71%	78.29%	71.10%	87.56%	66.07%	79.56%	86.03%	81.08%	79.57%	71.98%					
22	. Хакамада Ирина Муцуовна	90	14	27	3	1	8	3	3	3	2	1	0	9	0	2	8	2	0	1	3					
		1.27%	1.30%	1.89%	0.78%	0.30%	1.76%	2.68%	2.75%	1.38%	1.65%	0.65%	0.00%	1.30%	0.00%	0.60%	1.97%	1.12%	0.00%	0.54%	0.82%					
23	. Харитонов Николай Михайлович	1229	158	302	65	78	72	12	43	16	19	41	23	122	5	82	45	12	30	25	79					
		17.36%	14.67%	21.19%	16.88%	23.49%	15.82%	10.71%	39.45%	7.37%	15.70%	26.80%	15.13%	17.63%	2.59%	24.40%	11.08%	6.70%	16.22%	13.44%	21.70%					
																										
24	Против всех	150	25	50	10	6	11	1	0	8	0	4	2	12	2	2	4	5	1	3	4					
		2.12%	2.32%	3.51%	2.60%	1.81%	2.42%	0.89%	0.00%	3.69%	0.00%	2.61%	1.32%	1.73%	1.04%	0.60%	0.99%	2.79%	0.54%	1.61%	1.10%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
