Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Курагинская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560					
1	"Число избирателей, внесенных в список избирателей"	37095	461	238	659	289	103	579	364	317	688	409	671	1622	1370	1524	1845	1481	2005	590	953	124	1933	1756	165	532	308	137	267	84	71	528	118	256	73	889	562	808	160	285	216	658	505	336	435	1086	1112	726	1290	1388	1720	1890	94	220	195					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36761	463	235	644	280	102	577	363	313	711	411	675	1613	1296	1504	1837	1470	1989	588	958	125	1936	1789	167	522	313	135	265	86	70	530	117	245	63	889	558	787	156	284	226	663	506	316	416	1030	1109	686	1270	1405	1700	1860	92	221	195					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17113	252	120	370	159	60	335	193	155	296	196	280	677	567	603	793	561	766	275	525	65	940	920	101	304	141	71	143	49	41	275	71	122	36	445	271	421	114	179	124	318	249	199	221	442	514	294	489	529	763	834	32	102	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1122	22	17	15	29	2	13	11	14	56	6	7	33	101	40	33	49	35	35	43	9	32	36	6	5	9	0	4	0	0	17	0	21	12	30	9	22	3	8	8	5	10	11	3	26	62	85	59	8	17	22	5	17	0					
6	Число погашенных избирательных бюллетеней	18441	189	98	259	92	40	229	159	144	359	209	388	903	628	861	1011	860	1188	278	390	51	964	833	60	213	163	64	118	37	29	238	46	102	15	414	278	344	39	97	94	340	247	106	192	477	533	307	722	868	920	1004	55	102	84					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1207	22	17	15	29	2	13	11	14	56	6	7	33	101	40	33	49	35	35	43	9	32	36	6	5	9	0	4	0	0	17	0	21	12	30	9	22	3	8	8	5	10	11	3	111	62	85	59	8	17	22	5	17	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17110	252	120	370	159	60	335	193	155	296	196	280	677	567	603	793	561	766	275	525	65	940	920	101	304	141	71	141	49	41	275	71	122	36	445	271	421	114	179	124	318	249	199	221	441	514	294	489	529	763	834	32	102	111					
9	Число недействительных избирательных бюллетеней	722	4	1	14	2	2	2	4	2	0	8	4	8	14	15	10	11	13	3	13	2	15	13	1	2	2	0	4	3	0	8	2	2	0	32	26	40	9	11	14	51	34	44	60	166	11	0	5	7	12	11	1	2	2					
10	Число действительных избирательных бюллетеней	17595	270	136	371	186	60	346	200	167	352	194	283	702	654	628	816	599	788	307	555	72	957	943	106	307	148	71	141	46	41	284	69	141	48	443	254	403	108	176	118	272	225	166	164	386	565	379	543	530	768	845	36	117	109					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	10	4	10	5	4	10	5	5	10	5	10	20	20	20	20	20	20	10	10	4	30	30	4	8	5	4	4	3	3	8	4	4	4	10	10	10	4	5	4	10	10	5	5	20	10	10	15	15	30	30	4	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	157	2	0	1	1	0	1	0	3	6	2	5	17	10	9	16	8	9	6	2	0	7	5	0	2	1	1	0	0	0	1	0	0	0	2	1	0	2	0	2	0	3	0	5	1	2	0	0	2	8	11	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	129	0	0	2	2	1	1	1	1	3	1	2	2	5	12	6	2	2	2	2	1	5	9	1	2	1	1	1	1	1	3	1	2	10	4	0	3	2	1	0	1	2	1	2	1	1	6	2	3	2	4	2	0	6					
14	Число погашенных неиспользованных открепительных удостоверений	393	8	4	9	4	4	9	5	2	4	3	5	3	10	11	4	12	11	4	8	4	23	25	4	6	4	3	4	3	3	7	4	4	4	8	9	10	2	5	2	10	7	5	0	19	8	10	15	13	22	19	4	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2115	25	9	35	5	5	27	16	24	42	19	29	78	87	87	130	72	95	44	42	6	160	128	4	23	16	10	8	5	3	29	11	16	5	59	14	56	9	13	13	18	26	15	14	37	65	56	63	85	119	130	2	10	16					
		11.55%	9.12%	6.57%	9.09%	2.66%	8.06%	7.76%	7.84%	14.20%	11.93%	9.41%	10.10%	10.99%	13.02%	13.53%	15.74%	11.80%	11.86%	14.19%	7.39%	8.11%	16.46%	13.39%	3.74%	7.44%	10.67%	14.08%	5.52%	10.20%	7.32%	9.93%	15.49%	11.19%	10.42%	12.42%	5.00%	12.64%	7.69%	6.95%	9.85%	5.57%	10.04%	7.14%	6.25%	6.70%	11.28%	14.78%	11.50%	15.83%	15.26%	15.19%	5.41%	8.40%	14.41%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3182	39	20	54	49	10	59	49	41	72	60	53	174	133	124	146	109	193	50	62	12	161	181	18	55	36	10	27	11	6	44	25	27	10	64	33	83	10	25	15	67	21	9	15	38	90	51	96	90	144	174	12	13	12					
		17.37%	14.23%	14.60%	14.03%	26.06%	16.13%	16.95%	24.02%	24.26%	20.45%	29.70%	18.47%	24.51%	19.91%	19.28%	17.68%	17.87%	24.09%	16.13%	10.92%	16.22%	16.56%	18.93%	16.82%	17.80%	24.00%	14.08%	18.62%	22.45%	14.63%	15.07%	35.21%	18.88%	20.83%	13.47%	11.79%	18.74%	8.55%	13.37%	11.36%	20.74%	8.11%	4.29%	6.70%	6.88%	15.63%	13.46%	17.52%	16.76%	18.46%	20.33%	32.43%	10.92%	10.81%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	165	1	0	2	1	2	0	3	0	2	0	3	10	12	5	9	7	8	5	4	0	11	11	3	3	1	2	1	1	0	1	1	2	2	4	1	3	2	0	2	0	0	1	4	3	4	3	5	5	5	8	0	0	2					
		0.90%	0.36%	0.00%	0.52%	0.53%	3.23%	0.00%	1.47%	0.00%	0.57%	0.00%	1.05%	1.41%	1.80%	0.78%	1.09%	1.15%	0.99%	1.61%	0.70%	0.00%	1.13%	1.15%	2.80%	0.97%	0.67%	2.82%	0.69%	2.04%	0.00%	0.34%	1.41%	1.40%	4.17%	0.84%	0.36%	0.68%	1.71%	0.00%	1.52%	0.00%	0.00%	0.48%	1.79%	0.54%	0.69%	0.79%	0.91%	0.93%	0.64%	0.93%	0.00%	0.00%	1.80%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4277	68	26	117	42	8	93	34	27	112	33	74	161	148	145	207	154	202	94	204	8	264	276	33	58	17	20	55	10	9	95	9	46	4	121	42	72	25	29	13	40	40	32	9	71	151	84	129	128	181	201	1	37	18					
		23.35%	24.82%	18.98%	30.39%	22.34%	12.90%	26.72%	16.67%	15.98%	31.82%	16.34%	25.78%	22.68%	22.16%	22.55%	25.06%	25.25%	25.22%	30.32%	35.92%	10.81%	27.16%	28.87%	30.84%	18.77%	11.33%	28.17%	37.93%	20.41%	21.95%	32.53%	12.68%	32.17%	8.33%	25.47%	15.00%	16.25%	21.37%	15.51%	9.85%	12.38%	15.44%	15.24%	4.02%	12.86%	26.22%	22.16%	23.54%	23.84%	23.21%	23.48%	2.70%	31.09%	16.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	436	2	2	5	3	0	5	0	0	4	4	11	31	22	38	20	25	23	14	4	4	12	23	1	8	1	0	0	0	1	2	2	3	0	10	2	8	6	3	8	13	5	10	1	14	16	5	9	13	21	21	0	0	1					
		2.38%	0.73%	1.46%	1.30%	1.60%	0.00%	1.44%	0.00%	0.00%	1.14%	1.98%	3.83%	4.37%	3.29%	5.91%	2.42%	4.10%	2.87%	4.52%	0.70%	5.41%	1.23%	2.41%	0.93%	2.59%	0.67%	0.00%	0.00%	0.00%	2.44%	0.68%	2.82%	2.10%	0.00%	2.11%	0.71%	1.81%	5.13%	1.60%	6.06%	4.02%	1.93%	4.76%	0.45%	2.54%	2.78%	1.32%	1.64%	2.42%	2.69%	2.45%	0.00%	0.00%	0.90%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7263	130	78	156	85	33	162	96	75	119	77	110	242	247	223	298	229	254	96	236	41	337	318	46	159	76	27	49	19	21	112	21	44	27	181	160	178	56	102	67	131	131	97	118	219	234	177	237	204	292	299	21	56	60					
