Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Кочубеевская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645					
1	"Число избирателей, внесенных в списки"	58379	2568	2353	2095	2689	2103	2293	1817	1753	526	1808	2680	2555	1235	1243	355	2551	2245	222	550	341	209	848	141	236	1161	1180	1614	1948	1187	606	265	1714	1740	986	470	394	406	229	449	179	342	503	957	257	268	1645	675	2107	619	1062					
2	"Число бюллетеней, полученных участковыми комиссиями"	53625	2300	2120	1890	2430	1900	2060	1650	1570	1130	1630	2400	2300	1130	1130	320	2290	2010	200	500	300	270	780	130	215	1060	1060	1465	1760	1075	550	240	1540	1570	920	410	365	365	200	410	175	310	450	870	440	250	1475	610	1890	550	960					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	29453	1140	1156	1029	1242	1051	1158	961	938	513	813	1222	1232	817	551	197	1288	1132	133	329	239	196	477	107	141	607	486	728	890	613	222	116	767	826	472	216	202	264	116	274	89	181	300	436	237	127	810	331	1131	376	574					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1240	41	56	26	35	25	26	21	26	13	29	33	25	30	41	5	19	20	14	12	12	13	16	0	6	33	42	99	42	20	9	3	39	24	27	21	15	11	0	16	2	6	3	19	20	19	34	64	63	34	31					
6	Число погашенных бюллетеней	22932	1119	908	835	1153	824	876	668	606	604	788	1145	1043	283	538	118	983	858	53	159	49	61	287	23	68	420	532	638	828	442	319	121	734	720	421	173	148	90	84	120	84	123	147	415	183	104	631	215	696	140	355					
7	Число бюллетеней в переносных ящиках для голосования	1240	41	56	26	35	25	26	21	26	13	29	33	25	30	41	5	19	20	14	12	12	13	16	0	6	33	42	99	42	20	9	3	39	24	27	21	15	11	0	16	2	6	3	19	20	19	34	64	63	34	31					
8	Число бюллетеней в стационарных ящиках для голосования	29403	1140	1156	1029	1217	1045	1158	961	930	513	810	1222	1232	817	551	197	1288	1132	133	329	239	196	477	107	141	607	486	728	889	611	222	116	766	825	472	216	202	264	116	274	89	181	300	436	237	127	810	331	1130	376	572					
9	Число недействительных бюллетеней	721	15	15	17	21	12	25	27	13	20	21	42	25	18	25	10	29	34	5	10	7	8	13	1	4	11	27	18	16	7	4	9	10	23	10	10	3	14	0	3	12	10	2	19	13	8	27	7	22	8	11					
10	Число действительных бюллетеней	29922	1166	1197	1038	1231	1058	1159	955	943	506	818	1213	1232	829	567	192	1278	1118	142	331	244	201	480	106	143	629	501	809	915	624	227	110	795	826	489	227	214	261	116	287	79	177	301	436	244	138	817	388	1171	402	592					
