Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Троицкая																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, внесенных в списки избирателей"	22469	659	94	241	221	1091	249	480	122	79	207	164	98	417	434	160	68	913	470	1138	1544	579	197	895	130	287	386	816	220	463	1325	732	1051	104	451	141	197	101	966	207	204	103	188	893	81	161	218	257	177	79	820	160	215	105	113	434	164					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21990	670	90	240	230	1100	230	490	120	80	200	150	100	400	430	160	80	900	490	1100	1500	550	190	900	130	280	370	800	200	440	1250	750	1050	100	450	130	190	100	950	200	200	90	190	900	70	150	200	240	150	70	800	150	200	100	100	440	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13997	409	70	124	130	646	156	351	72	40	107	104	42	331	235	94	43	616	280	505	829	284	121	575	103	191	235	650	153	312	783	452	563	61	240	109	149	67	586	139	135	73	125	573	40	105	156	193	111	52	585	89	151	93	87	355	117					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1846	53	20	46	73	58	19	68	26	25	22	20	19	12	52	16	5	48	38	87	101	36	23	45	9	58	16	37	17	40	126	54	74	20	50	7	10	8	59	11	25	8	23	60	11	14	16	19	11	3	53	26	6	0	11	22	30					
6	Число погашенных избирательных бюллетеней	6147	208	0	70	27	396	55	71	22	15	71	26	39	57	143	50	32	236	172	508	570	230	46	280	18	31	119	113	30	88	341	244	413	19	160	14	31	25	305	50	40	9	42	267	19	31	28	28	28	15	162	35	43	7	2	63	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1846	53	20	46	73	58	19	68	26	25	22	20	19	12	52	16	5	48	38	87	101	36	23	45	9	58	16	37	17	40	126	54	74	20	50	7	10	8	59	11	25	8	23	60	11	14	16	19	11	3	53	26	6	0	11	22	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13986	408	70	124	130	637	156	351	72	40	107	104	42	331	235	94	43	616	280	505	829	284	121	575	103	191	235	650	153	312	783	452	563	61	240	109	149	67	585	139	135	73	125	573	40	105	156	193	111	52	585	89	151	93	87	355	117					
9	Число недействительных избирательных бюллетеней	141	6	0	2	1	7	0	9	0	2	2	2	1	3	6	0	0	0	3	5	9	3	0	6	3	1	2	2	1	7	13	1	6	0	4	2	2	0	5	0	1	3	1	11	0	0	1	0	2	0	3	0	1	0	0	1	1					
10	Число действительных избирательных бюллетеней	15691	455	90	168	202	688	175	410	98	63	127	122	60	340	281	110	48	664	315	587	921	317	144	614	109	248	249	685	169	345	896	505	631	81	286	114	157	75	639	150	159	78	147	622	51	119	171	212	120	55	635	115	156	93	98	376	146					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	499	14	0	2	8	18	2	15	4	2	2	0	2	10	13	2	14	21	3	58	15	3	3	24	5	3	10	27	2	10	7	16	17	2	6	0	2	8	21	2	5	3	13	37	2	2	1	3	6	1	25	2	9	0	0	15	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	484	14	0	2	8	18	1	15	4	2	2	0	2	10	13	2	14	21	3	51	15	3	3	24	5	3	10	27	2	8	7	16	17	1	5	0	2	8	21	2	5	2	13	37	2	2	0	3	6	0	25	2	9	0	0	15	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	172	5	2	3	1	9	1	3	2	1	1	2	2	3	2	1	1	0	0	1	2	5	3	7	2	0	3	7	2	8	6	2	5	4	1	1	4	1	6	3	2	2	3	4	2	6	5	12	4	3	2	0	1	0	0	10	4					
14	Число погашенных неиспользованных открепительных удостоверений	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	1.Политическая партия «Аграрная партия России»	371	30	4	12	1	15	11	12	3	5	6	4	0	5	2	6	1	1	7	8	21	1	5	18	1	3	4	10	1	3	19	17	19	4	0	2	4	2	13	4	1	1	3	10	1	5	11	2	4	2	29	1	8	0	0	9	0					
		2.34%	6.51%	4.44%	7.06%	0.49%	2.16%	6.29%	2.86%	3.06%	7.69%	4.65%	3.23%	0.00%	1.46%	0.70%	5.45%	2.08%	0.15%	2.20%	1.35%	2.26%	0.31%	3.47%	2.90%	0.89%	1.20%	1.59%	1.46%	0.59%	0.85%	2.09%	3.36%	2.98%	4.94%	0.00%	1.72%	2.52%	2.67%	2.02%	2.67%	0.63%	1.23%	2.03%	1.58%	1.96%	4.20%	6.40%	0.94%	3.28%	3.64%	4.55%	0.87%	5.10%	0.00%	0.00%	2.39%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	51	1	0	3	3	8	0	0	0	0	0	0	0	4	0	0	0	1	1	0	6	0	0	1	0	0	1	3	0	0	3	3	2	1	0	0	0	0	1	0	0	1	1	2	0	0	1	0	0	0	1	0	0	0	0	3	0					
		0.32%	0.22%	0.00%	1.76%	1.48%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%	0.00%	0.00%	0.15%	0.31%	0.00%	0.65%	0.00%	0.00%	0.16%	0.00%	0.00%	0.40%	0.44%	0.00%	0.00%	0.33%	0.59%	0.31%	1.23%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	1.23%	0.68%	0.32%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%					
20	3.Политическая партия «Демократическая партия России»	18	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	1	0	0	0	1	0	0	1	1	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
