Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Троицкая																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, внесенных в список избирателей"	23137	706	71	224	197	1105	275	477	114	68	218	196	100	480	497	148	1004	519	1252	1667	586	209	976	145	290	370	829	220	466	1291	753	1132	116	479	169	202	86	974	218	195	90	200	913	98	155	211	254	156	76	857	167	213	91	114	388	130					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20950	650	80	200	200	1000	250	450	100	60	200	180	80	450	450	130	900	450	1000	1500	500	200	900	130	250	320	800	200	400	1100	700	1000	100	400	150	170	90	850	200	170	90	170	900	90	150	200	250	150	70	850	150	200	90	100	400	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12720	463	46	121	90	522	126	242	70	32	115	94	54	243	215	77	572	297	592	894	274	108	539	90	167	197	538	113	216	620	394	649	88	259	125	136	44	532	121	118	56	102	527	54	104	147	135	112	51	510	108	132	66	71	263	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1660	32	12	44	63	57	21	78	18	14	15	12	6	25	31	6	65	22	59	106	44	12	33	8	37	19	30	29	63	140	48	87	2	27	25	19	1	60	6	19	4	24	71	9	6	10	20	12	1	29	21	5	6	8	17	22					
6	Число погашенных избирательных бюллетеней	6570	155	22	35	47	421	103	130	12	14	70	74	20	182	204	47	263	131	349	500	182	80	328	32	46	104	232	58	121	340	258	264	10	114	0	15	45	258	73	33	30	44	302	27	40	43	95	26	18	311	21	63	18	21	120	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1660	32	12	44	63	57	21	78	18	14	15	12	6	25	31	6	65	22	59	106	44	12	33	8	37	19	30	29	63	140	48	87	2	27	25	19	1	60	6	19	4	24	71	9	6	10	20	12	1	29	21	5	6	8	17	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12705	463	46	121	90	522	126	242	70	32	115	94	54	243	215	77	559	297	592	894	274	108	539	90	167	197	538	113	216	620	394	649	88	259	125	136	44	532	121	118	56	102	526	54	104	147	135	112	51	510	108	132	66	71	262	89					
9	Число недействительных избирательных бюллетеней	235	6	1	2	1	9	2	3	0	2	4	1	3	5	5	0	10	6	15	10	2	1	12	1	9	3	8	2	3	8	9	8	5	2	2	3	0	9	2	9	1	10	7	0	5	0	2	0	0	11	5	7	0	1	2	1					
10	Число действительных избирательных бюллетеней	14130	489	57	163	152	570	145	317	88	44	126	105	57	263	241	83	614	313	636	990	316	119	560	97	195	213	560	140	276	752	433	728	85	284	148	152	45	583	125	128	59	116	590	63	105	157	153	124	52	528	124	130	72	78	277	110					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	720	10	12	12	15	20	2	35	10	7	5	8	1	10	10	4	15	8	24	26	15	18	15	5	5	5	35	4	11	48	14	40	2	5	2	2	5	15	4	7	2	2	45	12	2	20	10	8	7	40	7	13	7	6	30	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	719	10	12	12	15	20	2	35	10	7	5	8	1	10	10	4	15	8	24	26	15	18	15	5	5	5	35	4	11	48	14	40	2	4	2	2	5	15	4	7	2	2	45	12	2	20	10	8	7	40	7	13	7	6	30	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	192	5	1	2	3	4	3	2	3	4	3	3	7	4	4	3	7	2	2	8	2	3	10	3	3	1	2	3	4	4	2	14	3	4	2	6	1	4	1	4	0	3	5	4	1	2	4	2	7	3	1	7	1	2	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2092	73	3	34	10	112	21	41	11	9	14	17	6	45	46	18	61	38	86	158	43	18	89	9	23	53	117	13	37	148	53	115	9	22	8	19	6	83	8	32	13	16	102	9	17	17	12	10	9	87	11	12	8	10	43	8					
		14.56%	14.75%	5.17%	20.61%	6.54%	19.34%	14.29%	12.81%	12.50%	19.57%	10.77%	16.04%	10.00%	16.79%	18.70%	21.69%	9.78%	11.91%	13.21%	15.80%	13.52%	15.00%	15.56%	9.18%	11.27%	24.54%	20.60%	9.15%	13.26%	19.47%	11.99%	15.63%	10.00%	7.69%	5.33%	12.26%	13.33%	14.02%	6.30%	23.36%	21.67%	12.70%	17.09%	14.29%	15.45%	10.83%	7.74%	8.06%	17.31%	16.14%	8.53%	8.76%	11.11%	12.66%	15.41%	7.21%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2041	81	11	20	9	58	27	36	12	3	24	23	15	63	32	15	57	41	120	137	45	13	88	11	33	40	120	23	36	146	71	90	8	39	15	19	12	92	11	16	9	23	75	6	15	16	15	8	8	65	18	15	8	14	22	12					
		14.21%	16.36%	18.97%	12.12%	5.88%	10.02%	18.37%	11.25%	13.64%	6.52%	18.46%	21.70%	25.00%	23.51%	13.01%	18.07%	9.13%	12.85%	18.43%	13.70%	14.15%	10.83%	15.38%	11.22%	16.18%	18.52%	21.13%	16.20%	12.90%	19.21%	16.06%	12.23%	8.89%	13.64%	10.00%	12.26%	26.67%	15.54%	8.66%	11.68%	15.00%	18.25%	12.56%	9.52%	13.64%	10.19%	9.68%	6.45%	15.38%	12.06%	13.95%	10.95%	11.11%	17.72%	7.89%	10.81%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	113	6	0	2	0	3	0	4	1	0	1	0	0	0	2	0	8	4	6	5	2	1	6	1	4	3	2	1	0	12	5	4	0	0	2	0	1	3	3	1	3	2	3	1	2	0	0	0	0	3	1	0	1	0	4	0					
		0.79%	1.21%	0.00%	1.21%	0.00%	0.52%	0.00%	1.25%	1.14%	0.00%	0.77%	0.00%	0.00%	0.00%	0.81%	0.00%	1.28%	1.25%	0.92%	0.50%	0.63%	0.83%	1.05%	1.02%	1.96%	1.39%	0.35%	0.70%	0.00%	1.58%	1.13%	0.54%	0.00%	0.00%	1.33%	0.00%	2.22%	0.51%	2.36%	0.73%	5.00%	1.59%	0.50%	1.59%	1.82%	0.00%	0.00%	0.00%	0.00%	0.56%	0.78%	0.00%	1.39%	0.00%	1.43%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2161	83	3	19	6	116	23	45	11	3	18	8	8	35	29	17	74	45	79	188	47	18	80	4	23	34	75	23	28	120	77	115	10	44	24	9	3	153	16	21	4	10	136	6	20	26	29	14	5	83	11	26	4	5	32	16					
		15.04%	16.77%	5.17%	11.52%	3.92%	20.03%	15.65%	14.06%	12.50%	6.52%	13.85%	7.55%	13.33%	13.06%	11.79%	20.48%	11.86%	14.11%	12.14%	18.80%	14.78%	15.00%	13.99%	4.08%	11.27%	15.74%	13.20%	16.20%	10.04%	15.79%	17.42%	15.63%	11.11%	15.38%	16.00%	5.81%	6.67%	25.84%	12.60%	15.33%	6.67%	7.94%	22.78%	9.52%	18.18%	16.56%	18.71%	11.29%	9.62%	15.40%	8.53%	18.98%	5.56%	6.33%	11.47%	14.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	152	8	1	0	0	4	0	2	0	0	1	0	1	2	1	0	12	2	7	14	2	0	7	2	3	3	7	0	3	8	9	12	0	2	0	0	0	6	1	3	1	1	2	0	0	4	4	0	0	7	2	1	1	2	2	2					
		1.06%	1.62%	1.72%	0.00%	0.00%	0.69%	0.00%	0.63%	0.00%	0.00%	0.77%	0.00%	1.67%	0.75%	0.41%	0.00%	1.92%	0.63%	1.08%	1.40%	0.63%	0.00%	1.22%	2.04%	1.47%	1.39%	1.23%	0.00%	1.08%	1.05%	2.04%	1.63%	0.00%	0.70%	0.00%	0.00%	0.00%	1.01%	0.79%	2.19%	1.67%	0.79%	0.34%	0.00%	0.00%	2.55%	2.58%	0.00%	0.00%	1.30%	1.55%	0.73%	1.39%	2.53%	0.72%	1.80%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7530	236	39	86	127	274	73	189	53	28	68	57	27	118	130	33	401	182	335	486	176	69	288	70	108	80	236	80	172	315	217	388	58	176	99	105	23	245	86	55	28	63	270	40	51	94	93	92	29	282	81	76	50	47	174	72					
		52.42%	47.68%	67.24%	52.12%	83.01%	47.32%	49.66%	59.06%	60.23%	60.87%	52.31%	53.77%	45.00%	44.03%	52.85%	39.76%	64.26%	57.05%	51.46%	48.60%	55.35%	57.50%	50.35%	71.43%	52.94%	37.04%	41.55%	56.34%	61.65%	41.45%	49.10%	52.72%	64.44%	61.54%	66.00%	67.74%	51.11%	41.39%	67.72%	40.15%	46.67%	50.00%	45.23%	63.49%	46.36%	59.87%	60.00%	74.19%	55.77%	52.32%	62.79%	55.47%	69.44%	59.49%	62.37%	64.86%					
