Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Петровская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971					
1	"Число избирателей, внесенных в списки"	39217	2640	2412	2552	2097	2510	2491	2304	2059	2336	2115	2038	2311	689	248	405	576	284	438	680	188	782	446	579	536	1090	946	251	162	694	398	330	264	456	505	405					
2	"Число бюллетеней, полученных участковыми комиссиями"	39126	2670	2375	2570	2090	2480	2310	2280	2024	2370	2155	2040	2340	686	246	413	564	291	430	680	188	780	453	580	566	1089	960	249	162	700	398	350	270	449	508	410					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20105	1186	1022	1131	1045	1050	1210	1048	1008	1150	1059	895	1045	273	219	300	384	206	313	379	159	482	335	418	386	593	518	162	110	424	252	184	200	307	376	276					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1229	34	34	42	42	39	166	20	16	22	29	21	35	70	0	15	6	20	22	42	13	60	27	31	37	23	24	15	12	27	33	78	10	26	30	108					
6	Число погашенных бюллетеней	17792	1450	1319	1397	1003	1391	934	1212	1000	1198	1067	1124	1260	343	27	98	174	65	95	259	16	238	91	131	143	473	418	72	40	249	113	88	60	116	102	26					
7	Число бюллетеней в переносных ящиках для голосования	1229	34	34	42	42	39	166	20	16	22	29	21	35	70	0	15	6	20	22	42	13	60	27	31	37	23	24	15	12	27	33	78	10	26	30	108					
8	Число бюллетеней в стационарных ящиках для голосования	20091	1184	1022	1131	1046	1042	1210	1046	1008	1150	1059	895	1044	273	218	300	384	206	313	379	159	482	335	417	386	593	518	162	110	424	252	184	200	307	376	276					
9	Число недействительных бюллетеней	459	24	6	22	29	26	23	10	17	19	12	17	20	7	18	3	17	22	4	21	0	2	0	16	2	31	5	0	7	26	14	12	3	13	9	2					
10	Число действительных бюллетеней	20861	1194	1050	1151	1059	1055	1353	1056	1007	1153	1076	899	1059	336	200	312	373	204	331	400	172	540	362	432	421	585	537	177	115	425	271	250	207	320	397	382					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2993	193	200	200	200	200	200	200	200	200	200	200	200	30	10	30	30	20	30	30	10	30	30	30	30	50	40	10	10	30	30	20	10	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	499	29	22	36	28	21	44	25	49	43	38	24	36	0	0	0	1	1	1	6	2	2	0	12	20	9	24	1	0	6	3	3	4	2	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	404	23	11	10	14	24	146	12	15	14	12	15	13	1	4	1	3	1	3	4	4	6	3	8	6	15	6	4	0	4	5	7	2	4	3	1					
14	Число погашенных открепительных удостоверений	2494	164	178	164	172	179	156	175	151	157	162	176	164	30	10	30	29	19	29	24	8	28	30	18	10	41	16	9	10	24	27	17	6	28	28	25					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
