Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
"Наименование Избирательной комиссии:    Ярославль, Ленинская"																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209					
1	"Число избирателей, внесенных в списки избирателей"	54467	2124	1754	1678	1590	2273	2062	1996	2320	2280	1990	2002	1991	2022	2037	2199	2056	2060	1923	1898	1684	1645	1718	1861	1795	2310	2007	2395	187	227	161	123	99					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	44100	1700	1400	1350	1200	1850	1650	1600	1850	1850	1600	1600	1600	1650	1650	1750	1550	1650	1550	1550	1350	1300	1400	1500	1450	1900	1650	1800	250	300	200	250	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31694	1111	1035	945	864	1432	1245	1306	1441	1333	1212	1204	1110	1249	1172	1264	1188	1155	1156	1159	1019	913	1004	1074	1025	1344	1098	1220	83	67	58	111	97					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2477	52	43	43	145	76	98	85	93	110	102	61	70	58	129	95	84	69	95	76	57	87	55	59	33	47	86	97	104	160	96	12	0					
6	Число погашенных избирательных бюллетеней	9929	537	322	362	191	342	307	209	316	407	286	335	420	343	349	391	278	426	299	315	274	300	341	367	392	509	466	483	63	73	46	127	53					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2477	52	43	43	145	76	98	85	93	110	102	61	70	58	129	95	84	69	95	76	57	87	55	59	33	47	86	97	104	160	96	12	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31685	1110	1035	945	864	1432	1241	1306	1440	1333	1212	1204	1110	1249	1172	1263	1188	1155	1156	1159	1019	913	1004	1074	1025	1344	1096	1220	83	67	58	111	97					
9	Число недействительных избирательных бюллетеней	361	12	12	11	17	16	14	15	16	9	19	13	8	21	11	14	6	11	12	13	12	15	16	14	15	12	5	13	1	2	2	1	3					
10	Число действительных избирательных бюллетеней	33801	1150	1066	977	992	1492	1325	1376	1517	1434	1295	1252	1172	1286	1290	1344	1266	1213	1239	1222	1064	985	1043	1119	1043	1379	1177	1304	186	225	152	122	94					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	918	35	31	20	20	55	25	31	30	25	17	28	20	23	25	18	63	23	25	20	22	25	15	18	16	40	30	218	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	911	35	31	20	20	52	24	31	30	25	17	27	20	23	25	17	63	23	24	20	22	25	15	18	16	40	30	218	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1040	78	58	39	94	32	41	36	22	25	19	37	28	19	22	24	21	19	21	18	9	15	5	7	12	14	42	130	24	32	27	46	24					
14	Число погашенных неиспользованных открепительных удостоверений	7	0	0	0	0	3	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	3	0	2	1	0	4	0	3	0	1	5	5	0	0	2	1	1	0	3	0	0	0	1	3	3	3	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	1.Политическая партия «Аграрная партия России»	1473	35	61	27	41	71	53	80	82	72	63	59	40	61	69	55	54	47	54	51	40	45	37	46	44	60	36	52	6	12	11	4	5					
		4.31%	3.01%	5.66%	2.73%	4.06%	4.71%	3.96%	5.75%	5.35%	4.99%	4.79%	4.66%	3.39%	4.67%	5.30%	4.05%	4.25%	3.84%	4.32%	4.13%	3.72%	4.50%	3.49%	4.06%	4.16%	4.31%	3.05%	3.95%	3.21%	5.29%	7.14%	3.25%	5.15%					
19	2.Всероссийская политическая партия «Гражданская Сила»	879	10	44	34	33	62	40	54	60	37	39	45	26	29	27	38	22	23	22	28	22	14	20	30	17	32	22	44	0	3	1	0	1					
