Выборы Президента Российской Федерации																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Миасская городская																																																																																											
																																																																																											
Итоги голосования 																																																																																											
																																																																																											
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №2193					
1	"Число избирателей, внесенных в список"	134236	910	596	646	76	2039	1592	2059	2050	2003	1615	1826	2059	1579	1802	1694	1558	1979	2332	2278	2340	2414	2231	2557	2861	2334	1525	1576	1881	2401	2571	936	1995	2238	1357	1068	2651	1416	1273	1454	1198	1952	1749	1905	1671	1585	1730	2710	1926	2090	2380	1548	1504	1721	2245	1586	799	1454	1944	2345	866	2661	782	1506	939	1785	720	1044	1163	1545	1233	1280	1395	1308	1090	1422	893	632	995	1018	888	494	116	885	1762					
2	Число полученных избирательных бюллетеней	128880	850	550	700	74	2000	1600	2000	2000	2000	1600	1800	2000	1500	1800	1700	1500	2000	2000	2200	2300	2300	2000	2500	2600	2300	1500	1500	1900	2300	2500	900	2000	2000	1300	1000	2500	1400	1200	1400	1200	1900	1600	1900	1600	1500	1700	2600	1900	2000	2300	1400	1500	1700	2200	1500	700	1400	1900	2300	800	2500	700	1400	850	1700	650	950	1100	1500	1100	1100	1400	1200	950	1400	900	600	1000	1000	850	700	106	850	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	76546	414	313	396	62	894	983	1363	1316	1188	939	1101	1243	940	1013	1024	921	1148	1365	1454	1378	1563	1343	1600	1479	1279	908	921	1038	1292	1430	595	1252	1128	822	686	1509	884	687	882	669	1238	927	939	900	867	1084	1710	1114	1346	1330	982	994	989	1254	709	356	816	1216	1285	472	1208	413	933	523	899	382	402	640	834	701	674	692	639	505	669	424	414	645	579	431	261	85	691	952					
5	"Число избирательных бюллетеней, выданных вне помещения"	3008	104	39	30	0	76	9	24	36	16	47	28	28	13	33	16	21	23	46	31	16	12	9	30	102	28	26	24	43	66	120	6	19	13	19	24	50	46	48	40	30	47	106	74	10	54	37	20	29	16	51	14	10	20	66	25	26	17	21	40	16	109	11	47	46	33	30	55	32	45	47	50	27	17	16	126	78	12	0	40	45	10	2	0	40					
6	Число погашенных избирательных бюллетеней	49325	332	198	274	12	1030	608	613	648	796	614	671	729	547	754	660	558	829	589	715	906	725	648	870	1019	993	566	555	819	942	950	299	729	859	459	290	941	470	465	478	501	615	567	887	690	579	579	870	757	638	919	404	496	691	880	766	317	567	663	975	312	1183	276	420	281	768	238	493	428	621	352	376	681	544	429	605	398	174	355	381	374	429	19	159	508					
7	Число избирательных бюллетеней в переносных ящиках	3008	104	39	30	0	76	9	24	36	16	47	28	28	13	33	16	21	23	46	31	16	12	9	30	102	28	26	24	43	66	120	6	19	13	19	24	50	46	48	40	30	47	106	74	10	54	37	20	29	16	51	14	10	20	66	25	26	17	21	40	16	109	11	47	46	33	30	55	32	45	47	50	27	17	16	126	78	12	0	40	45	10	2	0	40					
8	Число бюллетеней в стационарных ящиках для голосования	76441	414	313	396	62	894	983	1351	1316	1188	939	1101	1238	940	1013	1022	921	1148	1361	1451	1376	1563	1340	1600	1464	1276	908	921	1038	1291	1430	595	1251	1128	822	686	1509	878	687	882	669	1238	927	909	899	867	1084	1710	1113	1346	1330	974	994	989	1254	709	356	816	1216	1284	472	1204	413	933	522	899	382	402	640	834	701	674	692	639	505	669	424	414	645	579	431	261	85	691	950					
9	Число недействительных избирательных бюллетеней	838	5	4	7	1	17	9	8	9	8	4	8	13	11	11	6	3	8	16	9	4	13	4	9	15	17	10	17	5	26	24	10	3	20	11	10	9	12	10	8	7	18	12	15	11	10	2	22	10	9	2	7	5	12	16	7	3	2	7	15	6	19	3	7	9	17	4	4	13	12	13	18	12	15	8	14	1	10	6	14	16	4	1	5	21					
10	Число действительных избирательных бюллетеней	78611	513	348	419	61	953	983	1367	1343	1196	982	1121	1253	942	1035	1032	939	1163	1391	1473	1388	1562	1345	1621	1551	1287	924	928	1076	1331	1526	591	1267	1121	830	700	1550	912	725	914	692	1267	1021	968	898	911	1119	1708	1132	1353	1379	981	999	997	1304	727	379	831	1230	1309	482	1294	421	973	559	915	408	453	659	867	735	706	707	641	513	781	501	416	639	605	460	267	86	686	969					
