Выборы Президента Российской Федерации																																																																														
																																																																														
Наименование Избирательной комиссии:    Фрунзенская №29																																																																														
																																																																														
Итоги голосования 																																																																														
																																																																														
		Сумма	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712					
1	"Число избирателей, внесенных в список"	154795	2183	2228	2181	2205	1885	2191	2157	2184	2381	2263	2268	2214	2422	2141	2187	2255	2059	2445	2296	2435	2088	2260	2278	2574	2271	2199	2441	2415	2520	2624	2634	2243	2507	2734	2572	2304	2467	2317	2408	1904	2275	2537	2535	1978	1952	1815	2172	1850	2401	1997	2160	1790	2122	2118	2195	2126	2068	2005	2034	1982	1962	2326	2301	2394	2194	2168	2198	2678	24	5	2093					
2	Число полученных избирательных бюллетеней	155000	2500	2500	2200	2300	2000	2400	2100	2200	2400	2200	2200	2300	2500	2200	2300	2200	2100	2500	2400	2500	2100	2200	2100	2500	2300	2200	2500	2500	2600	2600	2600	2400	2500	2500	2500	2200	2500	2000	2200	1800	2100	2500	2500	1900	2000	1900	2000	1900	2500	2000	2000	1900	2200	2100	2100	2100	2200	2000	2100	2000	2000	2300	2200	2500	2100	2200	2200	2600	50	50	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	92806	1405	1324	1267	1166	1190	1582	1110	1213	1285	1347	1270	1221	1383	1267	1269	1240	1113	1576	1338	1453	1400	1359	1738	1916	1349	1179	1459	1466	1911	1706	1487	1364	1603	1415	1441	1248	1324	1306	1333	1060	1302	1452	1438	996	1543	1507	1154	1058	1418	1101	1181	1054	1290	1148	1151	1216	1316	1129	1240	1592	1467	1762	1376	1257	1283	1218	1320	1436	24	5	1289					
5	"Число избирательных бюллетеней, выданных вне помещения"	1303	22	22	27	30	24	24	27	20	37	10	24	28	35	29	16	19	28	17	27	25	10	11	31	15	24	20	15	14	19	27	14	14	20	12	12	11	16	11	15	7	5	23	17	15	17	11	15	19	29	13	16	15	15	24	21	10	25	23	12	23	20	13	26	22	16	17	13	12	0	0	7					
6	Число погашенных избирательных бюллетеней	60891	1073	1154	906	1104	786	794	963	967	1078	843	906	1051	1082	904	1015	941	959	907	1035	1022	690	830	331	569	927	1001	1026	1020	670	867	1099	1022	877	1073	1047	941	1160	683	852	733	793	1025	1045	889	440	382	831	823	1053	886	803	831	895	928	928	874	859	848	848	385	513	525	798	1221	801	965	867	1152	26	45	704					
7	Число избирательных бюллетеней в переносных ящиках	1303	22	22	27	30	24	24	27	20	37	10	24	28	35	29	16	19	28	17	27	25	10	11	31	15	24	20	15	14	19	27	14	14	20	12	12	11	16	11	15	7	5	23	17	15	17	11	15	19	29	13	16	15	15	24	21	10	25	23	12	23	20	13	26	22	16	17	13	12	0	0	7					
8	Число бюллетеней в стационарных ящиках для голосования	92674	1405	1318	1267	1166	1190	1582	1105	1213	1285	1347	1270	1221	1383	1267	1266	1240	1112	1576	1338	1453	1400	1357	1738	1916	1349	1179	1459	1463	1911	1666	1487	1364	1603	1403	1441	1246	1324	1305	1333	1060	1302	1452	1428	996	1543	1507	1153	1058	1418	1101	1180	1054	1275	1146	1151	1216	1311	1129	1240	1592	1467	1762	1357	1257	1283	1214	1320	1436	24	5	1289					
9	Число недействительных избирательных бюллетеней	277	0	2	7	1	2	2	6	7	1	3	2	4	2	6	1	3	6	4	7	4	4	5	6	4	10	3	4	5	2	1	8	8	5	7	4	3	0	5	0	7	3	3	7	2	6	0	4	5	3	9	2	2	12	3	6	4	7	2	0	4	1	2	8	2	3	3	5	4	1	0	3					
10	Число действительных избирательных бюллетеней	93700	1427	1338	1287	1195	1212	1604	1126	1226	1321	1354	1292	1245	1416	1290	1281	1256	1134	1589	1358	1474	1406	1363	1763	1927	1363	1196	1470	1472	1928	1692	1493	1370	1618	1408	1449	1254	1340	1311	1348	1060	1304	1472	1438	1009	1554	1518	1164	1072	1444	1105	1194	1067	1278	1167	1166	1222	1329	1150	1252	1611	1486	1773	1375	1277	1296	1228	1328	1444	23	5	1293					
