Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Артинская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24886	1258	1216	1262	1463	1435	1438	297	706	1380	166	316	191	61	153	395	746	1524	559	360	1027	91	126	233	463	341	578	242	510	869	102	208	1156	189	89	841	228	283	255	275	649	100	560	132	206	207									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22500	1100	1100	1100	1350	1250	1285	250	605	1250	150	320	200	65	150	400	650	1350	500	290	1000	90	130	220	400	300	550	250	500	770	105	180	970	170	100	730	200	270	220	250	600	100	520	110	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	252	0	0	0	0	0	0	0	60	0	0	12	0	0	0	0	0	0	0	22	0	0	0	76	0	0	0	0	0	9	24	0	26	0	0	0	0	0	0	0	0	23	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11386	503	585	523	584	665	613	131	335	553	104	161	68	31	70	214	382	631	227	168	582	55	82	90	208	150	290	164	287	365	34	85	453	106	67	346	109	137	120	115	366	37	285	71	111	123									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	791	30	30	26	39	14	19	10	26	31	1	17	6	1	8	10	47	49	16	10	11	0	5	9	12	25	37	12	27	15	4	5	59	8	4	42	8	19	15	12	14	2	32	4	9	11									
6	Число погашенных избирательных бюллетеней	10071	567	485	551	727	571	653	109	184	666	45	130	126	33	72	176	221	670	257	90	407	35	43	45	180	125	223	74	186	381	43	90	432	56	29	342	83	114	85	123	220	38	203	35	80	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1043	30	30	26	39	14	19	10	86	31	1	29	6	1	8	10	47	49	16	32	11	0	5	85	12	25	37	12	27	24	28	5	85	8	4	42	8	19	15	12	14	25	32	4	9	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11335	503	585	523	584	665	562	131	335	553	104	161	68	31	70	214	382	631	227	168	582	55	82	90	208	150	290	164	287	365	34	85	453	106	67	346	109	137	120	115	366	37	285	71	111	123									
9	Число недействительных избирательных бюллетеней	346	10	11	16	13	16	25	2	11	23	4	6	6	1	2	3	10	16	7	12	17	3	0	2	3	3	5	5	2	17	4	2	17	7	2	19	4	7	3	2	6	2	2	1	8	9									
10	Число действительных избирательных бюллетеней	12032	523	604	533	610	663	556	139	410	561	101	184	68	31	76	221	419	664	236	188	576	52	87	173	217	172	322	171	312	372	58	88	521	107	69	369	113	149	132	125	374	60	315	74	112	125									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1109	20	20	10	10	20	20	20	40	20	10	45	10	10	15	60	30	20	30	30	40	10	20	40	20	40	60	39	30	40	20	10	20	20	20	30	10	20	20	10	30	20	40	10	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	622	7	5	6	2	7	2	9	40	3	2	45	8	4	4	42	18	2	3	21	15	4	2	23	2	27	30	36	30	16	3	4	20	10	20	8	6	4	10	6	13	12	40	7	24	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	201	6	5	4	9	6	2	5	8	16	7	4	0	2	0	3	5	10	2	2	10	2	3	3	1	0	4	9	1	2	1	2	12	1	6	8	1	2	6	5	10	1	8	4	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	487	13	15	4	8	13	18	11	0	17	8	0	2	6	11	18	12	18	27	9	25	6	18	17	18	13	30	3	0	24	17	6	0	10	0	22	4	16	10	4	17	8	0	3	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	90	4	9	9	6	15	5	4	0	13	0	0	0	0	0	2	3	10	0	0	0	0	0	1	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	110	5	2	10	6	4	9	0	3	6	4	0	0	0	1	3	3	9	2	1	5	0	0	1	3	0	6	1	3	5	0	0	6	1	0	1	1	1	1	1	1	0	4	1	0	0									
		0.89%	0.94%	0.33%	1.82%	0.96%	0.59%	1.55%	0.00%	0.71%	1.03%	3.81%	0.00%	0.00%	0.00%	1.28%	1.34%	0.70%	1.32%	0.82%	0.50%	0.84%	0.00%	0.00%	0.57%	1.36%	0.00%	1.83%	0.57%	0.96%	1.29%	0.00%	0.00%	1.12%	0.88%	0.00%	0.26%	0.85%	0.64%	0.74%	0.79%	0.26%	0.00%	1.26%	1.33%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	498	23	24	20	22	27	35	3	19	15	4	10	2	6	6	8	20	20	19	8	17	1	4	2	5	7	19	9	11	18	5	4	16	3	0	12	7	7	2	4	16	6	12	1	11	8									
		4.02%	4.32%	3.90%	3.64%	3.53%	3.98%	6.02%	2.13%	4.51%	2.57%	3.81%	5.26%	2.70%	18.75%	7.69%	3.57%	4.66%	2.94%	7.82%	4.00%	2.87%	1.82%	4.60%	1.14%	2.27%	4.00%	5.81%	5.11%	3.50%	4.63%	8.06%	4.44%	2.97%	2.63%	0.00%	3.09%	5.98%	4.49%	1.48%	3.15%	4.21%	9.68%	3.79%	1.33%	9.17%	5.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	339	25	13	14	19	26	13	7	12	16	5	3	0	0	0	2	6	29	4	5	14	1	2	4	3	1	10	2	2	12	1	2	31	2	0	18	4	4	3	2	12	0	6	0	3	1									
		2.74%	4.69%	2.11%	2.55%	3.05%	3.83%	2.24%	4.96%	2.85%	2.74%	4.76%	1.58%	0.00%	0.00%	0.00%	0.89%	1.40%	4.26%	1.65%	2.50%	2.36%	1.82%	2.30%	2.29%	1.36%	0.57%	3.06%	1.14%	0.64%	3.08%	1.61%	2.22%	5.76%	1.75%	0.00%	4.64%	3.42%	2.56%	2.22%	1.57%	3.16%	0.00%	1.89%	0.00%	2.50%	0.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6324	241	293	237	320	337	238	71	222	287	63	81	39	9	51	159	255	340	128	98	291	31	59	114	107	97	136	96	206	178	38	47	259	69	51	195	55	95	90	81	185	26	182	42	57	68									
