Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    Майкопская городская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185					
1	"Число избирателей, внесенных в список избирателей"	134049	1860	2181	2082	2322	2298	2341	2289	2740	2247	2624	2602	2018	1438	2536	1699	1756	2087	2479	1573	1817	1818	1827	2712	2376	1948	2842	2403	1524	1440	1570	1548	1486	1548	1857	1877	2909	2005	2938	2285	1659	1735	1506	1684	2239	1491	2736	2422	2477	655	487	2189	2660	2630	2769	1276	2371	2319	3028	524	2630	2956	2912	985	605	1145	294	426	462	226	649					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	130810	1800	2100	1950	2250	2300	2250	2250	2700	2500	2550	2600	1950	1350	2500	1650	1650	2000	2500	1500	1750	1800	1850	2700	2450	1850	2800	2400	1450	1350	1500	1350	1400	1500	1850	1700	2900	2000	2850	2200	1350	1650	1450	1650	2200	1400	2600	2250	2400	600	490	2200	2600	2600	2750	1250	2250	2300	3000	530	2500	2950	2850	990	590	1100	290	550	550	270	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	69302	948	1366	875	877	1276	849	745	1288	1119	1294	1128	976	836	1120	744	951	1108	1894	839	843	1237	853	1300	1167	838	1310	1083	627	744	599	897	1083	640	864	1196	1189	896	1809	1239	1016	830	634	664	1109	705	1290	1719	1344	296	381	818	2062	1304	2105	668	2027	1054	1890	241	1137	1381	1221	478	351	594	177	331	280	94	454					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	8449	48	129	166	117	85	88	24	89	80	93	196	72	94	257	152	69	125	195	131	275	94	102	14	48	48	36	170	146	27	34	89	75	104	363	237	99	123	195	196	189	69	237	67	77	248	328	81	101	147	7	129	52	46	32	15	162	22	94	149	267	328	268	96	59	81	20	87	182	109	15					
6	Число погашенных избирательных бюллетеней	53058	804	605	909	1256	939	1313	1481	1323	1301	1163	1276	902	420	1123	754	630	767	411	530	632	469	895	1386	1235	964	1454	1147	677	579	867	363	242	756	623	267	1612	981	846	765	145	751	579	919	1014	447	982	450	955	157	102	1253	486	1250	613	567	61	1224	1016	140	1096	1241	1361	416	180	425	93	132	88	67	181					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8449	48	129	166	117	85	88	24	89	80	93	196	72	94	257	152	69	125	195	131	275	94	102	14	48	48	36	170	146	27	34	89	75	104	363	237	99	123	195	196	189	69	237	67	77	248	328	81	101	147	7	129	52	46	32	15	162	22	94	149	267	328	268	96	59	81	20	87	182	109	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	69264	948	1361	875	877	1276	849	745	1288	1119	1294	1128	976	836	1120	744	943	1108	1894	839	843	1236	853	1297	1167	838	1310	1083	627	744	599	896	1083	640	864	1195	1187	892	1809	1239	1016	829	633	664	1109	704	1290	1719	1341	296	381	818	2062	1302	2104	667	2027	1054	1890	241	1135	1381	1221	478	351	593	177	331	280	94	454					
9	Число недействительных избирательных бюллетеней	1219	19	37	17	12	37	15	15	18	24	23	14	22	12	20	16	16	13	17	20	20	18	15	21	16	16	18	15	10	10	8	12	21	16	10	17	19	15	21	12	25	9	2	7	14	17	40	39	25	17	7	21	17	14	56	8	38	23	27	10	17	7	23	15	7	20	5	9	8	6	9					
10	Число действительных избирательных бюллетеней	76494	977	1453	1024	982	1324	922	754	1359	1175	1364	1310	1026	918	1357	880	996	1220	2072	950	1098	1312	940	1290	1199	870	1328	1238	763	761	625	973	1137	728	1217	1415	1267	1000	1983	1423	1180	889	868	724	1172	935	1578	1761	1417	426	381	926	2097	1334	2080	674	2151	1053	1957	380	1385	1702	1466	559	403	654	192	409	454	197	460					
